Date,P_kPa,T_C
12/18/2020 7:15,84.25,-2.377
12/18/2020 7:30,84.284,-2.377
12/18/2020 7:45,84.336,-2.261
12/18/2020 8:00,84.377,-2.145
12/18/2020 8:15,84.423,-2.145
12/18/2020 8:30,84.464,-2.03
12/18/2020 8:45,84.302,-1.914
12/18/2020 9:00,84.05,-1.799
12/18/2020 9:15,83.027,-1.57
12/18/2020 9:30,78.379,-1.228
12/18/2020 9:45,76.845,-0.774
12/18/2020 10:00,75.061,-0.213
12/18/2020 10:15,74.763,0.453
12/18/2020 10:30,74.51,1.112
12/18/2020 10:45,74.529,1.656
12/18/2020 11:00,74.543,2.303
12/18/2020 11:15,74.551,3.261
12/18/2020 11:30,74.541,4.519
12/18/2020 11:45,74.535,4.623
12/18/2020 12:00,74.254,4.623
12/18/2020 12:15,74.266,4.415
12/18/2020 12:30,74.204,4.519
12/18/2020 12:45,74.193,4.102
12/18/2020 13:00,74.21,3.788
12/18/2020 13:15,74.215,3.472
12/18/2020 13:30,74.287,3.155
12/18/2020 13:45,74.314,2.624
12/18/2020 14:00,74.335,2.195
12/18/2020 14:15,74.333,1.764
12/18/2020 14:30,74.371,3.049
12/18/2020 14:45,74.369,2.195
12/18/2020 15:00,74.653,1.656
12/18/2020 15:15,74.756,-0.437
12/18/2020 15:30,74.747,-1.914
12/18/2020 15:45,74.754,-2.727
12/18/2020 16:00,74.773,-2.962
12/18/2020 16:15,74.785,-3.672
12/18/2020 16:30,74.807,-4.031
12/18/2020 16:45,74.833,-4.514
12/18/2020 17:00,74.829,-4.758
12/18/2020 17:15,74.844,-4.88
12/18/2020 17:30,74.844,-4.88
12/18/2020 17:45,74.847,-5.003
12/18/2020 18:00,74.857,-5.372
12/18/2020 18:15,74.878,-5.745
12/18/2020 18:30,74.89,-6.246
12/18/2020 18:45,74.902,-6.754
12/18/2020 19:00,74.893,-7.397
12/18/2020 19:15,74.91,-7.657
12/18/2020 19:30,74.907,-7.527
12/18/2020 19:45,74.894,-6.882
12/18/2020 20:00,74.896,-6.499
12/18/2020 20:15,74.885,-6.499
12/18/2020 20:30,74.884,-5.995
12/18/2020 20:45,74.884,-5.995
12/18/2020 21:00,74.892,-5.87
12/18/2020 21:15,74.873,-5.995
12/18/2020 21:30,74.887,-6.12
12/18/2020 21:45,74.843,-6.12
12/18/2020 22:00,74.851,-5.995
12/18/2020 22:15,74.851,-5.995
12/18/2020 22:30,74.865,-6.12
12/18/2020 22:45,74.823,-6.246
12/18/2020 23:00,74.834,-6.246
12/18/2020 23:15,74.812,-6.246
12/18/2020 23:30,74.846,-6.246
12/18/2020 23:45,74.837,-6.373
12/19/2020 0:00,74.823,-6.246
12/19/2020 0:15,74.804,-6.373
12/19/2020 0:30,74.81,-6.626
12/19/2020 0:45,74.829,-6.499
12/19/2020 1:00,74.829,-6.499
12/19/2020 1:15,74.843,-6.626
12/19/2020 1:30,74.821,-6.626
12/19/2020 1:45,74.824,-6.754
12/19/2020 2:00,74.796,-7.01
12/19/2020 2:15,74.754,-7.138
12/19/2020 2:30,74.732,-7.138
12/19/2020 2:45,74.726,-6.882
12/19/2020 3:00,74.734,-6.754
12/19/2020 3:15,74.74,-6.499
12/19/2020 3:30,74.731,-6.626
12/19/2020 3:45,74.676,-6.626
12/19/2020 4:00,74.67,-6.373
12/19/2020 4:15,74.67,-6.373
12/19/2020 4:30,74.681,-6.373
12/19/2020 4:45,74.639,-6.499
12/19/2020 5:00,74.644,-6.246
12/19/2020 5:15,74.667,-6.246
12/19/2020 5:30,74.711,-6.246
12/19/2020 5:45,74.717,-6.499
12/19/2020 6:00,74.723,-6.754
12/19/2020 6:15,74.687,-6.626
12/19/2020 6:30,74.628,-6.499
12/19/2020 6:45,74.588,-6.246
12/19/2020 7:00,74.595,-5.62
12/19/2020 7:15,74.622,-5.372
12/19/2020 7:30,74.649,-5.125
12/19/2020 7:45,74.676,-4.88
12/19/2020 8:00,74.654,-4.514
12/19/2020 8:15,74.598,-3.792
12/19/2020 8:30,74.654,-3.079
12/19/2020 8:45,74.697,-2.377
12/19/2020 9:00,74.692,-2.261
12/19/2020 9:15,74.666,-2.145
12/19/2020 9:30,74.603,-2.261
12/19/2020 9:45,74.664,-1.799
12/19/2020 10:00,74.685,-1.456
12/19/2020 10:15,74.627,-1.114
12/19/2020 10:30,74.58,-1.341
12/19/2020 10:45,74.626,1.98
12/19/2020 11:00,74.726,3.998
12/19/2020 11:15,74.646,3.155
12/19/2020 11:30,74.513,3.788
12/19/2020 11:45,74.488,5.86
12/19/2020 12:00,74.484,5.141
12/19/2020 12:15,74.596,3.049
12/19/2020 12:30,74.604,1.98
12/19/2020 12:45,74.574,3.261
12/19/2020 13:00,74.634,8.282
12/19/2020 13:15,74.665,6.674
12/19/2020 13:30,74.698,4.102
12/19/2020 13:45,74.573,3.049
12/19/2020 14:00,74.724,7.179
12/19/2020 14:15,74.661,2.41
12/19/2020 14:30,74.599,-0.437
12/19/2020 14:45,74.575,-1.799
12/19/2020 15:00,74.551,-2.377
12/19/2020 15:15,74.559,-2.61
12/19/2020 15:30,74.53,-1.799
12/19/2020 15:45,74.62,-0.662
12/19/2020 16:00,74.558,-2.261
12/19/2020 16:15,74.609,-3.079
12/19/2020 16:30,74.598,-3.434
12/19/2020 16:45,74.613,-3.553
12/19/2020 17:00,74.666,-3.792
12/19/2020 17:15,74.669,-3.911
12/19/2020 17:30,74.684,-4.031
12/19/2020 17:45,74.632,-4.152
12/19/2020 18:00,74.662,-4.031
12/19/2020 18:15,74.666,-4.152
12/19/2020 18:30,74.666,-4.152
12/19/2020 18:45,74.647,-4.272
12/19/2020 19:00,74.673,-4.393
12/19/2020 19:15,74.662,-4.393
