date_time,"Event, units (LGR S/N: 10177301, SEN S/N: 10177301)"
4/3/2017 9:07,0.1
4/3/2017 9:17,0.2
4/3/2017 9:28,0.3
4/3/2017 9:42,0.4
4/3/2017 10:00,0.5
4/3/2017 13:33,0.6
4/4/2017 14:15,0.7
4/4/2017 14:19,0.8
4/4/2017 14:23,0.9
4/4/2017 14:27,1
4/4/2017 14:32,1.1
4/4/2017 14:39,1.2
4/4/2017 14:46,1.3
4/4/2017 14:54,1.4
4/4/2017 15:03,1.5
4/4/2017 15:13,1.6
4/4/2017 15:21,1.7
4/4/2017 15:31,1.8
4/4/2017 15:42,1.9
4/4/2017 15:54,2
4/4/2017 16:07,2.1
4/4/2017 16:24,2.2
4/5/2017 9:47,2.3
4/5/2017 10:02,2.4
4/5/2017 10:02,2.5
4/5/2017 10:21,2.6
4/5/2017 10:21,2.7
4/5/2017 11:26,2.8
4/5/2017 11:44,2.9
4/5/2017 11:48,3
4/5/2017 11:53,3.1
4/5/2017 12:02,3.2
4/5/2017 12:13,3.3
4/5/2017 12:37,3.4
4/5/2017 13:00,3.5
4/5/2017 13:12,3.6
4/5/2017 13:19,3.7
4/5/2017 13:26,3.8
4/5/2017 13:32,3.9
4/5/2017 13:37,4
4/5/2017 13:45,4.1
4/5/2017 13:58,4.2
4/5/2017 14:43,4.3
4/5/2017 14:59,4.4
4/5/2017 15:09,4.5
4/5/2017 15:19,4.6
4/5/2017 15:28,4.7
4/5/2017 15:36,4.8
4/5/2017 15:43,4.9
4/5/2017 15:53,5
4/5/2017 16:02,5.1
4/5/2017 16:17,5.2
4/5/2017 16:32,5.3
4/5/2017 17:09,5.4
4/5/2017 19:04,5.5
4/6/2017 9:19,5.6
4/6/2017 9:33,5.7
4/6/2017 9:44,5.8
4/6/2017 9:53,5.9
4/6/2017 10:03,6
4/6/2017 10:31,6.1
4/6/2017 10:43,6.2
4/6/2017 10:58,6.3
4/6/2017 11:14,6.4
4/6/2017 11:20,6.5
4/6/2017 11:26,6.6
4/6/2017 11:33,6.7
4/6/2017 11:42,6.8
4/6/2017 11:46,6.9
4/6/2017 11:58,7
4/6/2017 13:03,7.1
4/9/2017 0:10,7.2
4/9/2017 5:27,7.3
4/9/2017 11:09,7.4
4/9/2017 13:06,7.5
4/19/2017 6:44,7.6
4/19/2017 7:00,7.7
4/19/2017 7:03,7.8
4/19/2017 7:06,7.9
4/19/2017 7:08,8
4/19/2017 7:10,8.1
4/19/2017 7:11,8.2
4/19/2017 7:12,8.3
4/19/2017 7:13,8.4
4/19/2017 7:14,8.5
4/19/2017 7:15,8.6
4/19/2017 7:21,8.7
4/19/2017 7:25,8.8
4/19/2017 7:30,8.9
4/19/2017 7:32,9
4/19/2017 7:36,9.1
4/19/2017 7:38,9.2
4/19/2017 7:45,9.3
4/19/2017 7:49,9.4
4/19/2017 7:54,9.5
4/19/2017 8:04,9.6
4/19/2017 8:15,9.7
4/19/2017 8:18,9.8
4/19/2017 8:27,9.9
4/19/2017 13:03,10
4/20/2017 17:14,10.1
4/20/2017 17:18,10.2
4/20/2017 17:25,10.3
4/20/2017 17:31,10.4
4/20/2017 17:34,10.5
4/20/2017 20:05,10.6
4/20/2017 21:10,10.7
4/20/2017 22:00,10.8
4/21/2017 8:45,10.9
4/21/2017 9:00,11
4/21/2017 9:20,11.1
4/21/2017 9:31,11.2
4/21/2017 9:41,11.3
4/21/2017 9:47,11.4
4/21/2017 9:54,11.5
4/21/2017 10:00,11.6
4/21/2017 10:06,11.7
4/21/2017 10:11,11.8
4/21/2017 10:15,11.9
4/21/2017 10:19,12
4/21/2017 10:24,12.1
4/21/2017 10:28,12.2
4/21/2017 10:33,12.3
4/21/2017 10:38,12.4
4/21/2017 10:43,12.5
4/21/2017 10:48,12.6
4/21/2017 10:54,12.7
4/21/2017 10:59,12.8
4/21/2017 11:06,12.9
4/21/2017 11:13,13
4/21/2017 11:20,13.1
4/21/2017 11:27,13.2
4/21/2017 11:35,13.3
4/21/2017 11:43,13.4
4/21/2017 11:51,13.5
4/21/2017 11:58,13.6
4/21/2017 12:05,13.7
4/21/2017 12:12,13.8
4/21/2017 12:20,13.9
4/21/2017 12:26,14
4/21/2017 12:33,14.1
4/21/2017 12:40,14.2
4/21/2017 12:47,14.3
4/21/2017 12:53,14.4
4/21/2017 12:59,14.5
4/21/2017 13:05,14.6
4/21/2017 13:11,14.7
4/21/2017 13:17,14.8
4/21/2017 13:21,14.9
4/21/2017 13:26,15
4/21/2017 13:31,15.1
4/21/2017 13:36,15.2
4/21/2017 13:42,15.3
4/21/2017 13:49,15.4
4/21/2017 13:57,15.5
4/21/2017 14:07,15.6
4/21/2017 14:17,15.7
4/21/2017 14:27,15.8
4/21/2017 14:36,15.9
4/21/2017 14:43,16
4/21/2017 14:50,16.1
4/21/2017 14:54,16.2
4/21/2017 14:59,16.3
4/21/2017 15:04,16.4
4/21/2017 15:13,16.5
4/21/2017 19:25,16.6
4/22/2017 8:55,16.7
4/22/2017 9:08,16.8
4/22/2017 9:19,16.9
4/22/2017 12:26,17
