DateTime,P_kPa,T_C
12/18/2020 8:00,84.296,-2.145
12/18/2020 8:15,84.358,-2.03
12/18/2020 8:30,84.381,-1.914
12/18/2020 8:45,84.226,-1.799
12/18/2020 9:00,83.991,-1.684
12/18/2020 9:15,82.974,-1.57
12/18/2020 9:30,78.302,-1.341
12/18/2020 9:45,76.759,-1.001
12/18/2020 10:00,74.991,-0.549
12/18/2020 10:15,74.665,-0.102
12/18/2020 10:30,74.413,0.563
12/18/2020 10:45,74.445,1.112
12/18/2020 11:00,74.43,1.764
12/18/2020 11:15,74.431,2.73
12/18/2020 11:30,74.41,3.578
12/18/2020 11:45,74.412,3.683
12/18/2020 12:00,74.122,3.998
12/18/2020 12:15,74.14,3.893
12/18/2020 12:30,74.088,3.788
12/18/2020 12:45,74.086,3.683
12/18/2020 13:00,74.091,3.472
12/18/2020 13:15,74.097,3.261
12/18/2020 13:30,74.092,3.049
12/18/2020 13:45,74.125,2.73
12/18/2020 14:00,74.138,2.41
12/18/2020 14:15,74.128,1.98
12/18/2020 14:30,74.197,5.655
12/18/2020 14:45,77.828,0.784
12/18/2020 15:00,77.739,0.343
12/18/2020 15:15,77.729,0.343
12/18/2020 15:30,77.729,0.343
12/18/2020 15:45,77.729,0.343
12/18/2020 16:00,77.739,0.343
12/18/2020 16:15,77.739,0.343
12/18/2020 16:30,77.739,0.343
12/18/2020 16:45,77.768,0.343
12/18/2020 17:00,77.758,0.343
12/18/2020 17:15,77.768,0.343
12/18/2020 17:30,77.778,0.343
12/18/2020 17:45,77.788,0.343
12/18/2020 18:00,77.768,0.343
12/18/2020 18:15,77.788,0.343
12/18/2020 18:30,77.778,0.343
12/18/2020 18:45,77.778,0.343
12/18/2020 19:00,77.778,0.343
12/18/2020 19:15,77.788,0.343
12/18/2020 19:30,77.778,0.343
12/18/2020 19:45,77.758,0.343
12/18/2020 20:00,77.739,0.343
12/18/2020 20:15,77.768,0.343
12/18/2020 20:30,77.739,0.343
12/18/2020 20:45,77.758,0.343
12/18/2020 21:00,77.758,0.343
12/18/2020 21:15,77.748,0.343
12/18/2020 21:30,77.748,0.343
12/18/2020 21:45,77.748,0.343
12/18/2020 22:00,77.739,0.343
12/18/2020 22:15,77.748,0.343
12/18/2020 22:30,77.729,0.343
12/18/2020 22:45,77.709,0.343
12/18/2020 23:00,77.719,0.343
12/18/2020 23:15,77.709,0.343
12/18/2020 23:30,77.748,0.343
12/18/2020 23:45,77.729,0.343
12/19/2020 0:00,77.719,0.343
12/19/2020 0:15,77.709,0.343
12/19/2020 0:30,77.739,0.343
12/19/2020 0:45,77.758,0.343
12/19/2020 1:00,77.758,0.343
12/19/2020 1:15,77.758,0.343
12/19/2020 1:30,77.788,0.343
12/19/2020 1:45,77.788,0.343
12/19/2020 2:00,77.768,0.343
12/19/2020 2:15,77.729,0.343
12/19/2020 2:30,77.709,0.343
12/19/2020 2:45,77.729,0.343
12/19/2020 3:00,77.729,0.343
12/19/2020 3:15,77.739,0.343
12/19/2020 3:30,77.729,0.343
12/19/2020 3:45,77.709,0.343
12/19/2020 4:00,77.699,0.343
12/19/2020 4:15,77.699,0.343
12/19/2020 4:30,77.699,0.343
12/19/2020 4:45,77.659,0.343
12/19/2020 5:00,77.699,0.343
12/19/2020 5:15,77.748,0.343
12/19/2020 5:30,77.808,0.343
12/19/2020 5:45,77.788,0.343
12/19/2020 6:00,77.847,0.343
12/19/2020 6:15,77.808,0.343
12/19/2020 6:30,77.768,0.343
12/19/2020 6:45,77.739,0.343
12/19/2020 7:00,77.709,0.343
12/19/2020 7:15,77.739,0.343
12/19/2020 7:30,77.758,0.343
12/19/2020 7:45,77.798,0.343
12/19/2020 8:00,77.808,0.343
12/19/2020 8:15,77.778,0.343
12/19/2020 8:30,77.83,0.453
12/19/2020 8:45,77.85,0.453
12/19/2020 9:00,77.85,0.453
12/19/2020 9:15,77.791,0.453
12/19/2020 9:30,77.771,0.453
12/19/2020 9:45,77.8,0.453
12/19/2020 10:00,77.8,0.453
12/19/2020 10:15,77.791,0.453
12/19/2020 10:30,77.692,0.453
12/19/2020 10:45,77.731,0.453
12/19/2020 11:00,77.724,0.563
12/19/2020 11:15,77.625,0.563
12/19/2020 11:30,77.595,0.563
12/19/2020 11:45,77.467,0.563
12/19/2020 12:00,77.388,0.563
12/19/2020 12:15,77.479,0.674
12/19/2020 12:30,77.469,0.674
12/19/2020 12:45,77.43,0.674
12/19/2020 13:00,77.41,0.674
12/19/2020 13:15,77.479,0.674
12/19/2020 13:30,77.499,0.674
12/19/2020 13:45,77.44,0.674
12/19/2020 14:00,77.558,0.674
12/19/2020 14:15,77.506,0.563
12/19/2020 14:30,77.457,0.563
12/19/2020 14:45,77.457,0.563
12/19/2020 15:00,77.447,0.563
12/19/2020 15:15,77.474,0.453
12/19/2020 15:30,77.445,0.453
12/19/2020 15:45,77.464,0.453
12/19/2020 16:00,77.435,0.453
12/19/2020 16:15,77.494,0.453
12/19/2020 16:30,77.514,0.453
12/19/2020 16:45,77.553,0.453
12/19/2020 17:00,77.593,0.453
12/19/2020 17:15,77.583,0.453
12/19/2020 17:30,77.603,0.453
12/19/2020 17:45,77.583,0.453
12/19/2020 18:00,77.613,0.453
12/19/2020 18:15,77.652,0.453
12/19/2020 18:30,77.642,0.453
12/19/2020 18:45,77.632,0.453
12/19/2020 19:00,77.642,0.453
12/19/2020 19:15,77.652,0.453
12/19/2020 19:30,77.702,0.453
12/19/2020 19:45,77.731,0.453
12/19/2020 20:00,77.771,0.453
12/19/2020 20:15,77.771,0.453
12/19/2020 20:30,77.8,0.453
12/19/2020 20:45,77.8,0.453
12/19/2020 21:00,77.867,0.343
12/19/2020 21:15,77.899,0.453
12/19/2020 21:30,77.897,0.343
12/19/2020 21:45,77.907,0.343
12/19/2020 22:00,77.996,0.343
12/19/2020 22:15,77.877,0.343
12/19/2020 22:30,78.015,0.343
12/19/2020 22:45,78.015,0.343
12/19/2020 23:00,78.085,0.343
12/19/2020 23:15,78.085,0.343
12/19/2020 23:30,78.114,0.343
12/19/2020 23:45,78.104,0.343
12/20/2020 0:00,78.114,0.343
12/20/2020 0:15,78.193,0.343
12/20/2020 0:30,78.223,0.343
12/20/2020 0:45,78.322,0.343
12/20/2020 1:00,78.243,0.343
12/20/2020 1:15,78.292,0.343
12/20/2020 1:30,78.371,0.343
12/20/2020 1:45,78.381,0.343
12/20/2020 2:00,78.451,0.343
12/20/2020 2:15,78.411,0.343
12/20/2020 2:30,78.401,0.343
12/20/2020 2:45,78.124,0.343
12/20/2020 3:00,78.332,0.343
12/20/2020 3:15,78.263,0.343
12/20/2020 3:30,78.292,0.343
12/20/2020 3:45,78.362,0.343
12/20/2020 4:00,78.381,0.343
12/20/2020 4:15,78.401,0.343
12/20/2020 4:30,78.391,0.343
12/20/2020 4:45,78.381,0.343
12/20/2020 5:00,78.362,0.343
12/20/2020 5:15,78.371,0.343
12/20/2020 5:30,78.322,0.343
12/20/2020 5:45,78.401,0.343
12/20/2020 6:00,78.292,0.343
12/20/2020 6:15,78.332,0.343
12/20/2020 6:30,78.015,0.343
12/20/2020 6:45,78.213,0.343
12/20/2020 7:00,78.154,0.343
12/20/2020 7:15,77.897,0.343
12/20/2020 7:30,78.075,0.343
12/20/2020 7:45,78.085,0.343
12/20/2020 8:00,78.006,0.343
12/20/2020 8:15,77.976,0.343
12/20/2020 8:30,77.966,0.343
12/20/2020 8:45,78.018,0.453
12/20/2020 9:00,77.998,0.453
