Reading,Receive,Value,Unit,Data Quality
2021-10-13 04:58:19,2021-10-13 04:58:35,0.00,in,A
2021-10-12 22:58:17,2021-10-12 22:58:35,0.00,in,A
2021-10-12 21:23:39,2021-10-12 21:23:50,0.04,in,A
2021-10-12 16:58:16,2021-10-12 16:58:35,0.00,in,A
2021-10-12 15:36:25,2021-10-12 15:36:35,0.04,in,A
2021-10-12 15:16:30,2021-10-12 15:16:50,0.04,in,A
2021-10-12 10:58:16,2021-10-12 10:58:35,0.00,in,A
2021-10-12 04:58:15,2021-10-12 04:58:35,0.00,in,A
2021-10-11 22:58:13,2021-10-11 22:58:35,0.00,in,A
2021-10-11 16:58:12,2021-10-11 16:58:20,0.00,in,A
2021-10-11 10:58:12,2021-10-11 10:58:20,0.00,in,A
2021-10-11 04:58:11,2021-10-11 04:58:20,0.00,in,A
2021-10-10 22:58:09,2021-10-10 22:58:20,0.00,in,A
2021-10-10 16:58:11,2021-10-10 16:58:20,0.00,in,A
2021-10-10 10:58:08,2021-10-10 10:58:20,0.00,in,A
2021-10-10 04:58:07,2021-10-10 04:58:20,0.00,in,A
2021-10-09 22:58:06,2021-10-09 22:58:20,0.00,in,A
2021-10-09 10:58:05,2021-10-09 10:58:20,0.00,in,A
2021-10-09 04:58:04,2021-10-09 04:58:20,0.00,in,A
2021-10-08 22:58:02,2021-10-08 22:58:20,0.00,in,A
2021-10-08 18:28:31,2021-10-08 18:28:50,0.04,in,A
2021-10-08 16:58:02,2021-10-08 16:58:05,0.00,in,A
2021-10-08 10:58:00,2021-10-08 10:58:20,0.00,in,A
2021-10-06 10:57:54,2021-10-06 10:58:05,0.00,in,A
2021-10-06 04:57:52,2021-10-06 04:58:05,0.00,in,A
2021-10-05 22:57:51,2021-10-05 22:58:05,0.00,in,A
2021-10-05 16:57:51,2021-10-05 16:58:05,0.00,in,A
2021-10-05 10:57:51,2021-10-05 10:58:05,0.00,in,A
2021-10-05 04:57:49,2021-10-05 04:58:05,0.00,in,A
2021-10-04 22:57:48,2021-10-04 22:58:05,0.00,in,A
2021-10-04 16:57:47,2021-10-04 16:58:05,0.00,in,A
2021-10-04 10:57:46,2021-10-04 10:58:05,0.00,in,A
2021-10-04 04:57:45,2021-10-04 04:58:05,0.00,in,A
2021-10-03 22:57:45,2021-10-03 22:58:05,0.00,in,A
2021-10-03 16:57:43,2021-10-03 16:58:05,0.00,in,A
2021-10-03 10:57:42,2021-10-03 10:58:05,0.00,in,A
2021-10-03 04:57:42,2021-10-03 04:57:50,0.00,in,A
2021-10-02 22:57:41,2021-10-02 22:57:50,0.00,in,A
2021-10-02 16:57:40,2021-10-02 16:57:50,0.00,in,A
2021-10-02 10:57:39,2021-10-02 10:57:50,0.00,in,A
2021-10-02 04:57:39,2021-10-02 04:57:50,0.00,in,A
2021-10-01 22:57:37,2021-10-01 22:57:50,0.00,in,A
2021-10-01 16:57:36,2021-10-01 16:57:50,0.00,in,A
2021-10-01 10:57:35,2021-10-01 10:57:50,0.00,in,A
2021-10-01 04:57:35,2021-10-01 04:57:50,0.00,in,A
2021-09-30 22:57:34,2021-09-30 22:57:50,0.00,in,A
2021-09-30 16:57:33,2021-09-30 16:57:50,0.00,in,A
2021-09-30 10:57:31,2021-09-30 10:57:50,0.04,in,A
2021-09-28 16:57:25,2021-09-28 16:57:35,0.00,in,A
2021-09-28 10:57:24,2021-09-28 10:57:35,0.00,in,A
2021-09-28 04:57:24,2021-09-28 04:57:35,0.00,in,A
2021-09-27 22:57:23,2021-09-27 22:57:35,0.00,in,A
2021-09-27 16:57:22,2021-09-27 16:57:35,0.00,in,A
2021-09-27 10:57:21,2021-09-27 10:57:35,0.00,in,A
2021-09-27 04:57:20,2021-09-27 04:57:35,0.00,in,A
2021-09-26 22:57:20,2021-09-26 22:57:35,0.00,in,A
2021-09-26 16:57:19,2021-09-26 16:57:35,0.00,in,A
2021-09-26 10:57:18,2021-09-26 10:57:35,0.00,in,A
2021-09-26 04:57:17,2021-09-26 04:57:35,0.00,in,A
2021-09-25 22:57:16,2021-09-25 22:57:35,0.00,in,A
2021-09-25 16:57:15,2021-09-25 16:57:35,0.00,in,A
2021-09-25 10:57:15,2021-09-25 10:57:35,0.00,in,A
2021-09-24 22:57:14,2021-09-24 22:57:35,0.00,in,A
2021-09-24 16:57:12,2021-09-24 16:57:20,0.00,in,A
2021-09-24 10:57:10,2021-09-24 10:57:20,0.00,in,A
2021-09-24 04:57:11,2021-09-24 04:57:20,0.00,in,A
2021-09-23 22:57:09,2021-09-23 22:57:20,0.00,in,A
2021-09-23 16:57:08,2021-09-23 16:57:20,0.00,in,A
2021-09-23 10:57:07,2021-09-23 10:57:20,0.00,in,A
2021-09-23 04:57:07,2021-09-23 04:57:20,0.00,in,A
2021-09-22 22:57:05,2021-09-22 22:57:20,0.00,in,A
2021-09-22 16:57:04,2021-09-22 16:57:20,0.00,in,A
2021-09-22 10:57:04,2021-09-22 10:57:20,0.00,in,A
2021-09-21 22:57:02,2021-09-21 22:57:20,0.00,in,A
2021-09-21 16:57:01,2021-09-21 16:57:20,0.00,in,A
2021-09-21 10:57:00,2021-09-21 10:57:20,0.00,in,A
2021-09-21 04:56:59,2021-09-21 04:57:20,0.00,in,A
2021-09-20 22:56:58,2021-09-20 22:57:20,0.00,in,A
2021-09-20 04:56:56,2021-09-20 04:57:05,0.00,in,A
2021-09-20 02:24:15,2021-09-20 02:24:35,0.04,in,A
2021-09-20 02:00:53,2021-09-20 02:01:06,0.04,in,A
2021-09-20 01:56:23,2021-09-20 01:56:35,0.04,in,A
2021-09-20 01:50:59,2021-09-20 01:51:05,0.04,in,A
2021-09-19 22:56:56,2021-09-19 22:57:05,0.00,in,A
2021-09-19 16:56:54,2021-09-19 16:57:05,0.00,in,A
2021-09-19 10:56:53,2021-09-19 10:57:05,0.00,in,A
2021-09-19 04:56:52,2021-09-19 04:57:05,0.00,in,A
2021-09-18 22:56:52,2021-09-18 22:57:05,0.00,in,A
2021-09-18 16:56:51,2021-09-18 16:57:05,0.00,in,A
2021-09-18 10:56:50,2021-09-18 10:57:05,0.00,in,A
2021-09-18 04:56:50,2021-09-18 04:57:05,0.00,in,A
2021-09-17 22:56:48,2021-09-17 22:57:05,0.00,in,A
2021-09-17 16:56:47,2021-09-17 16:57:05,0.00,in,A
2021-09-17 10:56:46,2021-09-17 10:57:05,0.00,in,A
2021-09-17 04:56:46,2021-09-17 04:57:05,0.00,in,A
2021-09-16 22:56:45,2021-09-16 22:57:05,0.00,in,A
2021-09-16 16:56:44,2021-09-16 16:57:05,0.00,in,A
2021-09-16 10:56:43,2021-09-16 10:57:05,0.00,in,A
2021-09-16 04:56:42,2021-09-16 04:56:50,0.00,in,A
2021-09-15 22:56:41,2021-09-15 22:56:50,0.00,in,A
