datetime,Pa_psi,Tw_C,Pa_mb
9/18/2016 17:00,11.1992635,21.916,772.363
9/18/2016 17:30,11.210211,20.931,773.118
9/18/2016 18:00,11.1911725,20.586,771.805
9/18/2016 18:30,11.1934055,20.19,771.959
9/18/2016 19:00,11.1994665,18.999,772.377
9/18/2016 19:30,11.210878,19.297,773.164
9/18/2016 20:00,11.215373,18.201,773.474
9/18/2016 20:30,11.221695,16.898,773.91
9/18/2016 21:00,11.2297715,16.596,774.467
9/18/2016 21:30,11.232367,15.182,774.646
9/18/2016 22:00,11.2358905,13.962,774.889
9/18/2016 22:30,11.2422415,13.4,775.327
9/18/2016 23:00,11.239095,13.451,775.11
9/18/2016 23:30,11.242662,13.502,775.356
9/19/2016 0:00,11.235992,13.349,774.896
9/19/2016 0:30,11.23228,12.939,774.64
9/19/2016 1:00,11.2344405,11.344,774.789
9/19/2016 1:30,11.2353975,10.412,774.855
9/19/2016 2:00,11.2385005,9.84,775.069
9/19/2016 2:30,11.2416035,9.267,775.283
9/19/2016 3:00,11.2442715,8.744,775.467
9/19/2016 3:30,11.243735,8.43,775.43
9/19/2016 4:00,11.239936,7.958,775.168
9/19/2016 4:30,11.2440975,7.642,775.455
9/19/2016 5:00,11.2405015,7.22,775.207
9/19/2016 5:30,11.2464175,7.009,775.615
9/19/2016 6:00,11.2520435,6.904,776.003
9/19/2016 6:30,11.253769,7.009,776.122
9/19/2016 7:00,11.2584525,7.009,776.445
9/19/2016 7:30,11.2594385,7.273,776.513
9/19/2016 8:00,11.268443,8.063,777.134
9/19/2016 8:30,11.2706035,9.319,777.283
9/19/2016 9:00,11.273228,10.827,777.464
9/19/2016 9:30,11.27375,12.272,777.5
9/19/2016 10:00,11.270154,13.502,777.252
9/19/2016 10:30,11.2683995,18.65,777.131
9/19/2016 11:00,11.264876,33.651,776.888
9/19/2016 11:30,11.253247,31.159,776.086
9/19/2016 12:00,11.25461,26.582,776.18
9/19/2016 12:30,11.253044,26.823,776.072
9/19/2016 13:00,11.250144,27.207,775.872
9/19/2016 13:30,11.242517,27.159,775.346
9/19/2016 14:00,11.2420675,27.495,775.315
9/19/2016 14:30,11.240052,27.782,775.176
9/19/2016 15:00,11.2389065,26.823,775.097
9/19/2016 15:30,11.23866,26.197,775.08
9/19/2016 16:00,11.237529,25.956,775.002
9/19/2016 16:30,11.2323235,24.989,774.643
9/19/2016 17:00,11.2331645,23.58,774.701
9/19/2016 17:30,11.229525,22.651,774.45
9/19/2016 18:00,11.221637,20.783,773.906
9/19/2016 18:30,11.224972,19.744,774.136
9/19/2016 19:00,11.2319175,19.049,774.615
9/19/2016 19:30,11.241357,17.4,775.266
9/19/2016 20:00,11.2467945,16.193,775.641
9/19/2016 20:30,11.2453735,14.776,775.543
9/19/2016 21:00,11.2524495,13.757,776.031
9/19/2016 21:30,11.258235,12.734,776.43
9/19/2016 22:00,11.2559295,12.015,776.271
9/19/2016 22:30,11.253044,11.137,776.072
9/19/2016 23:00,11.256988,10.62,776.344
9/19/2016 23:30,11.256002,10.204,776.276
9/20/2016 0:00,11.2548855,9.58,776.199
9/20/2016 0:30,11.251913,9.163,775.994
9/20/2016 1:00,11.24997,9.006,775.86
9/20/2016 1:30,11.248433,8.954,775.754
9/20/2016 2:00,11.244344,8.587,775.472
9/20/2016 2:30,11.244547,8.115,775.486
9/20/2016 3:00,11.2426765,7.8,775.357
9/20/2016 3:30,11.2438945,7.589,775.441
9/20/2016 4:00,11.249448,7.642,775.824
9/20/2016 4:30,11.2507675,8.168,775.915
9/20/2016 5:00,11.2572635,8.64,776.363
9/20/2016 5:30,11.2543055,8.22,776.159
9/20/2016 6:00,11.2535225,8.01,776.105
9/20/2016 6:30,11.2572055,7.747,776.359
9/20/2016 7:00,11.2585395,7.747,776.451
9/20/2016 7:30,11.261541,8.01,776.658
9/20/2016 8:00,11.263223,8.797,776.774
9/20/2016 8:30,11.2614685,9.892,776.653
9/20/2016 9:00,11.258032,10.879,776.416
9/20/2016 9:30,11.259366,11.705,776.508
9/20/2016 10:00,11.2610915,12.939,776.627
9/20/2016 10:30,11.262208,14.318,776.704
9/20/2016 11:00,11.256611,16.596,776.318
9/20/2016 11:30,11.2549725,18.501,776.205
9/20/2016 12:00,11.252522,20.042,776.036
9/20/2016 12:30,11.245388,21.424,775.544
9/20/2016 13:00,11.2396025,22.357,775.145
9/20/2016 13:30,11.2356005,23.091,774.869
9/20/2016 14:00,11.235209,24.31,774.842
9/20/2016 14:30,11.2302935,24.552,774.503
9/20/2016 15:00,11.2224635,25.037,773.963
9/20/2016 15:30,11.226045,24.795,774.21
9/20/2016 16:00,11.2208395,23.823,773.851
9/20/2016 16:30,11.2178815,22.896,773.647
9/20/2016 17:00,11.2122555,21.965,773.259
9/20/2016 17:30,11.233498,20.438,774.724
9/20/2016 18:00,11.216243,18.85,773.534
9/20/2016 18:30,11.221405,18.501,773.89
9/20/2016 19:00,11.2178525,17.701,773.645
9/20/2016 19:30,11.224595,17.099,774.11
9/20/2016 20:00,11.2226375,16.344,773.975
