Date,Snow_depth_cm,accumulation,melt,,
10/1/2016,0,,,,
10/2/2016,0,,,,
10/3/2016,0,,,,
10/4/2016,0,,,,
10/5/2016,0,,,,
10/6/2016,0,,,,
10/7/2016,0,,,,
10/8/2016,0,,,,
10/9/2016,0,,,,
10/10/2016,0,,,,
10/11/2016,0,,,,
10/12/2016,0,,,,
10/13/2016,0,,,,
10/14/2016,0,,,,
10/15/2016,0,,,,
10/16/2016,0,,,,
10/17/2016,0,,,,
10/18/2016,0,,,,
10/19/2016,0,,,,
10/20/2016,0,,,,
10/21/2016,0,,,,
10/22/2016,0,,,,
10/23/2016,0,,,,
10/24/2016,0,,,,
10/25/2016,0,,,,
10/26/2016,0,,,,
10/27/2016,0,,,,
10/28/2016,0,,,,
10/29/2016,0,,,,
10/30/2016,0,,,,
10/31/2016,0,,,,
11/1/2016,0,,,,
11/2/2016,0,,,,
11/3/2016,0,,,,
11/4/2016,0,,,,
11/5/2016,0,,,,
11/6/2016,0,,,,
11/7/2016,0,,,,
11/8/2016,0,,,,
11/9/2016,0,,,,
11/10/2016,0,,,,
11/11/2016,0,,,,
11/12/2016,0,,,,
11/13/2016,0,,,,
11/14/2016,0,,,,
11/15/2016,0,,,,
11/16/2016,0,,,,
11/17/2016,5,accumulation,,,
11/18/2016,5,,melt,,
11/19/2016,2.5,,melt,,
11/20/2016,2.5,,melt,,
11/21/2016,0,,,,
11/22/2016,0,,,,
11/23/2016,0,,,,
11/24/2016,5,accumulation,melt,,
11/25/2016,2.5,,melt,,
11/26/2016,0,,melt,,
11/27/2016,2.5,accumulation,melt,,
11/28/2016,0,,melt,,
11/29/2016,2.5,accumulation,,,
11/30/2016,2.5,,melt,,
12/1/2016,2.5,,melt,,
12/2/2016,0,,,saturated?,
12/3/2016,2.5,accumulation,melt,,
12/4/2016,0,,melt,,
12/5/2016,2.5,accumulation,,,
12/6/2016,5,accumulation,,,
12/7/2016,7.5,accumulation,,,
12/8/2016,5,,melt,,
12/9/2016,5,,,,
12/10/2016,5,,melt,,
12/11/2016,12.5,accumulation,,,
12/12/2016,10,,,,
12/13/2016,10,,,,
12/14/2016,10,,,,
12/15/2016,10,,melt,,
12/16/2016,5,,,,
12/17/2016,10,accumulation,,,
12/18/2016,15,,,,
12/19/2016,10,,,,
12/20/2016,10,,,,
12/21/2016,10,,melt,,
12/22/2016,5,,melt,,
12/23/2016,5,,,,
12/24/2016,5,,,,
12/25/2016,7.5,accumulation,,,
12/26/2016,5,,melt,,
12/27/2016,5,,melt,,
12/28/2016,10,accumulation,,,
12/29/2016,7.5,,melt,,
12/30/2016,5,,melt,,
12/31/2016,2.5,,melt,,
1/1/2017,2.5,,,,
1/2/2017,5,accumulation,,,
1/3/2017,17.5,accumulation,,,
1/4/2017,27.5,accumulation,,,
1/5/2017,45,accumulation,melt,,
1/6/2017,35,,melt,,
1/7/2017,35,,melt,,
1/8/2017,25,,,,
1/9/2017,15,,,,
1/10/2017,22.5,accumulation,,,
