Reading,Receive,Value,Unit,Data Quality
2021-10-13 11:22:57,2021-10-13 11:23:05,0.00,in,A
2021-10-13 11:07:57,2021-10-13 11:08:05,0.00,in,A
2021-10-13 10:52:57,2021-10-13 10:53:05,0.00,in,A
2021-10-13 10:37:56,2021-10-13 10:38:05,0.00,in,A
2021-10-13 10:22:57,2021-10-13 10:23:05,0.00,in,A
2021-10-13 10:07:57,2021-10-13 10:08:05,0.00,in,A
2021-10-13 09:52:56,2021-10-13 09:53:05,0.00,in,A
2021-10-13 09:37:57,2021-10-13 09:38:05,0.00,in,A
2021-10-13 09:22:57,2021-10-13 09:23:05,0.00,in,A
2021-10-13 09:07:57,2021-10-13 09:08:05,0.00,in,A
2021-10-13 08:52:57,2021-10-13 08:53:05,0.00,in,A
2021-10-13 08:37:57,2021-10-13 08:38:05,0.00,in,A
2021-10-13 08:22:57,2021-10-13 08:23:05,0.00,in,A
2021-10-13 08:07:56,2021-10-13 08:08:05,0.00,in,A
2021-10-13 07:52:57,2021-10-13 07:53:05,0.00,in,A
2021-10-13 07:37:57,2021-10-13 07:38:05,0.00,in,A
2021-10-13 07:22:56,2021-10-13 07:23:05,0.00,in,A
2021-10-13 07:07:57,2021-10-13 07:08:05,0.00,in,A
2021-10-13 06:42:56,2021-10-13 06:43:05,0.00,in,A
2021-10-13 06:27:57,2021-10-13 06:28:05,0.00,in,A
2021-10-13 06:12:57,2021-10-13 06:13:05,0.00,in,A
2021-10-13 05:57:56,2021-10-13 05:58:05,0.00,in,A
2021-10-13 05:42:56,2021-10-13 05:43:05,0.00,in,A
2021-10-13 05:27:57,2021-10-13 05:28:05,0.00,in,A
2021-10-13 05:12:56,2021-10-13 05:13:05,0.00,in,A
2021-10-13 04:57:56,2021-10-13 04:58:05,0.00,in,A
2021-10-13 04:42:56,2021-10-13 04:43:05,0.00,in,A
2021-10-13 04:27:57,2021-10-13 04:28:05,0.00,in,A
2021-10-13 04:12:56,2021-10-13 04:13:05,0.00,in,A
2021-10-13 03:57:56,2021-10-13 03:58:05,0.00,in,A
2021-10-13 03:42:57,2021-10-13 03:43:05,0.00,in,A
2021-10-13 03:27:56,2021-10-13 03:28:05,0.00,in,A
2021-10-13 03:12:56,2021-10-13 03:13:05,0.00,in,A
2021-10-13 02:57:56,2021-10-13 02:58:03,0.00,in,A
2021-10-13 02:42:57,2021-10-13 02:43:05,0.00,in,A
2021-10-13 02:27:56,2021-10-13 02:28:05,0.00,in,A
2021-10-13 02:12:56,2021-10-13 02:13:05,0.00,in,A
2021-10-13 01:57:57,2021-10-13 01:58:05,0.00,in,A
2021-10-13 01:42:56,2021-10-13 01:43:05,0.00,in,A
2021-10-13 01:27:56,2021-10-13 01:28:05,0.00,in,A
2021-10-13 01:12:57,2021-10-13 01:13:05,0.00,in,A
2021-10-13 00:57:56,2021-10-13 00:58:05,0.00,in,A
2021-10-13 00:42:56,2021-10-13 00:43:05,0.00,in,A
2021-10-13 00:27:56,2021-10-13 00:28:05,0.00,in,A
2021-10-13 00:12:57,2021-10-13 00:13:05,0.00,in,A
2021-10-12 23:57:56,2021-10-12 23:58:05,0.00,in,A
2021-10-12 23:42:56,2021-10-12 23:43:05,0.00,in,A
2021-10-12 23:27:57,2021-10-12 23:28:05,0.00,in,A
2021-10-12 23:12:56,2021-10-12 23:13:05,0.00,in,A
2021-10-12 22:57:56,2021-10-12 22:58:05,0.00,in,A
2021-10-12 22:42:56,2021-10-12 22:43:05,0.00,in,A
2021-10-12 22:27:57,2021-10-12 22:28:05,0.00,in,A
2021-10-12 22:12:56,2021-10-12 22:13:05,0.00,in,A
2021-10-12 21:57:56,2021-10-12 21:58:05,0.00,in,A
2021-10-12 21:42:57,2021-10-12 21:43:05,0.00,in,A
2021-10-12 21:27:56,2021-10-12 21:28:05,0.00,in,A
2021-10-12 21:25:41,2021-10-12 21:26:05,0.04,in,A
2021-10-12 21:12:56,2021-10-12 21:13:05,0.00,in,A
2021-10-12 20:57:57,2021-10-12 20:58:05,0.00,in,A
2021-10-12 20:42:56,2021-10-12 20:43:05,0.00,in,A
2021-10-12 20:27:56,2021-10-12 20:28:05,0.00,in,A
2021-10-12 20:12:56,2021-10-12 20:13:05,0.00,in,A
2021-10-12 19:57:57,2021-10-12 19:58:05,0.00,in,A
2021-10-12 19:42:56,2021-10-12 19:43:05,0.00,in,A
2021-10-12 19:27:56,2021-10-12 19:28:05,0.00,in,A
2021-10-12 19:12:57,2021-10-12 19:13:05,0.00,in,A
2021-10-12 18:57:56,2021-10-12 18:58:05,0.00,in,A
2021-10-12 18:42:56,2021-10-12 18:43:05,0.00,in,A
2021-10-12 18:27:57,2021-10-12 18:28:05,0.00,in,A
2021-10-12 18:12:56,2021-10-12 18:13:05,0.00,in,A
2021-10-12 17:57:56,2021-10-12 17:58:05,0.00,in,A
2021-10-12 17:42:56,2021-10-12 17:43:05,0.00,in,A
2021-10-12 17:27:57,2021-10-12 17:28:05,0.00,in,A
2021-10-12 17:12:56,2021-10-12 17:13:05,0.00,in,A
2021-10-12 16:57:56,2021-10-12 16:58:05,0.00,in,A
2021-10-12 16:42:57,2021-10-12 16:43:05,0.00,in,A
2021-10-12 16:27:57,2021-10-12 16:28:05,0.00,in,A
2021-10-12 16:12:56,2021-10-12 16:13:05,0.00,in,A
2021-10-12 15:57:56,2021-10-12 15:58:05,0.00,in,A
2021-10-12 15:42:57,2021-10-12 15:43:05,0.00,in,A
2021-10-12 15:27:56,2021-10-12 15:28:05,0.00,in,A
2021-10-12 15:12:56,2021-10-12 15:13:05,0.00,in,A
2021-10-12 14:57:57,2021-10-12 14:58:05,0.00,in,A
2021-10-12 14:42:56,2021-10-12 14:43:05,0.00,in,A
2021-10-12 14:27:56,2021-10-12 14:28:05,0.00,in,A
2021-10-12 14:12:57,2021-10-12 14:13:05,0.00,in,A
2021-10-12 13:57:57,2021-10-12 13:58:05,0.00,in,A
2021-10-12 13:42:56,2021-10-12 13:43:05,0.00,in,A
2021-10-12 13:27:56,2021-10-12 13:28:05,0.00,in,A
2021-10-12 13:12:57,2021-10-12 13:13:05,0.00,in,A
2021-10-12 12:57:56,2021-10-12 12:58:05,0.00,in,A
2021-10-12 12:42:56,2021-10-12 12:43:05,0.00,in,A
2021-10-12 12:27:57,2021-10-12 12:28:05,0.00,in,A
2021-10-12 12:12:56,2021-10-12 12:13:05,0.00,in,A
2021-10-12 11:57:56,2021-10-12 11:58:05,0.00,in,A
2021-10-12 11:42:56,2021-10-12 11:43:05,0.00,in,A
2021-10-12 11:27:57,2021-10-12 11:28:05,0.00,in,A
2021-10-12 11:12:56,2021-10-12 11:13:05,0.00,in,A
2021-10-12 10:57:56,2021-10-12 10:58:05,0.00,in,A
2021-10-12 10:42:57,2021-10-12 10:43:05,0.00,in,A
2021-10-12 10:27:56,2021-10-12 10:28:05,0.00,in,A
2021-10-12 10:12:56,2021-10-12 10:13:05,0.00,in,A
2021-10-12 09:57:57,2021-10-12 09:58:05,0.00,in,A
2021-10-12 09:42:57,2021-10-12 09:43:05,0.00,in,A
2021-10-12 09:27:56,2021-10-12 09:28:05,0.00,in,A
2021-10-12 09:12:56,2021-10-12 09:13:05,0.00,in,A
2021-10-12 08:57:57,2021-10-12 08:58:05,0.00,in,A
2021-10-12 08:42:56,2021-10-12 08:43:05,0.00,in,A
2021-10-12 08:27:56,2021-10-12 08:28:05,0.00,in,A
2021-10-12 08:12:57,2021-10-12 08:13:05,0.00,in,A
2021-10-12 07:57:57,2021-10-12 07:58:05,0.00,in,A
2021-10-12 07:42:56,2021-10-12 07:43:05,0.00,in,A
2021-10-12 07:27:56,2021-10-12 07:28:05,0.00,in,A
2021-10-12 07:12:57,2021-10-12 07:13:05,0.00,in,A
2021-10-12 06:57:56,2021-10-12 06:58:05,0.00,in,A
2021-10-12 06:42:57,2021-10-12 06:43:05,0.00,in,A
2021-10-12 06:27:57,2021-10-12 06:28:05,0.00,in,A
2021-10-12 06:12:56,2021-10-12 06:13:05,0.00,in,A
2021-10-12 05:57:56,2021-10-12 05:58:05,0.00,in,A
2021-10-12 05:42:57,2021-10-12 05:43:05,0.00,in,A
2021-10-12 05:27:57,2021-10-12 05:28:05,0.00,in,A
2021-10-12 05:12:56,2021-10-12 05:13:05,0.00,in,A
2021-10-12 04:57:56,2021-10-12 04:58:05,0.00,in,A
2021-10-12 04:42:57,2021-10-12 04:43:05,0.00,in,A
2021-10-12 04:27:56,2021-10-12 04:28:05,0.00,in,A
2021-10-12 04:12:56,2021-10-12 04:13:05,0.00,in,A
2021-10-12 03:57:57,2021-10-12 03:58:05,0.00,in,A
2021-10-12 03:42:57,2021-10-12 03:43:05,0.00,in,A
2021-10-12 03:27:56,2021-10-12 03:28:05,0.00,in,A
2021-10-12 03:12:56,2021-10-12 03:13:05,0.00,in,A
2021-10-12 02:57:57,2021-10-12 02:58:05,0.00,in,A
2021-10-12 02:42:56,2021-10-12 02:43:05,0.00,in,A
2021-10-12 02:27:56,2021-10-12 02:28:05,0.00,in,A
2021-10-12 02:12:57,2021-10-12 02:13:05,0.00,in,A
2021-10-12 01:57:57,2021-10-12 01:58:05,0.00,in,A
2021-10-12 01:42:56,2021-10-12 01:43:05,0.00,in,A
2021-10-12 01:27:56,2021-10-12 01:28:05,0.00,in,A
2021-10-12 01:12:57,2021-10-12 01:13:05,0.00,in,A
2021-10-12 00:57:56,2021-10-12 00:58:05,0.00,in,A
2021-10-12 00:42:56,2021-10-12 00:43:05,0.00,in,A
2021-10-12 00:27:57,2021-10-12 00:28:05,0.00,in,A
2021-10-12 00:12:56,2021-10-12 00:13:05,0.00,in,A
2021-10-11 23:57:56,2021-10-11 23:58:05,0.00,in,A
2021-10-11 23:42:57,2021-10-11 23:43:05,0.00,in,A
2021-10-11 23:27:57,2021-10-11 23:28:05,0.00,in,A
2021-10-11 23:12:56,2021-10-11 23:13:05,0.00,in,A
2021-10-11 22:57:56,2021-10-11 22:58:05,0.00,in,A
2021-10-11 22:42:57,2021-10-11 22:43:05,0.00,in,A
2021-10-11 22:27:56,2021-10-11 22:28:05,0.00,in,A
2021-10-11 22:12:56,2021-10-11 22:13:05,0.00,in,A
2021-10-11 21:57:57,2021-10-11 21:58:05,0.00,in,A
2021-10-11 21:42:57,2021-10-11 21:43:05,0.00,in,A
2021-10-11 21:27:56,2021-10-11 21:28:05,0.00,in,A
2021-10-11 21:12:56,2021-10-11 21:13:05,0.00,in,A
2021-10-11 20:57:57,2021-10-11 20:58:05,0.00,in,A
2021-10-11 20:42:56,2021-10-11 20:43:06,0.00,in,A
2021-10-11 20:27:56,2021-10-11 20:28:05,0.00,in,A
2021-10-11 20:12:57,2021-10-11 20:13:05,0.00,in,A
2021-10-11 19:57:57,2021-10-11 19:58:05,0.00,in,A
2021-10-11 19:42:56,2021-10-11 19:43:05,0.00,in,A
2021-10-11 19:27:56,2021-10-11 19:28:05,0.00,in,A
