Reading,Receive,Value,Unit,Data Quality
2021-10-13 23:47:55,2021-10-13 23:48:05,3.09,ft,A
2021-10-13 23:32:55,2021-10-13 23:33:05,3.09,ft,A
2021-10-13 23:17:54,2021-10-13 23:18:05,3.09,ft,A
2021-10-13 23:02:53,2021-10-13 23:03:20,3.09,ft,A
2021-10-13 22:47:55,2021-10-13 22:48:05,3.06,ft,A
2021-10-13 22:32:54,2021-10-13 22:33:20,3.09,ft,A
2021-10-13 22:32:53,2021-10-13 22:33:05,3.09,ft,A
2021-10-13 22:17:55,2021-10-13 22:18:05,3.06,ft,A
2021-10-13 22:02:52,2021-10-13 22:03:05,3.06,ft,A
2021-10-13 21:47:52,2021-10-13 21:48:05,3.06,ft,A
2021-10-13 21:32:55,2021-10-13 21:33:05,3.06,ft,A
2021-10-13 21:17:52,2021-10-13 21:18:05,3.06,ft,A
2021-10-13 21:02:52,2021-10-13 21:03:05,3.06,ft,A
2021-10-13 20:47:52,2021-10-13 20:48:05,3.06,ft,A
2021-10-13 20:32:52,2021-10-13 20:33:05,3.06,ft,A
2021-10-13 20:17:58,2021-10-13 20:18:20,3.03,ft,A
2021-10-13 20:02:52,2021-10-13 20:03:05,3.03,ft,A
2021-10-13 19:47:52,2021-10-13 19:48:05,3.06,ft,A
2021-10-13 19:32:56,2021-10-13 19:33:20,3.06,ft,A
2021-10-13 19:32:54,2021-10-13 19:33:05,3.06,ft,A
2021-10-13 19:17:52,2021-10-13 19:18:05,3.06,ft,A
2021-10-13 19:02:52,2021-10-13 19:03:05,3.03,ft,A
2021-10-13 18:47:52,2021-10-13 18:48:05,3.03,ft,A
2021-10-13 18:32:53,2021-10-13 18:33:20,3.03,ft,A
2021-10-13 18:17:54,2021-10-13 18:18:05,3.03,ft,A
2021-10-13 18:02:53,2021-10-13 18:03:20,3.03,ft,A
2021-10-13 17:47:53,2021-10-13 17:48:05,2.99,ft,A
2021-10-13 17:32:54,2021-10-13 17:33:20,2.99,ft,A
2021-10-13 17:17:52,2021-10-13 17:18:20,2.99,ft,A
2021-10-13 17:02:55,2021-10-13 17:03:20,2.99,ft,A
2021-10-13 17:02:54,2021-10-13 17:03:05,2.99,ft,A
2021-10-13 16:47:52,2021-10-13 16:48:05,2.99,ft,A
2021-10-13 16:32:52,2021-10-13 16:33:05,2.96,ft,A
2021-10-13 16:17:55,2021-10-13 16:18:05,2.96,ft,A
2021-10-13 16:02:53,2021-10-13 16:03:05,2.96,ft,A
2021-10-13 15:47:53,2021-10-13 15:48:20,2.96,ft,A
2021-10-13 15:32:52,2021-10-13 15:33:05,2.93,ft,A
2021-10-13 15:17:52,2021-10-13 15:18:05,2.93,ft,A
2021-10-13 15:02:57,2021-10-13 15:03:20,2.96,ft,A
2021-10-13 14:47:53,2021-10-13 14:48:20,2.96,ft,A
2021-10-13 14:32:53,2021-10-13 14:33:20,2.93,ft,A
2021-10-13 14:17:54,2021-10-13 14:18:20,2.93,ft,A
2021-10-13 14:02:53,2021-10-13 14:03:20,2.93,ft,A
2021-10-13 13:47:54,2021-10-13 13:48:05,2.93,ft,A
2021-10-13 13:32:53,2021-10-13 13:33:05,2.93,ft,A
2021-10-13 13:17:53,2021-10-13 13:18:05,2.93,ft,A
2021-10-13 13:02:55,2021-10-13 13:03:05,2.93,ft,A
2021-10-13 12:47:53,2021-10-13 12:48:05,2.93,ft,A
2021-10-13 12:32:53,2021-10-13 12:33:20,2.96,ft,A
2021-10-13 12:17:55,2021-10-13 12:18:20,2.96,ft,A
2021-10-13 12:02:53,2021-10-13 12:03:20,2.93,ft,A
2021-10-13 11:47:53,2021-10-13 11:48:20,2.96,ft,A
2021-10-13 11:32:53,2021-10-13 11:33:20,2.96,ft,A
2021-10-13 11:17:53,2021-10-13 11:18:20,2.96,ft,A
2021-10-13 10:47:55,2021-10-13 10:48:20,2.96,ft,A
2021-10-13 10:32:53,2021-10-13 10:33:20,2.96,ft,A
2021-10-13 10:17:52,2021-10-13 10:18:05,2.96,ft,A
2021-10-13 10:02:53,2021-10-13 10:03:20,2.96,ft,A
2021-10-13 09:47:56,2021-10-13 09:48:20,2.93,ft,A
2021-10-13 09:32:56,2021-10-13 09:33:20,2.93,ft,A
2021-10-13 09:17:53,2021-10-13 09:18:20,2.93,ft,A
2021-10-13 09:02:52,2021-10-13 09:03:05,2.93,ft,A
2021-10-13 08:47:55,2021-10-13 08:48:05,2.93,ft,A
2021-10-13 08:17:52,2021-10-13 08:18:05,2.93,ft,A
2021-10-13 08:02:52,2021-10-13 08:03:05,2.90,ft,A
2021-10-13 07:47:53,2021-10-13 07:48:20,2.90,ft,A
2021-10-13 07:32:52,2021-10-13 07:33:20,2.86,ft,A
2021-10-13 07:17:55,2021-10-13 07:18:20,2.86,ft,A
2021-10-13 07:02:53,2021-10-13 07:03:20,2.86,ft,A
2021-10-13 06:47:54,2021-10-13 06:48:05,2.83,ft,A
2021-10-13 06:32:57,2021-10-13 06:33:05,2.83,ft,A
2021-10-13 06:17:54,2021-10-13 06:18:05,2.83,ft,A
2021-10-13 06:17:53,2021-10-13 06:18:20,2.83,ft,A
2021-10-13 06:02:55,2021-10-13 06:03:05,2.83,ft,A
2021-10-13 05:47:54,2021-10-13 05:48:20,2.83,ft,A
2021-10-13 05:32:54,2021-10-13 05:33:05,2.83,ft,A
2021-10-13 05:32:53,2021-10-13 05:33:20,2.83,ft,A
2021-10-13 05:17:54,2021-10-13 05:18:05,2.83,ft,A
2021-10-13 05:17:53,2021-10-13 05:18:20,2.83,ft,A
2021-10-13 05:02:55,2021-10-13 05:03:05,2.86,ft,A
2021-10-13 04:47:54,2021-10-13 04:48:20,2.86,ft,A
2021-10-13 04:32:53,2021-10-13 04:33:20,2.83,ft,A
2021-10-13 04:17:54,2021-10-13 04:18:20,2.86,ft,A
2021-10-13 04:02:56,2021-10-13 04:03:05,2.83,ft,A
2021-10-13 03:47:53,2021-10-13 03:48:05,2.83,ft,A
2021-10-13 03:32:54,2021-10-13 03:33:05,2.83,ft,A
2021-10-13 03:32:53,2021-10-13 03:33:20,2.83,ft,A
2021-10-13 03:17:53,2021-10-13 03:18:20,2.83,ft,A
2021-10-13 03:02:54,2021-10-13 03:03:05,2.83,ft,A
2021-10-13 02:47:53,2021-10-13 02:48:05,2.83,ft,A
2021-10-13 02:32:53,2021-10-13 02:33:20,2.83,ft,A
2021-10-13 02:17:54,2021-10-13 02:18:05,2.83,ft,A
2021-10-13 02:02:53,2021-10-13 02:03:20,2.80,ft,A
2021-10-13 01:47:53,2021-10-13 01:48:20,2.80,ft,A
2021-10-13 01:32:54,2021-10-13 01:33:20,2.76,ft,A
2021-10-13 01:17:53,2021-10-13 01:18:05,2.76,ft,A
2021-10-13 01:02:53,2021-10-13 01:03:20,2.76,ft,A
2021-10-13 00:47:56,2021-10-13 00:48:20,2.76,ft,A
2021-10-13 00:32:53,2021-10-13 00:33:20,2.80,ft,A
2021-10-13 00:17:53,2021-10-13 00:18:20,2.80,ft,A
2021-10-13 00:02:53,2021-10-13 00:03:20,2.80,ft,A
2021-10-12 23:47:53,2021-10-12 23:48:20,2.83,ft,A
2021-10-12 23:47:52,2021-10-12 23:48:05,2.83,ft,A
2021-10-12 23:32:52,2021-10-12 23:33:20,2.83,ft,A
2021-10-12 23:17:54,2021-10-12 23:18:20,2.83,ft,A
