date_time,"Event, units (LGR S/N: 10497667, SEN S/N: 10497667)"
10/22/2015 12:02,0.1
10/22/2015 12:10,0.2
10/22/2015 12:19,0.3
10/22/2015 12:25,0.4
10/22/2015 12:33,0.5
10/22/2015 12:40,0.6
10/22/2015 12:48,0.7
10/22/2015 12:58,0.8
10/22/2015 13:10,0.9
10/22/2015 13:23,1
10/22/2015 13:51,1.1
10/22/2015 14:20,1.2
10/22/2015 15:49,1.3
10/22/2015 16:13,1.4
10/22/2015 16:31,1.5
10/22/2015 16:42,1.6
10/22/2015 16:55,1.7
10/22/2015 17:08,1.8
10/22/2015 17:20,1.9
10/22/2015 17:32,2
10/22/2015 17:45,2.1
10/22/2015 17:57,2.2
10/22/2015 18:15,2.3
10/22/2015 18:36,2.4
10/22/2015 19:18,2.5
10/22/2015 22:10,2.6
10/23/2015 0:07,2.7
11/4/2015 14:59,2.8
11/4/2015 15:23,2.9
11/4/2015 15:30,3
11/4/2015 15:38,3.1
11/4/2015 15:52,3.2
11/4/2015 16:10,3.3
11/4/2015 16:16,3.4
11/4/2015 16:21,3.5
11/4/2015 16:25,3.6
11/4/2015 17:10,3.7
11/4/2015 17:18,3.8
11/4/2015 17:20,3.9
11/4/2015 17:23,4
11/4/2015 17:28,4.1
11/4/2015 17:33,4.2
11/4/2015 17:37,4.3
11/4/2015 17:40,4.4
11/4/2015 17:48,4.5
11/4/2015 17:52,4.6
11/4/2015 17:55,4.7
11/4/2015 17:57,4.8
11/4/2015 18:01,4.9
11/4/2015 18:04,5
11/4/2015 18:08,5.1
11/4/2015 18:11,5.2
11/4/2015 18:16,5.3
11/4/2015 18:19,5.4
11/4/2015 18:23,5.5
11/4/2015 18:27,5.6
11/4/2015 18:30,5.7
11/4/2015 18:34,5.8
11/4/2015 18:42,5.9
11/4/2015 18:46,6
11/4/2015 18:53,6.1
11/4/2015 19:00,6.2
11/4/2015 19:21,6.3
11/4/2015 19:32,6.4
11/4/2015 20:09,6.5
11/4/2015 20:36,6.6
11/4/2015 21:24,6.7
11/4/2015 21:46,6.8
11/4/2015 21:58,6.9
11/4/2015 22:02,7
11/4/2015 22:05,7.1
11/4/2015 22:09,7.2
11/4/2015 22:14,7.3
11/4/2015 22:17,7.4
11/4/2015 22:28,7.5
11/4/2015 22:37,7.6
11/4/2015 22:42,7.7
11/4/2015 22:46,7.8
11/4/2015 22:51,7.9
11/4/2015 22:55,8
11/4/2015 23:02,8.1
11/4/2015 23:07,8.2
11/4/2015 23:20,8.3
11/4/2015 23:35,8.4
11/5/2015 0:05,8.5
11/5/2015 0:25,8.6
11/5/2015 1:45,8.7
11/5/2015 2:01,8.8
11/5/2015 2:14,8.9
11/5/2015 2:25,9
11/5/2015 2:35,9.1
11/5/2015 3:00,9.2
11/7/2015 7:55,9.3
11/11/2015 9:59,9.4
11/11/2015 10:01,9.5
11/11/2015 10:02,9.6
11/11/2015 10:04,9.7
11/11/2015 10:05,9.8
11/11/2015 10:07,9.9
11/11/2015 10:09,10
11/11/2015 10:11,10.1
11/11/2015 10:13,10.2
11/11/2015 10:16,10.3
11/11/2015 10:18,10.4
11/11/2015 10:22,10.5
11/11/2015 10:25,10.6
11/11/2015 10:29,10.7
11/11/2015 10:32,10.8
11/11/2015 10:36,10.9
11/11/2015 10:40,11
11/11/2015 10:47,11.1
11/16/2015 21:15,11.2
11/17/2015 10:01,11.3
11/17/2015 10:04,11.4
11/17/2015 10:09,11.5
11/17/2015 10:14,11.6
11/20/2015 9:15,11.7
11/20/2015 9:25,11.8
11/21/2015 11:37,11.9
11/21/2015 11:53,12
12/2/2015 9:01,12.1
12/2/2015 9:09,12.2
12/2/2015 9:15,12.3
12/2/2015 9:19,12.4
12/2/2015 9:25,12.5
12/2/2015 9:32,12.6
12/2/2015 9:40,12.7
12/2/2015 9:47,12.8
12/2/2015 9:59,12.9
12/2/2015 10:13,13
12/2/2015 10:25,13.1
12/13/2015 12:14,13.2
12/13/2015 12:17,13.3
12/13/2015 12:19,13.4
12/13/2015 12:22,13.5
12/13/2015 12:25,13.6
12/13/2015 12:29,13.7
12/13/2015 12:33,13.8
12/13/2015 12:40,13.9
12/13/2015 12:59,14
12/13/2015 13:15,14.1
12/13/2015 13:17,14.2
12/13/2015 13:20,14.3
12/13/2015 13:22,14.4
12/13/2015 13:26,14.5
12/13/2015 13:29,14.6
12/13/2015 13:31,14.7
12/13/2015 13:35,14.8
12/13/2015 13:38,14.9
12/13/2015 13:40,15
12/13/2015 13:43,15.1
12/13/2015 13:45,15.2
12/13/2015 13:48,15.3
12/13/2015 13:53,15.4
12/15/2015 13:53,15.5
12/16/2015 9:03,15.6
12/16/2015 9:10,15.7
12/16/2015 9:10,15.8
12/16/2015 11:44,15.9
12/16/2015 11:51,16
12/18/2015 9:41,16.1
12/18/2015 9:49,16.2
12/18/2015 9:54,16.3
12/23/2015 9:39,16.4
12/23/2015 9:45,16.5
12/23/2015 9:55,16.6
12/23/2015 10:02,16.7
12/23/2015 10:10,16.8
12/23/2015 10:19,16.9
1/10/2016 12:28,17
1/10/2016 13:32,17.1
1/10/2016 13:54,17.2
1/10/2016 14:13,17.3
1/10/2016 14:35,17.4
1/10/2016 14:49,17.5
1/11/2016 11:58,17.6
1/11/2016 13:44,17.7
1/11/2016 14:13,17.8
1/11/2016 14:58,17.9
1/12/2016 10:18,18
1/12/2016 10:32,18.1
1/12/2016 10:44,18.2
1/12/2016 10:58,18.3
1/12/2016 11:17,18.4
1/12/2016 11:31,18.5
1/12/2016 11:45,18.6
1/12/2016 12:01,18.7
1/12/2016 12:08,18.8
1/12/2016 12:12,18.9
1/31/2016 11:50,19
1/31/2016 12:02,19.1
1/31/2016 12:12,19.2
1/31/2016 12:22,19.3
2/3/2016 10:14,19.4
2/5/2016 11:10,19.5
2/5/2016 11:38,19.6
2/5/2016 11:46,19.7
2/5/2016 11:55,19.8
2/5/2016 12:05,19.9
2/5/2016 12:16,20
2/23/2016 9:47,20.1
2/23/2016 9:48,20.2
2/23/2016 9:50,20.3
2/23/2016 9:52,20.4
2/23/2016 9:54,20.5
2/23/2016 9:56,20.6
2/23/2016 9:59,20.7
2/23/2016 10:04,20.8
2/23/2016 10:10,20.9
2/23/2016 10:30,21
2/23/2016 10:36,21.1
2/23/2016 10:51,21.2
3/7/2016 9:57,21.3
3/18/2016 11:15,21.4
3/18/2016 11:27,21.5
3/18/2016 11:30,21.6
3/18/2016 11:33,21.7
3/18/2016 11:36,21.8
3/18/2016 11:39,21.9
3/18/2016 11:49,22
3/18/2016 11:53,22.1
3/18/2016 11:59,22.2
3/18/2016 12:02,22.3
3/18/2016 12:07,22.4
3/18/2016 12:11,22.5
3/18/2016 12:15,22.6
3/18/2016 12:19,22.7
3/18/2016 12:25,22.8
3/18/2016 12:29,22.9
3/18/2016 12:35,23
3/18/2016 12:42,23.1
3/18/2016 12:53,23.2
3/18/2016 13:02,23.3
3/18/2016 13:15,23.4
3/18/2016 13:26,23.5
3/18/2016 13:37,23.6
3/18/2016 13:46,23.7
3/18/2016 14:06,23.8
3/18/2016 14:23,23.9
3/19/2016 10:11,24
3/19/2016 10:37,24.1
3/22/2016 22:57,24.2
3/22/2016 23:02,24.3
3/22/2016 23:07,24.4
3/22/2016 23:09,24.5
3/22/2016 23:11,24.6
3/22/2016 23:14,24.7
3/22/2016 23:17,24.8
3/22/2016 23:19,24.9
3/22/2016 23:22,25
3/22/2016 23:24,25.1
3/22/2016 23:28,25.2
3/22/2016 23:31,25.3
3/22/2016 23:39,25.4
3/22/2016 23:43,25.5
3/22/2016 23:50,25.6
3/22/2016 23:55,25.7
3/23/2016 0:04,25.8
3/23/2016 0:11,25.9
3/23/2016 0:23,26
3/23/2016 0:34,26.1
3/23/2016 0:42,26.2
3/23/2016 0:48,26.3
3/23/2016 3:22,26.4
3/24/2016 8:50,26.5
3/24/2016 8:58,26.6
3/24/2016 9:00,26.7
3/24/2016 9:05,26.8
3/24/2016 9:08,26.9
3/24/2016 9:13,27
3/24/2016 9:17,27.1
3/24/2016 9:20,27.2
3/24/2016 9:22,27.3
3/24/2016 9:25,27.4
3/24/2016 9:28,27.5
3/24/2016 9:31,27.6
3/24/2016 9:33,27.7
3/24/2016 9:35,27.8
3/24/2016 9:38,27.9
3/24/2016 9:40,28
3/24/2016 9:42,28.1
3/24/2016 9:44,28.2
3/24/2016 9:47,28.3
3/24/2016 9:50,28.4
3/24/2016 9:52,28.5
3/24/2016 9:54,28.6
3/24/2016 9:56,28.7
3/24/2016 9:58,28.8
3/24/2016 10:00,28.9
3/24/2016 10:02,29
3/24/2016 10:05,29.1
3/24/2016 10:07,29.2
3/24/2016 10:09,29.3
3/24/2016 10:11,29.4
3/24/2016 10:13,29.5
3/24/2016 10:16,29.6
3/24/2016 10:18,29.7
3/29/2016 17:12,29.8
3/29/2016 19:46,29.9
3/29/2016 19:57,30
3/29/2016 20:01,30.1
3/29/2016 20:05,30.2
3/29/2016 20:10,30.3
3/29/2016 20:14,30.4
3/29/2016 20:18,30.5
3/29/2016 20:35,30.6
3/29/2016 22:53,30.7
3/29/2016 23:17,30.8
3/29/2016 23:29,30.9
3/29/2016 23:37,31
3/29/2016 23:56,31.1
3/30/2016 12:46,31.2
3/30/2016 13:26,31.3
3/30/2016 14:00,31.4
3/30/2016 14:22,31.5
4/10/2016 16:21,31.6
4/10/2016 18:12,31.7
4/10/2016 18:24,31.8
4/10/2016 18:42,31.9
4/10/2016 18:47,32
4/10/2016 18:53,32.1
4/10/2016 19:04,32.2
4/10/2016 19:09,32.3
4/10/2016 19:16,32.4
4/10/2016 19:22,32.5
4/10/2016 19:25,32.6
4/10/2016 19:27,32.7
4/10/2016 19:34,32.8
4/10/2016 19:43,32.9
4/10/2016 21:24,33
4/10/2016 23:55,33.1
4/11/2016 0:48,33.2
4/11/2016 2:25,33.3
4/11/2016 5:51,33.4
4/15/2016 12:28,33.5
4/15/2016 12:50,33.6
4/15/2016 13:02,33.7
4/15/2016 13:11,33.8
4/15/2016 13:15,33.9
4/15/2016 13:20,34
4/15/2016 13:23,34.1
4/15/2016 13:28,34.2
4/15/2016 13:32,34.3
4/15/2016 13:36,34.4
4/15/2016 13:40,34.5
4/15/2016 13:44,34.6
4/15/2016 13:47,34.7
4/15/2016 13:51,34.8
4/15/2016 13:53,34.9
4/15/2016 13:57,35
4/15/2016 14:01,35.1
4/15/2016 14:06,35.2
4/15/2016 14:10,35.3
4/15/2016 14:15,35.4
4/15/2016 14:18,35.5
4/15/2016 14:24,35.6
4/15/2016 14:28,35.7
4/15/2016 14:35,35.8
4/15/2016 14:41,35.9
4/15/2016 14:53,36
4/15/2016 15:07,36.1
4/15/2016 15:26,36.2
4/15/2016 15:39,36.3
4/15/2016 21:20,36.4
4/15/2016 21:52,36.5
4/15/2016 22:26,36.6
4/15/2016 23:42,36.7
4/16/2016 1:54,36.8
4/16/2016 7:56,36.9
4/16/2016 8:15,37
4/16/2016 8:33,37.1
4/16/2016 9:06,37.2
4/16/2016 9:20,37.3
4/16/2016 9:37,37.4
4/16/2016 9:46,37.5
4/16/2016 10:02,37.6
4/16/2016 10:07,37.7
4/16/2016 10:15,37.8
4/16/2016 10:19,37.9
4/16/2016 10:24,38
4/16/2016 10:29,38.1
4/16/2016 10:35,38.2
4/16/2016 10:40,38.3
4/16/2016 10:51,38.4
4/16/2016 11:02,38.5
4/16/2016 11:20,38.6
4/16/2016 12:37,38.7
4/16/2016 14:29,38.8
4/17/2016 11:54,38.9
4/17/2016 11:57,39
4/17/2016 11:59,39.1
4/17/2016 12:02,39.2
4/17/2016 12:05,39.3
4/17/2016 12:09,39.4
4/17/2016 12:13,39.5
4/17/2016 12:17,39.6
4/17/2016 12:20,39.7
4/17/2016 12:24,39.8
4/17/2016 12:27,39.9
4/17/2016 12:31,40
4/17/2016 12:35,40.1
4/17/2016 12:38,40.2
4/17/2016 12:40,40.3
4/17/2016 12:43,40.4
4/17/2016 12:45,40.5
4/17/2016 12:48,40.6
4/17/2016 12:50,40.7
4/17/2016 12:53,40.8
4/17/2016 12:55,40.9
4/17/2016 12:57,41
4/17/2016 13:00,41.1
4/17/2016 13:03,41.2
4/17/2016 13:05,41.3
4/17/2016 13:08,41.4
4/17/2016 13:10,41.5
4/17/2016 13:12,41.6
4/17/2016 13:14,41.7
4/17/2016 13:17,41.8
4/17/2016 13:19,41.9
4/17/2016 13:22,42
4/17/2016 13:24,42.1
4/17/2016 13:28,42.2
4/17/2016 13:30,42.3
4/17/2016 13:35,42.4
4/17/2016 13:38,42.5
4/17/2016 13:42,42.6
4/17/2016 13:46,42.7
4/17/2016 13:50,42.8
4/17/2016 13:54,42.9
4/25/2016 20:44,43
4/25/2016 21:06,43.1
4/25/2016 21:08,43.2
4/25/2016 21:20,43.3
4/25/2016 21:27,43.4
4/25/2016 21:29,43.5
4/25/2016 21:30,43.6
4/25/2016 21:32,43.7
4/25/2016 21:41,43.8
4/26/2016 0:29,43.9
4/26/2016 0:35,44
4/26/2016 0:37,44.1
4/26/2016 0:39,44.2
4/26/2016 0:40,44.3
4/26/2016 0:42,44.4
4/26/2016 0:45,44.5
4/26/2016 0:58,44.6
4/26/2016 1:39,44.7
4/26/2016 1:43,44.8
4/26/2016 1:45,44.9
4/26/2016 1:48,45
4/26/2016 1:51,45.1
4/26/2016 1:56,45.2
4/26/2016 1:59,45.3
4/26/2016 2:17,45.4
4/26/2016 5:21,45.5
4/26/2016 5:31,45.6
4/26/2016 5:37,45.7
4/26/2016 5:43,45.8
4/26/2016 5:48,45.9
4/26/2016 5:56,46
4/26/2016 15:07,46.1
4/26/2016 15:36,46.2
4/27/2016 12:52,46.3
4/28/2016 12:24,46.4
4/28/2016 12:41,46.5
4/28/2016 13:03,46.6
4/28/2016 13:32,46.7
4/28/2016 17:19,46.8
4/28/2016 17:49,46.9
4/28/2016 18:35,47
4/28/2016 19:07,47.1
4/28/2016 20:44,47.2
4/28/2016 21:52,47.3
4/28/2016 23:36,47.4
4/29/2016 0:21,47.5
4/29/2016 0:57,47.6
4/29/2016 1:35,47.7
4/29/2016 2:03,47.8
4/29/2016 10:10,47.9
4/29/2016 10:34,48
4/29/2016 10:46,48.1
4/29/2016 10:57,48.2
4/29/2016 11:11,48.3
4/29/2016 13:33,48.4
4/29/2016 15:08,48.5
4/29/2016 15:13,48.6
4/29/2016 15:18,48.7
4/29/2016 15:24,48.8
4/29/2016 15:30,48.9
4/29/2016 15:37,49
4/29/2016 15:43,49.1
4/29/2016 15:49,49.2
4/29/2016 15:54,49.3
4/29/2016 15:59,49.4
4/29/2016 16:03,49.5
4/29/2016 16:08,49.6
4/29/2016 16:12,49.7
4/29/2016 16:16,49.8
4/29/2016 16:20,49.9
4/29/2016 16:25,50
4/29/2016 16:30,50.1
4/29/2016 16:36,50.2
4/29/2016 16:40,50.3
4/29/2016 16:46,50.4
4/29/2016 16:51,50.5
4/29/2016 16:58,50.6
4/29/2016 17:06,50.7
4/29/2016 17:18,50.8
4/29/2016 17:32,50.9
4/30/2016 8:03,51
4/30/2016 9:07,51.1
4/30/2016 9:18,51.2
4/30/2016 9:25,51.3
4/30/2016 9:29,51.4
4/30/2016 9:34,51.5
4/30/2016 9:38,51.6
4/30/2016 9:42,51.7
4/30/2016 9:51,51.8
4/30/2016 9:57,51.9
4/30/2016 10:06,52
4/30/2016 10:13,52.1
4/30/2016 10:22,52.2
4/30/2016 10:30,52.3
4/30/2016 10:45,52.4
4/30/2016 11:14,52.5
4/30/2016 11:29,52.6
4/30/2016 11:45,52.7
4/30/2016 12:10,52.8
4/30/2016 12:31,52.9
4/30/2016 13:01,53
4/30/2016 13:13,53.1
4/30/2016 13:27,53.2
4/30/2016 13:39,53.3
4/30/2016 13:55,53.4
4/30/2016 14:08,53.5
4/30/2016 14:20,53.6
4/30/2016 14:33,53.7
4/30/2016 14:44,53.8
4/30/2016 14:51,53.9
4/30/2016 15:30,54
4/30/2016 15:56,54.1
4/30/2016 16:45,54.2
5/1/2016 9:36,54.3
5/1/2016 9:39,54.4
5/1/2016 9:41,54.5
5/1/2016 9:44,54.6
5/1/2016 9:46,54.7
5/1/2016 9:51,54.8
5/1/2016 9:54,54.9
5/1/2016 10:01,55
5/1/2016 10:08,55.1
5/7/2016 11:20,55.2
5/7/2016 11:28,55.3
5/7/2016 11:39,55.4
5/7/2016 11:47,55.5
5/7/2016 11:57,55.6
5/7/2016 13:05,55.7
5/7/2016 13:14,55.8
5/7/2016 13:22,55.9
5/7/2016 13:28,56
5/7/2016 13:34,56.1
5/7/2016 13:36,56.2
5/7/2016 13:36,56.3
5/7/2016 13:37,56.4
5/7/2016 13:38,56.5
5/7/2016 13:38,56.6
5/7/2016 13:39,56.7
5/7/2016 13:40,56.8
5/7/2016 13:40,56.9
5/7/2016 13:41,57
5/7/2016 13:41,57.1
5/7/2016 13:42,57.2
5/7/2016 13:42,57.3
5/7/2016 13:44,57.4
5/7/2016 13:45,57.5
5/7/2016 13:46,57.6
5/7/2016 13:47,57.7
5/7/2016 13:47,57.8
5/7/2016 13:48,57.9
5/7/2016 13:49,58
5/7/2016 13:50,58.1
5/7/2016 13:52,58.2
5/7/2016 13:53,58.3
5/7/2016 13:55,58.4
5/7/2016 13:57,58.5
5/7/2016 14:01,58.6
5/7/2016 14:06,58.7
5/7/2016 14:11,58.8
5/7/2016 14:12,58.9
5/7/2016 14:14,59
5/7/2016 14:16,59.1
5/7/2016 14:18,59.2
5/7/2016 14:23,59.3
5/7/2016 15:11,59.4
5/7/2016 15:17,59.5
5/7/2016 15:22,59.6
5/7/2016 15:28,59.7
5/7/2016 15:35,59.8
5/7/2016 15:38,59.9
5/7/2016 15:42,60
5/7/2016 15:46,60.1
5/7/2016 15:54,60.2
5/7/2016 15:58,60.3
5/7/2016 16:05,60.4
5/8/2016 13:08,60.5
5/10/2016 2:57,60.6
5/10/2016 2:58,60.7
5/10/2016 3:01,60.8
5/10/2016 3:07,60.9
5/10/2016 3:40,61
5/14/2016 3:36,61.1
5/14/2016 4:41,61.2
5/14/2016 5:07,61.3
5/14/2016 5:45,61.4
5/14/2016 6:10,61.5
5/14/2016 6:46,61.6
5/14/2016 7:15,61.7
5/14/2016 7:34,61.8
5/14/2016 7:57,61.9
5/14/2016 8:56,62
5/14/2016 9:54,62.1
5/15/2016 17:48,62.2
5/15/2016 17:55,62.3
5/15/2016 17:58,62.4
5/15/2016 18:00,62.5
5/15/2016 18:06,62.6
5/15/2016 18:09,62.7
5/15/2016 18:18,62.8
5/15/2016 22:33,62.9
5/16/2016 7:18,63
5/16/2016 7:42,63.1
5/16/2016 9:34,63.2
5/16/2016 9:39,63.3
5/16/2016 9:52,63.4
5/16/2016 9:56,63.5
5/16/2016 10:00,63.6
5/16/2016 10:04,63.7
5/16/2016 10:09,63.8
5/16/2016 10:14,63.9
5/16/2016 10:17,64
5/16/2016 10:20,64.1
5/16/2016 10:24,64.2
5/16/2016 10:26,64.3
5/16/2016 10:28,64.4
5/16/2016 10:30,64.5
5/16/2016 10:32,64.6
5/16/2016 10:35,64.7
5/16/2016 10:40,64.8
5/16/2016 10:42,64.9
5/16/2016 10:45,65
5/16/2016 10:49,65.1
5/16/2016 10:52,65.2
5/16/2016 10:55,65.3
5/16/2016 10:58,65.4
5/16/2016 11:01,65.5
5/16/2016 11:04,65.6
5/16/2016 11:07,65.7
5/16/2016 11:12,65.8
5/16/2016 11:16,65.9
5/16/2016 11:21,66
5/16/2016 11:23,66.1
5/16/2016 11:27,66.2
5/16/2016 11:30,66.3
5/16/2016 11:33,66.4
5/16/2016 11:35,66.5
5/16/2016 11:39,66.6
5/16/2016 11:42,66.7
5/16/2016 11:45,66.8
5/16/2016 11:46,66.9
5/16/2016 11:49,67
5/16/2016 11:51,67.1
5/16/2016 11:53,67.2
5/16/2016 11:55,67.3
5/16/2016 11:58,67.4
5/16/2016 12:02,67.5
5/16/2016 12:08,67.6
5/16/2016 12:13,67.7
5/16/2016 12:22,67.8
5/16/2016 12:29,67.9
5/16/2016 12:35,68
5/16/2016 12:39,68.1
5/16/2016 12:46,68.2
5/16/2016 12:52,68.3
5/16/2016 13:01,68.4
5/16/2016 13:07,68.5
5/16/2016 13:16,68.6
5/16/2016 13:20,68.7
5/16/2016 13:28,68.8
5/16/2016 13:41,68.9
5/16/2016 13:55,69
5/16/2016 14:03,69.1
5/16/2016 14:07,69.2
5/16/2016 14:11,69.3
5/16/2016 14:16,69.4
5/16/2016 14:20,69.5
5/16/2016 14:26,69.6
5/16/2016 14:29,69.7
5/16/2016 14:32,69.8
5/16/2016 14:36,69.9
5/16/2016 14:45,70
5/16/2016 14:50,70.1
5/16/2016 14:59,70.2
5/16/2016 15:05,70.3
5/16/2016 15:14,70.4
5/16/2016 15:22,70.5
5/16/2016 15:41,70.6
5/16/2016 15:46,70.7
5/16/2016 15:53,70.8
5/16/2016 15:56,70.9
5/16/2016 15:59,71
5/16/2016 16:01,71.1
5/16/2016 16:08,71.2
5/16/2016 16:15,71.3
5/16/2016 16:28,71.4
5/16/2016 16:37,71.5
5/16/2016 16:45,71.6
5/16/2016 16:48,71.7
5/16/2016 16:53,71.8
5/16/2016 17:00,71.9
5/16/2016 17:12,72
5/16/2016 17:26,72.1
5/16/2016 17:52,72.2
5/16/2016 18:09,72.3
5/16/2016 18:31,72.4
5/16/2016 18:51,72.5
5/16/2016 19:12,72.6
5/16/2016 19:26,72.7
5/16/2016 19:47,72.8
5/16/2016 20:04,72.9
5/16/2016 20:31,73
5/16/2016 20:46,73.1
5/16/2016 21:06,73.2
5/16/2016 21:19,73.3
5/16/2016 22:05,73.4
5/16/2016 23:21,73.5
5/17/2016 5:28,73.6
5/17/2016 6:24,73.7
5/17/2016 7:05,73.8
5/17/2016 7:18,73.9
5/17/2016 7:50,74
5/17/2016 9:00,74.1
5/17/2016 10:21,74.2
5/17/2016 11:07,74.3
5/17/2016 23:05,74.4
5/23/2016 14:16,74.5
5/27/2016 16:54,74.6
5/27/2016 17:23,74.7
5/27/2016 19:54,74.8
5/31/2016 15:09,74.9
6/8/2016 13:26,75
6/9/2016 18:03,75.1
6/17/2016 15:59,75.2
6/17/2016 16:04,75.3
6/24/2016 10:07,75.4
6/24/2016 10:09,75.5
6/24/2016 10:17,75.6
6/24/2016 10:17,75.7
6/24/2016 10:17,75.8
6/24/2016 10:18,75.9
6/24/2016 10:18,76
6/24/2016 10:19,76.1
6/24/2016 10:22,76.2
6/24/2016 12:22,76.3
6/24/2016 12:25,76.4
6/24/2016 12:26,76.5
6/24/2016 12:27,76.6
6/24/2016 12:28,76.7
6/24/2016 12:29,76.8
6/24/2016 12:29,76.9
6/24/2016 12:30,77
6/24/2016 12:30,77.1
6/24/2016 12:31,77.2
6/24/2016 12:31,77.3
6/24/2016 12:32,77.4
6/24/2016 12:32,77.5
6/24/2016 12:32,77.6
6/24/2016 12:33,77.7
6/24/2016 12:35,77.8
6/24/2016 12:36,77.9
6/24/2016 12:41,78
6/24/2016 13:41,78.1
6/24/2016 17:46,78.2
6/25/2016 11:31,78.3
6/25/2016 11:35,78.4
6/25/2016 11:48,78.5
6/27/2016 15:53,78.6
6/28/2016 16:44,78.7
6/30/2016 18:50,78.8
6/30/2016 18:52,78.9
6/30/2016 18:53,79
6/30/2016 18:54,79.1
6/30/2016 18:55,79.2
6/30/2016 18:58,79.3
6/30/2016 19:04,79.4
6/30/2016 19:47,79.5
7/1/2016 7:48,79.6
7/1/2016 16:03,79.7
7/1/2016 16:11,79.8
7/1/2016 16:20,79.9
7/3/2016 17:09,80
7/3/2016 17:10,80.1
7/3/2016 17:12,80.2
7/3/2016 17:17,80.3
7/5/2016 18:39,80.4
7/5/2016 19:50,80.5
7/5/2016 19:51,80.6
7/5/2016 19:52,80.7
7/5/2016 19:52,80.8
7/5/2016 19:53,80.9
7/5/2016 19:54,81
7/5/2016 19:54,81.1
7/5/2016 19:55,81.2
7/5/2016 19:57,81.3
7/5/2016 20:33,81.4
7/8/2016 16:25,81.5
7/15/2016 14:02,81.6
7/15/2016 14:05,81.7
7/15/2016 14:07,81.8
7/15/2016 14:09,81.9
7/15/2016 14:15,82
7/15/2016 14:16,82.1
7/15/2016 14:17,82.2
7/15/2016 14:18,82.3
7/15/2016 16:35,82.4
7/19/2016 17:20,82.5
7/19/2016 17:21,82.6
7/19/2016 17:21,82.7
7/19/2016 17:22,82.8
7/19/2016 17:22,82.9
7/19/2016 17:23,83
7/19/2016 17:23,83.1
7/19/2016 17:23,83.2
7/19/2016 17:23,83.3
7/19/2016 17:24,83.4
7/19/2016 17:24,83.5
7/19/2016 17:25,83.6
7/19/2016 17:27,83.7
7/19/2016 19:46,83.8
7/19/2016 19:48,83.9
7/19/2016 19:49,84
7/19/2016 19:49,84.1
7/19/2016 19:52,84.2
7/19/2016 20:52,84.3
7/19/2016 20:54,84.4
7/19/2016 20:55,84.5
7/19/2016 20:55,84.6
7/19/2016 20:56,84.7
7/19/2016 20:56,84.8
7/19/2016 20:57,84.9
7/19/2016 20:57,85
7/19/2016 20:59,85.1
7/19/2016 21:35,85.2
7/19/2016 21:37,85.3
7/19/2016 21:40,85.4
7/23/2016 13:47,85.5
7/23/2016 13:50,85.6
7/23/2016 13:52,85.7
7/23/2016 13:53,85.8
7/23/2016 13:54,85.9
7/23/2016 13:55,86
7/23/2016 13:56,86.1
7/23/2016 13:56,86.2
7/23/2016 13:57,86.3
7/23/2016 14:06,86.4
7/23/2016 15:59,86.5
7/31/2016 11:58,86.6
7/31/2016 11:59,86.7
7/31/2016 12:00,86.8
7/31/2016 12:33,86.9
7/31/2016 12:55,87
7/31/2016 14:34,87.1
8/3/2016 18:25,87.2
8/3/2016 20:31,87.3
8/4/2016 19:18,87.4
8/10/2016 18:04,87.5
8/13/2016 16:10,87.6
8/13/2016 16:11,87.7
8/13/2016 16:16,87.8
8/13/2016 16:24,87.9
8/18/2016 11:53,88
8/18/2016 11:54,88.1
8/18/2016 11:55,88.2
8/18/2016 11:56,88.3
8/18/2016 11:57,88.4
8/18/2016 11:58,88.5
8/18/2016 11:59,88.6
8/18/2016 12:07,88.7
8/18/2016 12:15,88.8
8/19/2016 12:53,88.9
8/19/2016 14:26,89
8/19/2016 15:12,89.1
8/19/2016 15:23,89.2
8/19/2016 15:24,89.3
8/19/2016 15:24,89.4
8/19/2016 15:25,89.5
8/19/2016 16:14,89.6
8/19/2016 16:32,89.7
8/19/2016 17:17,89.8
8/19/2016 17:24,89.9
8/24/2016 9:26,90
8/24/2016 9:29,90.1
8/24/2016 9:34,90.2
8/24/2016 16:58,90.3
8/24/2016 18:48,90.4
8/24/2016 18:50,90.5
8/24/2016 18:52,90.6
8/24/2016 18:55,90.7
8/24/2016 19:04,90.8
8/25/2016 15:22,90.9
8/25/2016 15:22,91
8/25/2016 15:22,91.1
8/25/2016 15:50,91.2
8/25/2016 15:50,91.3
8/25/2016 15:59,91.4
8/25/2016 15:59,91.5
