Date,Snow_depth_cm,accumulation,melt
10/26/2015,0,,
10/27/2015,0,,
10/28/2015,0,,
10/29/2015,0,,
10/30/2015,0,,
10/31/2015,0,,
11/1/2015,0,,
11/2/2015,0,,
11/3/2015,0,,
11/4/2015,0,,
11/5/2015,0,,
11/6/2015,0,,
11/7/2015,0,,
11/8/2015,0,,
11/9/2015,0,,
11/10/2015,0,,
11/11/2015,7.5,accumulation,melt
11/12/2015,0,,melt
11/13/2015,0,,
11/14/2015,0,,
11/15/2015,0,,
11/16/2015,0,,
11/17/2015,4,accumulation,melt
11/18/2015,0,,
11/19/2015,3,accumulation,melt
11/20/2015,0,,
11/21/2015,2.5,accumulation,melt
11/22/2015,0,,
11/23/2015,0,,
11/24/2015,0,,
11/25/2015,0,,
11/26/2015,20,accumulation,
11/27/2015,22.5,accumulation,
11/28/2015,20,,
11/29/2015,15,,melt
11/30/2015,9,,melt
12/1/2015,9,,
12/2/2015,7.5,,melt
12/3/2015,2.5,,melt
12/4/2015,0,,melt
12/5/2015,0,,melt
12/6/2015,0,,
12/7/2015,0,,
12/8/2015,0,,
12/9/2015,0,,
12/10/2015,0,,
12/11/2015,0,,
12/12/2015,15,accumulation,
12/13/2015,11,,melt
12/14/2015,7,,melt
12/15/2015,18,accumulation,
12/16/2015,15,,
12/17/2015,13,,
12/18/2015,12,,melt
12/19/2015,10,,
12/20/2015,9,,
12/21/2015,8,,
12/22/2015,8,,melt
12/23/2015,10,,
12/24/2015,9,,melt
12/25/2015,9,,
12/26/2015,13,accumulation,
12/27/2015,13,,
12/28/2015,12,,
12/29/2015,12,,
12/30/2015,12,,
12/31/2015,11,,melt
1/1/2016,10,,melt
1/2/2016,10,,
1/3/2016,9,,melt
1/4/2016,9,,melt
1/5/2016,8,,melt
1/6/2016,7,,melt
1/7/2016,5,,melt
1/8/2016,25,accumulation,
1/9/2016,23,,
1/10/2016,22,,
1/11/2016,20,,
1/12/2016,18,,
1/13/2016,15,,
1/14/2016,12,,
1/15/2016,12,,
1/16/2016,12,,
1/17/2016,12,,
1/18/2016,12,,
1/19/2016,10,,melt
1/20/2016,8,,melt
1/21/2016,7,,melt
1/22/2016,5,,melt
1/23/2016,4,,melt
1/24/2016,3,,melt
1/25/2016,3,,melt
1/26/2016,3,,melt
1/27/2016,3,,melt
1/28/2016,0,,melt
1/29/2016,0,,
1/30/2016,0,,
1/31/2016,4,accumulation,melt
2/1/2016,13,accumulation,
2/2/2016,43,accumulation,
2/3/2016,37,,melt
2/4/2016,30,,melt
2/5/2016,28,,
2/6/2016,23,,
2/7/2016,20,,
2/8/2016,19,,melt
2/9/2016,13,,melt
2/10/2016,7,,melt
2/11/2016,0,,melt
2/12/2016,0,,melt
2/13/2016,0,,
2/14/2016,0,,
2/15/2016,0,,
2/16/2016,0,,
2/17/2016,0,,
2/18/2016,0,,
2/19/2016,0,,
2/20/2016,0,,
2/21/2016,0,,
2/22/2016,0,,
2/23/2016,8,accumulation,melt
2/24/2016,0,,melt
2/25/2016,0,,
2/26/2016,0,,
2/27/2016,0,,
2/28/2016,0,,
2/29/2016,0,,
3/1/2016,0,,
3/2/2016,0,,
3/3/2016,0,,
3/4/2016,0,,
3/5/2016,0,,
3/6/2016,0,,
3/7/2016,0,,
3/8/2016,0,,
3/9/2016,0,,
3/10/2016,0,,
3/11/2016,0,,
3/12/2016,0,,
3/13/2016,0,,
3/14/2016,0,,
3/15/2016,0,,
3/16/2016,0,,
3/17/2016,2.5,accumulation,melt
3/18/2016,20,accumulation,melt
3/19/2016,15,,melt
3/20/2016,7.5,,melt
3/21/2016,0,,melt
3/22/2016,0,,
3/23/2016,32.5,accumulation,
3/24/2016,25,,melt
3/25/2016,18.5,,melt
3/26/2016,15,,melt
3/27/2016,10,,melt
3/28/2016,2.5,,melt
3/29/2016,0,,melt
3/30/2016,0,,
3/31/2016,0,,
4/1/2016,0,,
4/2/2016,0,,
4/3/2016,0,,
4/4/2016,0,,
4/5/2016,0,,
4/6/2016,0,,
4/7/2016,0,,
4/8/2016,0,,
4/9/2016,0,,
5/5/2016,0,,
5/6/2016,0,,
5/7/2016,0,,
5/8/2016,0,,
