datetime,Tw_C,ltemp_a_2,Stage_mm,mm,V
10/6/2020 10:00,29.5,33.3,-43,-43,3.64
10/6/2020 11:00,30.7,32,-43,-43,3.64
10/6/2020 12:00,33.7,32.8,-43,-43,3.64
10/6/2020 13:00,35,33.3,-43,-43,3.64
10/6/2020 14:00,35.5,33.7,-43,-43,3.64
10/6/2020 15:00,32.8,33.7,-43,-43,3.64
10/6/2020 16:00,29.1,32.8,-43,-43,3.64
10/6/2020 17:00,20.9,22.7,-43,-43,3.64
10/6/2020 18:00,18.2,18.2,-44,-44,3.6
10/6/2020 19:00,16.1,16.5,-43,-43,3.6
10/6/2020 20:00,14.8,15.8,-43,-43,3.6
10/6/2020 21:00,14.5,15.1,-43,-43,3.6
10/6/2020 22:00,11.8,13.5,-43,-43,3.6
10/6/2020 23:00,12.5,13.8,-43,-43,3.6
10/7/2020 0:00,11.5,12.8,-43,-43,3.6
10/7/2020 1:00,11.2,12.5,-43,-43,3.6
10/7/2020 2:00,11.2,12.5,-43,-43,3.6
10/7/2020 3:00,7.9,10.2,-43,-43,3.56
10/7/2020 4:00,7.2,9.5,-43,-43,3.56
10/7/2020 5:00,9.2,11.5,-43,-43,3.56
10/7/2020 6:00,9.8,11.5,-43,-43,3.56
10/7/2020 7:00,10.8,12.8,-43,-43,3.6
10/7/2020 8:00,15.8,20.2,-43,-43,3.6
10/7/2020 9:00,20.6,25.3,-43,-43,3.64
10/7/2020 10:00,26,29.1,-43,-43,3.64
10/7/2020 11:00,30.7,32.4,-43,-43,3.64
10/7/2020 12:00,33.3,33.7,-43,-43,3.64
10/7/2020 13:00,35,34.6,-43,-43,3.64
10/7/2020 14:00,36,35,-43,-43,3.64
10/7/2020 15:00,33.3,35,-43,-43,3.64
10/7/2020 16:00,29.1,33.3,-43,-43,3.64
10/7/2020 17:00,20.9,22.7,-44,-44,3.6
10/7/2020 18:00,17.5,17.8,-43,-44,3.6
10/7/2020 19:00,16.5,16.5,-43,-43,3.6
10/7/2020 20:00,14.5,15.1,-43,-43,3.6
10/7/2020 21:00,13.8,13.8,-43,-43,3.6
10/7/2020 22:00,12.8,12.8,-43,-43,3.6
10/7/2020 23:00,11.8,12.1,-43,-43,3.56
10/8/2020 0:00,10.2,10.8,-43,-43,3.56
10/8/2020 1:00,7.9,8.5,-43,-43,3.56
10/8/2020 2:00,6.9,7.9,-43,-43,3.56
10/8/2020 3:00,5.9,6.2,-43,-43,3.56
10/8/2020 4:00,5.6,6.2,-43,-43,3.56
10/8/2020 5:00,7.2,7.2,-43,-43,3.56
10/8/2020 6:00,6.2,6.2,-43,-43,3.56
10/8/2020 7:00,5.2,6.2,-43,-43,3.56
10/8/2020 8:00,10.5,13.5,-43,-43,3.56
10/8/2020 9:00,17.8,21.6,-43,-43,3.6
10/8/2020 10:00,25.3,28.3,-43,-43,3.6
10/8/2020 11:00,29.9,31.2,-43,-43,3.64
10/8/2020 12:00,33.3,33.3,-43,-43,3.64
10/8/2020 13:00,35,33.7,-43,-43,3.64
10/8/2020 14:00,36.4,34.6,-43,-43,3.64
10/8/2020 15:00,32.8,34.6,-43,-43,3.64
10/8/2020 16:00,29.1,32.4,-43,-43,3.64
10/8/2020 17:00,21.6,23.1,-43,-43,3.6
10/8/2020 18:00,18.2,18.2,-44,-44,3.6
10/8/2020 19:00,16.5,16.8,-43,-43,3.6
10/8/2020 20:00,14.1,15.5,-43,-43,3.6
10/8/2020 21:00,13.5,15.1,-43,-43,3.6
10/8/2020 22:00,12.1,13.8,-43,-43,3.6
10/8/2020 23:00,12.8,13.8,-44,-43,3.6
10/9/2020 0:00,13.1,13.8,-43,-43,3.6
10/9/2020 1:00,12.8,13.1,-43,-43,3.6
10/9/2020 2:00,13.1,13.5,-43,-43,3.6
10/9/2020 3:00,13.8,14.5,-43,-43,3.6
10/9/2020 4:00,12.1,13.1,-43,-43,3.56
10/9/2020 5:00,11.8,13.1,-43,-43,3.56
10/9/2020 6:00,11.8,12.5,-43,-43,3.56
10/9/2020 7:00,12.5,13.5,-43,-43,3.56
10/9/2020 8:00,15.5,17.1,-43,-43,3.6
10/9/2020 9:00,17.1,18.8,-43,-43,3.6
