"","Site","Site_Code","Date","Lat","Long","Watershed","Watershed_Level","Status","Location","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4"
"1","Barnes Meadow Outflow","BMD",2015-06-08,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",NA,NA,NA,11.47,0.33,7.43,331.17,40.2,2.2,0.03,0.82,0.85,5.5,0.03,0.55,0.13,0,1.63
"2","Hourglass Outflow","HORO",2020-08-21,40.5828742,-105.6309523,"Hourglass Reservoir",0.101627305894318,"Burned","Outflow",NA,26.4,NA,2.78,0.23,6.69,238.75,24.95,1.1,0.02,0.42,0.77,3.52,0.04,0.24,0.11,0,0.89
"3","Peterson Reservoir","PTRR",2020-10-20,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",NA,NA,NA,9.37,0.48,6.92,268.85,40.12,1.35,0.01,1.07,0.47,4.06,0.02,0.29,0.16,0,7.34
"4","Barnes Meadow Outflow","BMD",2020-10-20,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",NA,NA,NA,9.61,0.5,7.33,375.6,42.43,1.93,0.02,1.04,0.66,5.65,0.05,0.66,0.11,0,1.75
"5","Barnes Meadow Outflow","BMD",2021-04-07,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",6,NA,NA,10.2,0.4,7.65,397.12,49.91,2.1,0.12,1.06,0.69,5.42,0.03,0.61,0.15,0,2.07
"6","Barnes Meadow Outflow","BMD",2021-04-12,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",NA,2.88,NA,8.83,0.56,7,444.24,51.48,2.12,0.08,1.01,0.63,5.68,0.04,0.7,0.08,0,1.85
"7","Barnes Meadow Outflow","BMD",2021-04-19,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",12,3.75,NA,9.67,0.77,7.48,369.75,43.28,2.13,0.09,0.96,0.65,5.42,0.04,0.68,0.09,0,2.01
"8","Chambers Outflow","CHD",2021-04-19,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",2.4,1.92,NA,2.94,0.36,7.28,509.69,60.2,2.13,0.01,0.92,1.32,6.48,0.06,0.85,0.05,0,2.54
"9","Chambers Outflow","CHD",2021-04-26,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",1.5,0,NA,3.03,0.36,6.99,505.86,56.8,2.55,0.02,0.97,1.36,6.74,0.06,0.75,0.04,0,2.5
"10","Barnes Meadow Outflow","BMD",2021-04-26,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",15,6.67,NA,10.51,1,7.14,444.5,51.04,3.15,0.09,0.91,0.78,5.66,0.03,0.76,0.11,0,1.95
