Reading,Receive,Value,Unit,Data Quality
2021-10-13 23:48:24,2021-10-13 23:48:50,7.64,pH,A
2021-10-13 23:33:24,2021-10-13 23:33:50,7.64,pH,A
2021-10-13 23:18:23,2021-10-13 23:18:50,7.64,pH,A
2021-10-13 23:03:24,2021-10-13 23:03:50,7.63,pH,A
2021-10-13 22:48:22,2021-10-13 22:48:50,7.64,pH,A
2021-10-13 22:33:23,2021-10-13 22:33:50,7.64,pH,A
2021-10-13 22:18:24,2021-10-13 22:18:50,7.64,pH,A
2021-10-13 22:03:24,2021-10-13 22:03:50,7.64,pH,A
2021-10-13 21:48:26,2021-10-13 21:48:50,7.64,pH,A
2021-10-13 21:33:23,2021-10-13 21:33:50,7.64,pH,A
2021-10-13 21:18:24,2021-10-13 21:18:50,7.64,pH,A
2021-10-13 20:48:23,2021-10-13 20:48:50,7.65,pH,A
2021-10-13 20:33:24,2021-10-13 20:33:50,7.65,pH,A
2021-10-13 20:18:24,2021-10-13 20:18:50,7.65,pH,A
2021-10-13 20:03:24,2021-10-13 20:03:50,7.65,pH,A
2021-10-13 19:48:24,2021-10-13 19:48:50,7.66,pH,A
2021-10-13 19:33:23,2021-10-13 19:33:50,7.66,pH,A
2021-10-13 19:18:24,2021-10-13 19:18:50,7.67,pH,A
2021-10-13 19:03:26,2021-10-13 19:03:50,7.67,pH,A
2021-10-13 18:48:23,2021-10-13 18:48:50,7.68,pH,A
2021-10-13 18:33:24,2021-10-13 18:33:50,7.69,pH,A
2021-10-13 18:18:24,2021-10-13 18:18:50,7.70,pH,A
2021-10-13 18:03:24,2021-10-13 18:03:50,7.71,pH,A
2021-10-13 17:48:23,2021-10-13 17:48:50,7.72,pH,A
2021-10-13 17:33:26,2021-10-13 17:33:50,7.73,pH,A
2021-10-13 17:03:25,2021-10-13 17:03:50,7.74,pH,A
2021-10-13 16:48:24,2021-10-13 16:48:50,7.74,pH,A
2021-10-13 16:33:25,2021-10-13 16:33:50,7.73,pH,A
2021-10-13 16:03:23,2021-10-13 16:03:50,7.74,pH,A
2021-10-13 15:48:24,2021-10-13 15:48:50,7.74,pH,A
2021-10-13 15:33:24,2021-10-13 15:33:50,7.73,pH,A
2021-10-13 15:18:24,2021-10-13 15:18:50,7.74,pH,A
2021-10-13 15:03:24,2021-10-13 15:03:50,7.73,pH,A
2021-10-13 14:48:24,2021-10-13 14:48:50,7.73,pH,A
2021-10-13 14:33:24,2021-10-13 14:33:50,7.73,pH,A
2021-10-13 14:18:24,2021-10-13 14:18:50,7.73,pH,A
2021-10-13 14:03:23,2021-10-13 14:03:50,7.72,pH,A
2021-10-13 13:48:25,2021-10-13 13:48:50,7.71,pH,A
2021-10-13 13:33:24,2021-10-13 13:33:50,7.71,pH,A
2021-10-13 13:18:24,2021-10-13 13:18:50,7.71,pH,A
2021-10-13 13:03:24,2021-10-13 13:03:50,7.70,pH,A
2021-10-13 12:48:24,2021-10-13 12:48:50,7.70,pH,A
2021-10-13 12:33:23,2021-10-13 12:33:50,7.70,pH,A
2021-10-13 12:18:22,2021-10-13 12:18:50,7.69,pH,A
2021-10-13 12:03:23,2021-10-13 12:03:50,7.69,pH,A
2021-10-13 11:48:23,2021-10-13 11:48:50,7.69,pH,A
2021-10-13 11:33:22,2021-10-13 11:33:50,7.68,pH,A
2021-10-13 11:18:22,2021-10-13 11:18:50,7.68,pH,A
2021-10-13 11:03:25,2021-10-13 11:03:50,7.67,pH,A
2021-10-13 10:48:23,2021-10-13 10:48:50,7.67,pH,A
2021-10-13 10:33:24,2021-10-13 10:33:51,7.66,pH,A
2021-10-13 10:18:23,2021-10-13 10:18:50,7.66,pH,A
2021-10-13 10:03:23,2021-10-13 10:03:50,7.66,pH,A
2021-10-13 09:48:23,2021-10-13 09:48:50,7.66,pH,A
2021-10-13 09:33:23,2021-10-13 09:33:50,7.65,pH,A
2021-10-13 09:18:25,2021-10-13 09:18:50,7.66,pH,A
2021-10-13 09:03:23,2021-10-13 09:03:50,7.65,pH,A
2021-10-13 08:48:23,2021-10-13 08:48:50,7.65,pH,A
2021-10-13 08:33:25,2021-10-13 08:33:50,7.65,pH,A
2021-10-13 08:18:22,2021-10-13 08:18:50,7.64,pH,A
2021-10-13 08:03:23,2021-10-13 08:03:50,7.64,pH,A
2021-10-13 07:48:22,2021-10-13 07:48:50,7.63,pH,A
2021-10-13 07:33:23,2021-10-13 07:33:50,7.62,pH,A
2021-10-13 07:18:23,2021-10-13 07:18:50,7.63,pH,A
2021-10-13 07:03:23,2021-10-13 07:03:50,7.62,pH,A
2021-10-13 06:48:23,2021-10-13 06:48:50,7.63,pH,A
2021-10-13 06:33:22,2021-10-13 06:33:50,7.62,pH,A
2021-10-13 06:18:23,2021-10-13 06:18:50,7.63,pH,A
2021-10-13 06:03:23,2021-10-13 06:03:50,7.63,pH,A
2021-10-13 05:48:26,2021-10-13 05:48:50,7.63,pH,A
2021-10-13 05:33:23,2021-10-13 05:33:50,7.62,pH,A
2021-10-13 05:18:23,2021-10-13 05:18:50,7.63,pH,A
2021-10-13 05:03:23,2021-10-13 05:03:50,7.63,pH,A
2021-10-13 04:48:23,2021-10-13 04:48:50,7.63,pH,A
2021-10-13 04:33:24,2021-10-13 04:33:50,7.64,pH,A
2021-10-13 04:18:24,2021-10-13 04:18:50,7.64,pH,A
2021-10-13 04:03:24,2021-10-13 04:03:50,7.64,pH,A
2021-10-13 03:48:24,2021-10-13 03:48:50,7.63,pH,A
2021-10-13 03:33:23,2021-10-13 03:33:50,7.64,pH,A
2021-10-13 03:18:23,2021-10-13 03:18:50,7.64,pH,A
2021-10-13 03:03:27,2021-10-13 03:03:50,7.64,pH,A
2021-10-13 02:48:24,2021-10-13 02:48:50,7.65,pH,A
2021-10-13 02:33:23,2021-10-13 02:33:50,7.64,pH,A
2021-10-13 02:18:23,2021-10-13 02:18:50,7.64,pH,A
2021-10-13 02:03:23,2021-10-13 02:03:50,7.65,pH,A
2021-10-13 01:48:25,2021-10-13 01:48:50,7.65,pH,A
2021-10-13 01:33:23,2021-10-13 01:33:50,7.64,pH,A
2021-10-13 01:18:23,2021-10-13 01:18:50,7.65,pH,A
2021-10-13 01:03:22,2021-10-13 01:03:50,7.65,pH,A
2021-10-13 00:48:22,2021-10-13 00:48:50,7.65,pH,A
2021-10-13 00:33:25,2021-10-13 00:33:50,7.66,pH,A
2021-10-13 00:18:22,2021-10-13 00:18:50,7.65,pH,A
2021-10-13 00:03:23,2021-10-13 00:03:50,7.66,pH,A
2021-10-12 23:48:23,2021-10-12 23:48:50,7.65,pH,A
2021-10-12 23:33:22,2021-10-12 23:33:50,7.66,pH,A
2021-10-12 23:18:23,2021-10-12 23:18:50,7.66,pH,A
2021-10-12 23:03:23,2021-10-12 23:03:50,7.66,pH,A
2021-10-12 22:48:23,2021-10-12 22:48:50,7.66,pH,A
2021-10-12 22:33:23,2021-10-12 22:33:50,7.65,pH,A
2021-10-12 22:18:22,2021-10-12 22:18:50,7.67,pH,A
2021-10-12 22:03:23,2021-10-12 22:03:50,7.65,pH,A
2021-10-12 21:48:25,2021-10-12 21:48:50,7.67,pH,A
2021-10-12 21:33:22,2021-10-12 21:33:50,7.66,pH,A
2021-10-12 21:18:23,2021-10-12 21:18:50,7.66,pH,A
2021-10-12 21:03:23,2021-10-12 21:03:50,7.66,pH,A
2021-10-12 20:48:22,2021-10-12 20:48:50,7.65,pH,A
2021-10-12 20:33:22,2021-10-12 20:33:50,7.66,pH,A
2021-10-12 20:18:22,2021-10-12 20:18:50,7.66,pH,A
2021-10-12 20:03:23,2021-10-12 20:03:50,7.65,pH,A
2021-10-12 19:48:22,2021-10-12 19:48:50,7.66,pH,A
2021-10-12 19:33:23,2021-10-12 19:33:50,7.65,pH,A
2021-10-12 19:18:24,2021-10-12 19:18:50,7.65,pH,A
2021-10-12 19:03:22,2021-10-12 19:03:50,7.66,pH,A
2021-10-12 18:48:22,2021-10-12 18:48:50,7.67,pH,A
2021-10-12 18:33:22,2021-10-12 18:33:50,7.67,pH,A
2021-10-12 18:18:22,2021-10-12 18:18:50,7.69,pH,A
2021-10-12 18:03:23,2021-10-12 18:03:50,7.69,pH,A
2021-10-12 17:48:22,2021-10-12 17:48:50,7.70,pH,A
2021-10-12 17:33:24,2021-10-12 17:33:50,7.71,pH,A
2021-10-12 17:18:23,2021-10-12 17:18:50,7.72,pH,A
2021-10-12 17:03:23,2021-10-12 17:03:50,7.73,pH,A
2021-10-12 16:48:22,2021-10-12 16:48:50,7.73,pH,A
2021-10-12 16:33:25,2021-10-12 16:33:50,7.72,pH,A
2021-10-12 16:18:23,2021-10-12 16:18:50,7.72,pH,A
2021-10-12 16:03:23,2021-10-12 16:03:50,7.73,pH,A
2021-10-12 15:48:23,2021-10-12 15:48:50,7.73,pH,A
2021-10-12 15:33:23,2021-10-12 15:33:50,7.73,pH,A
2021-10-12 15:18:22,2021-10-12 15:18:50,7.72,pH,A
2021-10-12 15:03:22,2021-10-12 15:03:50,7.72,pH,A
2021-10-12 14:48:23,2021-10-12 14:48:50,7.72,pH,A
2021-10-12 14:33:21,2021-10-12 14:33:50,7.72,pH,A
2021-10-12 14:18:22,2021-10-12 14:18:50,7.73,pH,A
2021-10-12 14:03:22,2021-10-12 14:03:50,7.73,pH,A
2021-10-12 13:48:25,2021-10-12 13:48:50,7.73,pH,A
2021-10-12 13:33:22,2021-10-12 13:33:50,7.73,pH,A
2021-10-12 13:18:22,2021-10-12 13:18:50,7.74,pH,A
2021-10-12 13:03:23,2021-10-12 13:03:50,7.74,pH,A
2021-10-12 12:48:22,2021-10-12 12:48:50,7.74,pH,A
2021-10-12 12:33:22,2021-10-12 12:33:50,7.74,pH,A
2021-10-12 12:18:21,2021-10-12 12:18:50,7.73,pH,A
2021-10-12 12:03:22,2021-10-12 12:03:50,7.74,pH,A
2021-10-12 11:48:21,2021-10-12 11:48:50,7.74,pH,A
2021-10-12 11:33:22,2021-10-12 11:33:50,7.73,pH,A
2021-10-12 11:18:24,2021-10-12 11:18:50,7.73,pH,A
2021-10-12 11:03:21,2021-10-12 11:03:50,7.72,pH,A
2021-10-12 10:48:21,2021-10-12 10:48:50,7.72,pH,A
2021-10-12 10:33:22,2021-10-12 10:33:50,7.72,pH,A
2021-10-12 10:18:22,2021-10-12 10:18:50,7.71,pH,A
2021-10-12 10:03:22,2021-10-12 10:03:50,7.70,pH,A
2021-10-12 09:48:21,2021-10-12 09:48:50,7.70,pH,A
2021-10-12 09:33:24,2021-10-12 09:33:50,7.70,pH,A
2021-10-12 09:18:21,2021-10-12 09:18:50,7.69,pH,A
