Reading,Receive,Value,Unit,Data Quality
2021-10-13 14:02:03,2021-10-13 14:02:20,0.00,in,A
2021-10-13 01:58:49,2021-10-13 01:59:05,0.00,in,A
2021-10-12 21:57:36,2021-10-12 21:57:50,0.04,in,A
2021-10-12 19:18:47,2021-10-12 19:19:05,0.04,in,A
2021-10-12 19:08:32,2021-10-12 19:08:50,0.04,in,A
2021-10-12 15:42:55,2021-10-12 15:43:05,0.04,in,A
2021-10-12 15:23:44,2021-10-12 15:24:05,0.04,in,A
2021-10-12 14:00:43,2021-10-12 14:01:06,0.00,in,A
2021-10-12 02:00:22,2021-10-12 02:00:51,0.00,in,A
2021-10-11 14:01:42,2021-10-11 14:01:50,0.00,in,A
2021-10-11 02:02:24,2021-10-11 02:02:35,0.00,in,A
2021-10-10 14:00:34,2021-10-10 14:00:51,0.00,in,A
2021-10-10 01:58:36,2021-10-10 01:58:50,0.00,in,A
2021-10-09 13:58:24,2021-10-09 13:58:35,0.00,in,A
2021-10-09 01:58:53,2021-10-09 01:59:05,0.00,in,A
2021-10-08 14:02:36,2021-10-08 14:02:50,0.00,in,A
2021-10-08 01:59:04,2021-10-08 01:59:20,0.00,in,A
2021-10-07 13:59:06,2021-10-07 13:59:20,0.00,in,A
2021-10-07 01:59:30,2021-10-07 01:59:50,0.00,in,A
2021-10-06 14:00:42,2021-10-06 14:01:20,0.00,in,A
2021-10-06 01:58:58,2021-10-06 01:59:20,0.00,in,A
2021-10-05 14:01:25,2021-10-05 14:01:50,0.00,in,A
2021-10-05 14:01:24,2021-10-05 14:01:35,0.00,in,A
2021-10-05 02:01:14,2021-10-05 02:01:35,0.00,in,A
2021-10-04 14:00:10,2021-10-04 14:00:20,0.00,in,A
2021-10-04 02:02:05,2021-10-04 02:02:20,0.00,in,A
2021-10-03 13:59:29,2021-10-03 13:59:50,0.00,in,A
2021-10-03 02:00:30,2021-10-03 02:00:50,0.00,in,A
2021-10-02 14:00:34,2021-10-02 14:00:50,0.00,in,A
2021-10-02 02:01:52,2021-10-02 02:02:05,0.00,in,A
2021-10-01 13:58:53,2021-10-01 13:59:05,0.00,in,AN
2021-09-30 14:01:42,2021-09-30 14:01:50,0.00,in,A
2021-09-30 02:01:32,2021-09-30 02:01:50,0.00,in,A
2021-09-29 21:38:37,2021-09-29 21:38:50,0.08,in,A
2021-09-29 15:23:38,2021-09-29 15:23:50,0.04,in,A
2021-09-29 15:13:48,2021-09-29 15:14:20,0.04,in,A
2021-09-29 15:06:18,2021-09-29 15:06:50,0.04,in,A
2021-09-29 14:59:15,2021-09-29 14:59:50,0.04,in,A
2021-09-29 14:50:51,2021-09-29 14:51:20,0.04,in,A
