Reading,Receive,Value,Unit,Data Quality
2021-10-13 23:48:52,2021-10-13 23:49:05,0.66,ft,A
2021-10-13 23:18:53,2021-10-13 23:19:05,0.65,ft,A
2021-10-13 22:48:53,2021-10-13 22:49:05,0.66,ft,A
2021-10-13 22:18:52,2021-10-13 22:19:05,0.66,ft,A
2021-10-13 21:48:52,2021-10-13 21:49:05,0.66,ft,A
2021-10-13 21:18:53,2021-10-13 21:19:05,0.65,ft,A
2021-10-13 20:48:52,2021-10-13 20:49:05,0.65,ft,A
2021-10-13 20:18:53,2021-10-13 20:19:05,0.66,ft,A
2021-10-13 19:48:52,2021-10-13 19:49:05,0.66,ft,A
2021-10-13 19:18:52,2021-10-13 19:19:05,0.67,ft,A
2021-10-13 18:48:53,2021-10-13 18:49:05,0.65,ft,A
2021-10-13 18:18:52,2021-10-13 18:19:05,0.66,ft,A
2021-10-13 17:48:53,2021-10-13 17:49:05,0.65,ft,A
2021-10-13 17:18:52,2021-10-13 17:19:05,0.65,ft,A
2021-10-13 16:48:52,2021-10-13 16:49:05,0.67,ft,A
2021-10-13 16:18:53,2021-10-13 16:19:05,0.69,ft,A
2021-10-13 15:48:52,2021-10-13 15:49:05,0.66,ft,A
2021-10-13 15:18:53,2021-10-13 15:19:05,0.64,ft,A
2021-10-13 14:48:52,2021-10-13 14:49:05,0.67,ft,A
2021-10-13 14:18:52,2021-10-13 14:19:05,0.68,ft,A
2021-10-13 13:48:53,2021-10-13 13:49:05,0.68,ft,A
2021-10-13 13:18:52,2021-10-13 13:19:05,0.71,ft,A
2021-10-13 12:48:52,2021-10-13 12:49:05,0.68,ft,A
2021-10-13 12:18:53,2021-10-13 12:19:05,0.68,ft,A
2021-10-13 11:48:52,2021-10-13 11:49:05,0.68,ft,A
2021-10-13 11:18:53,2021-10-13 11:19:05,0.66,ft,A
2021-10-13 10:48:52,2021-10-13 10:49:05,0.64,ft,A
2021-10-13 10:18:52,2021-10-13 10:19:05,0.67,ft,A
2021-10-13 09:48:53,2021-10-13 09:49:05,0.66,ft,A
2021-10-13 09:18:52,2021-10-13 09:19:05,0.68,ft,A
2021-10-13 08:48:53,2021-10-13 08:49:05,0.68,ft,A
2021-10-13 08:18:53,2021-10-13 08:19:05,0.67,ft,A
2021-10-13 07:48:52,2021-10-13 07:49:05,0.67,ft,A
2021-10-13 07:18:53,2021-10-13 07:19:05,0.66,ft,A
2021-10-13 06:48:52,2021-10-13 06:49:05,0.68,ft,A
2021-10-13 06:18:53,2021-10-13 06:19:05,0.67,ft,A
2021-10-13 05:48:53,2021-10-13 05:49:05,0.68,ft,A
2021-10-13 05:18:52,2021-10-13 05:19:05,0.66,ft,A
2021-10-13 04:48:53,2021-10-13 04:49:05,0.68,ft,A
2021-10-13 04:18:52,2021-10-13 04:19:05,0.67,ft,A
2021-10-13 03:48:53,2021-10-13 03:49:05,0.70,ft,A
2021-10-13 03:18:53,2021-10-13 03:19:05,0.68,ft,A
2021-10-13 02:48:52,2021-10-13 02:49:05,0.68,ft,A
2021-10-13 02:18:53,2021-10-13 02:19:05,0.70,ft,A
2021-10-13 01:48:53,2021-10-13 01:49:05,0.69,ft,A
2021-10-13 01:18:53,2021-10-13 01:19:05,0.69,ft,A
2021-10-13 00:48:53,2021-10-13 00:49:05,0.66,ft,A
2021-10-13 00:18:52,2021-10-13 00:19:05,0.69,ft,A
2021-10-12 23:48:53,2021-10-12 23:49:05,0.70,ft,A
2021-10-12 23:18:53,2021-10-12 23:19:05,0.69,ft,A
2021-10-12 22:48:53,2021-10-12 22:49:05,0.67,ft,A
2021-10-12 22:18:53,2021-10-12 22:19:05,0.70,ft,A
2021-10-12 21:48:52,2021-10-12 21:49:05,0.70,ft,A
2021-10-12 21:18:53,2021-10-12 21:19:05,0.70,ft,A
2021-10-12 20:48:53,2021-10-12 20:49:05,0.70,ft,A
2021-10-12 20:18:52,2021-10-12 20:19:06,0.69,ft,A
2021-10-12 19:48:53,2021-10-12 19:49:05,0.67,ft,A
2021-10-12 19:18:53,2021-10-12 19:19:05,0.68,ft,A
2021-10-12 18:48:53,2021-10-12 18:49:05,0.69,ft,A
2021-10-12 18:18:53,2021-10-12 18:19:05,0.66,ft,A
