Name,Type,Latitude,Longitude,Region,Burn_status,Snow_zone,Sensor_model,Sensor_install,Sensor_remove,Comments
michigan,rain,,,frontrange,unburned,persistent,TE525,2015-12-03,still running,
michigan,snow,,,frontrange,unburned,persistent,camera,2015-12-03,2018-12-26,
michigan,Ts_5,,,frontrange,unburned,persistent,EC-TM,2015-12-03,still running,
michigan,VWC_5,,,frontrange,unburned,persistent,EC-TM,2015-12-03,still running,
michigan,VWC_20,,,frontrange,unburned,persistent,EC-5,2015-12-03,still running,
michigan,VWC_40,,,frontrange,unburned,persistent,EC-5,2015-12-03,still running,
michigan,VWC_50,,,frontrange,unburned,persistent,EC-5,2015-12-03,still running,
michiganditch,stream,40.51455314,-105.8838244,frontrange,unburned,persistent,WT-HR1000,2017-06-28,2020-07-01,sensor started giving unrealistic values
michiganditch,stream,40.51455314,-105.8838244,frontrange,unburned,persistent,U2,2021-01-10,still running,
michiganditch,stream,40.51455314,-105.8838244,frontrange,unburned,persistent,WT-HR1000,2021-08-05,still running,
michiganditch,baro,40.51445383,-105.8839021,frontrange,unburned,persistent,U2,2021-01-10,still running,
michiganditch,snow,40.51445383,-105.8839021,frontrange,unburned,persistent,camera,2020-11-22,still running,
montgomery,rain,40.54368283,-105.8817328,frontrange,unburned,persistent,,,still running,
montgomery,stream,40.54369047,-105.8813543,frontrange,burned_2020,persistent,WT-HR1000,2020-11-19,still running,
montgomery,snow,40.54369047,-105.8813543,frontrange,burned_2020,persistent,camera,2020-11-19,still running,
joewright,4R,40.53284743,-105.8874722,frontrange,unburned,persistent,SN-500,2021-01-09,still running,
joewright,Ta,40.53284743,-105.8874722,frontrange,unburned,persistent,HC2S3,2021-02-20,still running,
joewright,RH,40.53284743,-105.8874722,frontrange,unburned,persistent,HC2S3,2021-02-20,still running,
joewright,u,40.53284743,-105.8874722,frontrange,unburned,persistent,RM Young 05108-45,2021-01-09,still running,
joewright,rain,40.53281329,-105.8874620,frontrange,unburned,persistent,TE525MM-L,2021-04-18,still running,
joewright,Ts_5,40.53284743,-105.8874722,frontrange,unburned,persistent,109-L,2021-01-09,still running,
joewright,VWC_5,40.53284743,-105.8874722,frontrange,unburned,persistent,SM150,2021-01-09,still running,
joewright,VWC_20,40.53284743,-105.8874722,frontrange,unburned,persistent,SM150,2021-01-09,still running,
joewright,VWC_50,40.53284743,-105.8874722,frontrange,unburned,persistent,SM150,2021-01-09,still running,
joewright_burn,Ta,40.56354374,-105.8673675,frontrange,burned_2020,persistent,HygroVUE5,12/16/20,still running,
joewright_burn,RH,40.56354374,-105.8673675,frontrange,burned_2020,persistent,HygroVUE5,12/16/20,still running,
joewright_burn,snow,40.56354374,-105.8673675,frontrange,burned_2020,persistent,SR50A,12/16/20,still running,
joewright_burn,u,40.56354374,-105.8673675,frontrange,burned_2020,persistent,RM Young 05108,12/16/20,still running,moved to top of tower on 1/13/21
joewright_burn,baro,40.56354374,-105.8673675,frontrange,burned_2020,persistent,Setra 278,12/16/20,still running,
joewright_burn,radiation,40.56354374,-105.8673675,frontrange,burned_2020,persistent,Apogee SN500SS,1/13/21,still running,
joewright_burn,Ts,40.56354374,-105.8673675,frontrange,burned_2020,persistent,SoilVUE10,1/15/21,still running,"0,-10, -20, -30 cm depths"
joewright_burn,VWC,40.56354374,-105.8673675,frontrange,burned_2020,persistent,SoilVUE10,1/15/21,still running,"0,-10, -20, -30 cm depths"
joewright_burn,snow,need to update,,frontrange,unburned,persistent,A2 sonic sensor,2/18/21,still running,standalone sensor installed ~100 m away in unburned forest
bl4,rain,,,frontrange,burned_2020,persistent,,,still running,
bl4,stream,,,frontrange,burned_2020,persistent,WT-HR1000,2020-11-16,still running,
bl4,snow,,,frontrange,burned_2020,persistent,camera,2020-11-16,,
aspen,rain,,,frontrange,burned_2020,transitional,TE525,2017-07-21,still running,data gap 2020-11 to 2021-05; gage was tipped diagonal when visited 2020-10-27
aspen,stream,,,frontrange,burned_2020,transitional,WT-HR1000,2017-07-13,still running,
tunnel,rain,,,frontrange,burned_2020,transitional,TE525MM-L,2021-04-18,still running,
tunnel,stream,40.66994494,-105.8102038,frontrange,burned_2020,transitional,RuggedTroll,2021-06-28,still running,2021-08-05 moved adjacent to caprod
tunnel,baro,,,frontrange,burned_2020,transitional,RuggedTroll,2021-05-24,still running,
tunnel,stream,40.66994494,-105.8102038,frontrange,burned_2020,transitional,WT-HR1000,2021-08-05,still running,
tunnel,snow,40.669899408333336},-105.8102854,frontrange,burned_2020,transitional,camera,2020-12-08,still running,
tunnel,snow,,,frontrange,burned_2020,transitional,SR50A,2020-12-16,still running,
tunnel,Ta,40.66988344,-105.8099604,frontrange,burned_2020,transitional,CS215,2020-12-16,still running,
tunnel,RH,40.66988344,-105.8099604,frontrange,burned_2020,transitional,CS215,2020-12-16,still running,
