Reading,Receive,Value,Unit,Data Quality
2021-10-13 23:59:53,2021-10-14 00:00:21,60.10,cfs,A
2021-10-13 23:00:26,2021-10-13 23:00:38,59.78,cfs,A
2021-10-13 22:00:45,2021-10-13 22:01:06,59.15,cfs,A
2021-10-13 20:58:42,2021-10-13 20:58:50,60.10,cfs,A
2021-10-13 20:02:01,2021-10-13 20:02:20,60.10,cfs,A
2021-10-13 18:58:20,2021-10-13 18:58:35,59.47,cfs,A
2021-10-13 17:57:55,2021-10-13 17:58:05,64.58,cfs,A
2021-10-13 16:57:55,2021-10-13 16:58:05,63.06,cfs,A
2021-10-13 15:59:42,2021-10-13 16:00:21,64.58,cfs,A
2021-10-13 15:59:41,2021-10-13 15:59:50,64.58,cfs,A
2021-10-13 14:57:56,2021-10-13 14:58:20,63.06,cfs,A
2021-10-13 14:57:55,2021-10-13 14:58:05,63.06,cfs,A
2021-10-13 14:02:03,2021-10-13 14:02:20,61.56,cfs,A
2021-10-13 12:57:55,2021-10-13 12:58:05,69.31,cfs,A
2021-10-13 12:01:39,2021-10-13 12:02:20,61.56,cfs,A
2021-10-13 12:01:38,2021-10-13 12:01:50,61.56,cfs,A
2021-10-13 10:58:11,2021-10-13 10:58:20,66.13,cfs,A
2021-10-13 10:01:12,2021-10-13 10:01:20,61.56,cfs,A
2021-10-13 09:01:29,2021-10-13 09:01:50,64.58,cfs,A
2021-10-13 08:02:29,2021-10-13 08:02:50,63.06,cfs,A
2021-10-13 07:02:22,2021-10-13 07:02:35,64.58,cfs,A
2021-10-13 05:58:07,2021-10-13 05:58:20,67.70,cfs,A
2021-10-13 04:59:23,2021-10-13 04:59:35,67.70,cfs,A
2021-10-13 03:58:34,2021-10-13 03:58:50,66.13,cfs,A
2021-10-13 02:59:09,2021-10-13 02:59:20,66.13,cfs,A
2021-10-13 01:58:49,2021-10-13 01:59:05,64.58,cfs,A
2021-10-13 01:01:08,2021-10-13 01:01:20,63.06,cfs,A
2021-10-12 23:58:11,2021-10-12 23:58:20,63.06,cfs,A
2021-10-12 22:59:33,2021-10-12 22:59:50,67.70,cfs,A
2021-10-12 21:57:55,2021-10-12 21:58:05,63.06,cfs,A
2021-10-12 20:58:59,2021-10-12 20:59:20,60.10,cfs,A
2021-10-12 20:01:08,2021-10-12 20:01:20,59.15,cfs,A
2021-10-12 19:00:36,2021-10-12 19:00:50,59.78,cfs,A
2021-10-12 18:01:09,2021-10-12 18:01:20,59.47,cfs,A
2021-10-12 17:01:52,2021-10-12 17:02:05,58.83,cfs,A
2021-10-12 15:58:44,2021-10-12 15:59:20,59.78,cfs,A
2021-10-12 14:58:50,2021-10-12 14:59:20,59.47,cfs,A
2021-10-12 14:00:43,2021-10-12 14:01:06,59.47,cfs,A
2021-10-12 12:57:55,2021-10-12 12:58:05,59.78,cfs,A
2021-10-12 12:01:14,2021-10-12 12:01:50,59.47,cfs,A
2021-10-12 10:58:53,2021-10-12 10:59:20,59.78,cfs,A
2021-10-12 09:59:59,2021-10-12 10:00:21,60.10,cfs,A
2021-10-12 09:02:39,2021-10-12 09:02:50,59.47,cfs,A
2021-10-12 07:59:40,2021-10-12 07:59:50,59.78,cfs,A
2021-10-12 07:00:40,2021-10-12 07:01:20,63.06,cfs,A
2021-10-12 05:59:26,2021-10-12 05:59:35,60.10,cfs,A
2021-10-12 04:58:17,2021-10-12 04:58:35,60.10,cfs,A
2021-10-12 04:01:47,2021-10-12 04:02:05,59.47,cfs,A
2021-10-12 03:01:14,2021-10-12 03:01:35,63.06,cfs,A
2021-10-12 02:00:22,2021-10-12 02:00:51,60.10,cfs,A
2021-10-12 00:59:50,2021-10-12 01:00:06,59.78,cfs,A
2021-10-11 23:58:18,2021-10-11 23:58:35,59.78,cfs,A
2021-10-11 23:01:48,2021-10-11 23:02:05,58.83,cfs,A
2021-10-11 21:59:26,2021-10-11 21:59:35,59.78,cfs,A
2021-10-11 21:02:13,2021-10-11 21:02:35,63.06,cfs,A
2021-10-11 20:01:36,2021-10-11 20:01:50,59.78,cfs,A
2021-10-11 19:02:09,2021-10-11 19:02:20,60.10,cfs,A
2021-10-11 17:57:59,2021-10-11 17:58:20,61.56,cfs,A
2021-10-11 17:01:26,2021-10-11 17:01:35,61.56,cfs,A
2021-10-11 15:59:26,2021-10-11 15:59:35,59.78,cfs,A
2021-10-11 14:59:50,2021-10-11 15:00:05,61.56,cfs,A
2021-10-11 14:01:42,2021-10-11 14:01:50,61.56,cfs,A
2021-10-11 12:59:53,2021-10-11 13:00:06,61.56,cfs,A
2021-10-11 12:00:36,2021-10-11 12:00:51,59.47,cfs,A
2021-10-11 10:59:03,2021-10-11 10:59:20,59.78,cfs,A
