Date,P_in
10/6/2009,0
10/7/2009,0
10/14/2009,0.3
10/15/2009,0.37
10/16/2009,0
10/17/2009,0
10/18/2009,0
10/19/2009,0.08
10/20/2009,0.15
10/21/2009,0.1
10/22/2009,0
10/23/2009,0.1
10/24/2009,0.45
10/25/2009,0.32
10/26/2009,0
10/27/2009,0.65
10/28/2009,0.71
10/29/2009,0.07
10/30/2009,0.15
10/31/2009,0.01
11/1/2009,0
11/2/2009,0
11/3/2009,0
11/4/2009,0
11/5/2009,0
11/6/2009,0
11/7/2009,0
11/8/2009,0.01
11/9/2009,0
11/10/2009,0
11/11/2009,0
11/12/2009,0.01
11/13/2009,0.3
11/14/2009,0.42
11/15/2009,0.2
11/16/2009,0
11/17/2009,0
11/18/2009,0
11/19/2009,0
11/20/2009,0
11/21/2009,0.1
11/22/2009,0.08
11/23/2009,0.44
11/24/2009,0
11/25/2009,0
11/26/2009,0
11/27/2009,0
11/28/2009,0
11/29/2009,0
11/30/2009,0
12/1/2009,0.01
12/2/2009,0.07
12/3/2009,0
12/4/2009,0
12/5/2009,0.09
12/6/2009,0.39
12/7/2009,0.39
12/8/2009,0.62
12/9/2009,0.3
12/10/2009,0.05
12/11/2009,0
12/12/2009,0.22
12/13/2009,0.94
12/14/2009,0.19
12/15/2009,0.02
12/16/2009,0.01
12/17/2009,0.2
12/18/2009,0.03
12/19/2009,0
12/20/2009,0
12/21/2009,0
12/22/2009,0.08
12/23/2009,0.62
12/24/2009,0.08
12/25/2009,0.3
12/26/2009,0.01
12/27/2009,0
12/28/2009,0
12/29/2009,0.07
12/30/2009,0.16
12/31/2009,0.04
1/1/2010,0.08
1/2/2010,0.24
1/3/2010,0.02
1/4/2010,0
1/5/2010,0.38
1/6/2010,0.38
1/7/2010,0
1/8/2010,0
1/9/2010,0
1/10/2010,0
1/11/2010,0
1/12/2010,0
1/13/2010,0
1/14/2010,0
1/15/2010,0
1/16/2010,0
1/17/2010,0
1/18/2010,0
1/19/2010,0.06
1/20/2010,0.05
1/21/2010,0
1/22/2010,0.14
1/23/2010,0.19
1/24/2010,0.42
1/25/2010,0
1/26/2010,0.12
1/27/2010,0.24
1/28/2010,0.05
1/29/2010,0
1/30/2010,0
1/31/2010,0.01
2/1/2010,0.09
2/2/2010,0
2/3/2010,0.02
2/4/2010,0.19
2/5/2010,0.05
2/6/2010,0.04
2/7/2010,0.04
2/8/2010,0.01
2/9/2010,0
2/10/2010,0.02
2/11/2010,0.08
2/12/2010,0.39
2/13/2010,0.48
2/14/2010,0.09
2/15/2010,0
2/16/2010,0.01
2/17/2010,0.02
2/18/2010,0.29
2/19/2010,0.14
2/20/2010,0.52
2/21/2010,0.43
2/22/2010,0.06
2/23/2010,0
2/24/2010,0.02
2/25/2010,0.03
2/26/2010,0.02
2/27/2010,0
2/28/2010,0.27
3/1/2010,0
3/2/2010,0
3/3/2010,0
3/4/2010,0
3/5/2010,0.63
3/6/2010,0.16
3/7/2010,0.08
3/8/2010,0
3/9/2010,0.06
3/10/2010,0.02
3/11/2010,0.04
3/12/2010,0.02
3/13/2010,0
3/14/2010,0.34
3/15/2010,0
3/16/2010,0
3/17/2010,0
3/18/2010,0.05
3/19/2010,1.06
3/20/2010,0
3/21/2010,0
3/22/2010,0
3/23/2010,1.07
3/24/2010,0.08
3/25/2010,0
3/26/2010,0.11
3/27/2010,0.02
3/28/2010,0
3/29/2010,0
3/30/2010,0
3/31/2010,0
4/1/2010,0.47
4/2/2010,0.09
4/3/2010,0.95
4/4/2010,0.46
4/5/2010,0.65
4/6/2010,0.9
4/7/2010,0.12
4/8/2010,0
4/9/2010,0
4/10/2010,0
4/11/2010,0
4/12/2010,0.01
4/13/2010,0.28
4/14/2010,0
4/15/2010,0
4/16/2010,0
4/17/2010,0.13
4/18/2010,0
4/19/2010,0
4/20/2010,0.01
4/21/2010,0.6
4/22/2010,0.78
4/23/2010,0.75
4/24/2010,0.02
4/25/2010,0.47
4/26/2010,0.02
4/27/2010,0
4/28/2010,1.12
4/29/2010,1.25
4/30/2010,0.54
5/1/2010,0.24
5/2/2010,0.19
5/3/2010,0.11
5/4/2010,0.01
5/5/2010,0
5/6/2010,0.48
5/7/2010,0.13
5/8/2010,0
5/9/2010,0
5/10/2010,0.33
5/11/2010,1.1
5/12/2010,0.81
5/13/2010,0.31
5/14/2010,0.49
5/15/2010,0.2
5/16/2010,0
5/17/2010,0
5/18/2010,0.27
5/19/2010,0.28
5/20/2010,0.01
5/21/2010,0
5/22/2010,0
5/23/2010,0
5/24/2010,0.07
5/25/2010,0
5/26/2010,0
5/27/2010,0
5/28/2010,0
5/29/2010,0
5/30/2010,0
5/31/2010,0
6/1/2010,0
6/2/2010,0
6/3/2010,0
6/4/2010,0
6/5/2010,0
6/6/2010,0
6/7/2010,0.08
6/8/2010,0.14
6/9/2010,0
6/10/2010,0.04
6/11/2010,0.93
6/12/2010,0.6
6/13/2010,0.46
6/14/2010,0
6/15/2010,0
6/16/2010,0
6/17/2010,0
6/18/2010,0
6/19/2010,0
6/20/2010,0
6/21/2010,0
6/22/2010,0
6/23/2010,0
6/24/2010,0
6/25/2010,0
6/26/2010,0.07
6/27/2010,0.01
6/28/2010,0
6/29/2010,0
6/30/2010,0.07
7/1/2010,0.3
7/2/2010,0
7/3/2010,0
7/4/2010,0
7/5/2010,0
7/6/2010,0.01
7/7/2010,0.9
7/8/2010,0.17
7/9/2010,0.01
7/10/2010,0.11
7/11/2010,0.05
7/12/2010,0
7/13/2010,0.02
7/14/2010,0.01
7/15/2010,0
7/16/2010,0
7/17/2010,0
7/18/2010,0
7/19/2010,0.43
7/20/2010,0.04
7/21/2010,0.25
7/22/2010,0.19
7/23/2010,0
7/24/2010,0
7/25/2010,0
7/26/2010,0
7/27/2010,0.13
7/28/2010,0.52
7/29/2010,0.21
7/30/2010,0.83
7/31/2010,0
8/1/2010,0.73
8/2/2010,0.37
8/3/2010,0.79
8/4/2010,0.09
8/5/2010,0
8/6/2010,0.04
8/7/2010,0.07
8/8/2010,0.04
8/9/2010,0.24
8/10/2010,0
8/11/2010,0.3
8/12/2010,0.01
8/13/2010,0
8/14/2010,0
8/15/2010,0
8/16/2010,0
8/17/2010,0
8/18/2010,0.03
8/19/2010,0.31
8/20/2010,0
8/21/2010,0
8/22/2010,0
8/23/2010,0.02
8/24/2010,0
8/25/2010,0
8/26/2010,0
8/27/2010,0
8/28/2010,0.22
8/29/2010,0
8/30/2010,0.01
8/31/2010,0
9/1/2010,0
9/2/2010,0
9/3/2010,0
9/4/2010,0
9/5/2010,0
9/6/2010,0
9/7/2010,0
9/8/2010,0.44
9/9/2010,0
9/10/2010,0
9/11/2010,0
9/12/2010,0
9/13/2010,0
9/14/2010,0
9/15/2010,0
9/16/2010,0
9/17/2010,0
9/18/2010,0
9/19/2010,0
9/20/2010,0.04
9/21/2010,0
9/22/2010,0.36
9/23/2010,0.25
9/24/2010,0
9/25/2010,0
9/26/2010,0
9/27/2010,0
9/28/2010,0
9/29/2010,0
9/30/2010,0
10/1/2010,0
10/2/2010,0
10/3/2010,0
10/4/2010,0
10/5/2010,0.04
