ID,Number,Stream,Sample_Name,Site_Code,Date,Time,BOTTLE_NOTES,SAMPLE_TTYPE,Temp,Chla,Turbidity,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4,LAB_NOTES,POINT_X,POINT_Y
FCW 100,100,Hourglass Reservoir Outflow,Hourglass Reservoir Outflow,HORO,8/21/2020,NA,No TSS,NORM,NA,NA,NA,2.78,0.23,6.69,238.75,24.95,1.1,0.02,0.42,0.77,3.52,0.04,0.24,0.11,0,0.89,NA,-105.6309523,40.58287424
FCW 161,161,Long Draw Reservoir,LNGR_102020,LNGR,10/20/2020,NA,No TSS,NORM,NA,NA,NA,2.39,0.34,6.9,203.46,27.52,1.01,0.02,0.59,1.19,1.94,0.22,0.14,0.09,0,1.98,NA,-105.7725203,40.50086976
FCW 162,162,Peterson Reservoir,PTRR_102020,PTRR,10/20/2020,NA,No TSS,NORM,NA,NA,NA,9.37,0.48,6.92,268.85,40.12,1.35,0.01,1.07,0.47,4.06,0.02,0.29,0.16,0,7.34,NA,-105.793993,40.55935863
FCW 164,164,Barnes Meadow Reservoir Outflow,BMD_102020,BMR,10/20/2020,NA,No TSS,NORM,NA,NA,NA,9.61,0.5,7.33,375.6,42.43,1.93,0.02,1.04,0.66,5.65,0.05,0.66,0.11,0,1.75,NA,-105.8369518,40.6006939
FCW 214,214,Chambers Lake Outflow,Chambers Lake Outflow,CHR,11/16/2020,10:30:00,No TSS,NORM,NA,NA,NA,2.69,0.25,7.55,445.98,50.64,2,0.02,0.87,1.36,5.56,0.07,0.4,0.08,0,2.73,NA,-105.8375231,40.6005806
FCW 240,240,Barnes Meadow Reservoir Outflow,BMD_040721,BMR,4/7/2021,NA,No TSS,NORM,NA,NA,6,10.2,0.4,7.65,397.12,49.91,2.1,0.12,1.06,0.69,5.42,0.03,0.61,0.15,0,2.07,NA,-105.8369518,40.6006939
FCW 241,241,Barnes Meadow Reservoir Outflow,BMD_041221,BMD,4/12/2021,9:04:00,No TSS,NORM,NA,NA,NA,8.83,0.56,7,444.24,51.48,2.12,0.08,1.01,0.63,5.68,0.04,0.7,0.08,0,1.85,NA,-105.8363862,40.60059258
FCW 250,250,Chambers Lake Inflow,CBRI_041321,CBRI,4/13/2021,9:07:00,NA,NORM,1,NA,1.8,3.18,0.3,7.3,460.9,54.26,1.96,0.01,0.85,1.22,5.94,0.08,0.54,0.09,0,1.95,NA,-105.8572669,40.57794629
FCW 250,250,Chambers Lake Inflow,CBRI_041321,CBRI,4/13/2021,9:07:00,NA,NORM,1,NA,1.8,3.18,0.3,7.3,460.9,54.26,1.96,0.01,0.85,1.22,5.94,0.08,0.54,0.09,0,1.95,NA,-105.8572669,40.57794629
FCW 261,261,Chambers Lake Inflow,CBRI_041921,CBRI,4/19/2021,9:11:00,NA,NORM,0,NA,2,2.61,0.24,7.32,443.42,55.19,2.01,0.01,0.84,1.18,5.98,0.06,0.59,0.1,0,1.93,NA,-105.8572669,40.57794629
FCW 261,261,Chambers Lake Inflow,CBRI_041921,CBRI,4/19/2021,9:11:00,NA,NORM,0,NA,2,2.61,0.24,7.32,443.42,55.19,2.01,0.01,0.84,1.18,5.98,0.06,0.59,0.1,0,1.93,NA,-105.8572669,40.57794629
FCW 262,262,Barnes Meadow Reservoir Outflow,BMD_041921,BMR,4/19/2021,9:29:00,NA,NORM,2,NA,12,9.67,0.77,7.48,369.75,43.28,2.13,0.09,0.96,0.65,5.42,0.04,0.68,0.09,0,2.01,NA,-105.8369518,40.6006939
FCW 263,263,Chambers Lake Outflow,CHR_041921,CHR,4/19/2021,9:38:00,NA,NORM,1,NA,2.4,2.94,0.36,7.28,509.69,60.2,2.13,0.01,0.92,1.32,6.48,0.06,0.85,0.05,0,2.54,NA,-105.8375231,40.6005806
FCW 281,281,Chambers Lake Inflow,CBRI_042621,CBRI,4/26/2021,9:45:00,NA,NORM,1,NA,2,2.76,0.31,7.13,450.52,50.11,1.99,0.01,0.92,1.24,5.94,0.06,0.64,0.07,0,1.92,NA,-105.8572669,40.57794629
FCW 281,281,Chambers Lake Inflow,CBRI_042621,CBRI,4/26/2021,9:45:00,NA,NORM,1,NA,2,2.76,0.31,7.13,450.52,50.11,1.99,0.01,0.92,1.24,5.94,0.06,0.64,0.07,0,1.92,NA,-105.8572669,40.57794629
FCW 282,282,Chambers Lake Outflow,CHD_042621,CHD,4/26/2021,10:24:00,NA,NORM,2,NA,1.5,3.03,0.36,6.99,505.86,56.8,2.55,0.02,0.97,1.36,6.74,0.06,0.75,0.04,0,2.5,NA,-105.8427182,40.60232576
FCW 283,283,Barnes Meadow Reservoir Outflow,BMD_042621,BMD,4/26/2021,10:46:00,NA,NORM,3.4,NA,15,10.51,1,7.14,444.5,51.04,3.15,0.09,0.91,0.78,5.66,0.03,0.76,0.11,0,1.95,NA,-105.8363862,40.60059258
FCW 321,321,Chambers Lake Inflow,CBRI_050321,CBRI,5/3/2021,9:37:00,Water temperature error.,NORM,-6,NA,1.6,5.23,0.52,7.36,112.21,49.14,1.84,0.01,0.85,1.01,4.85,0.06,0.59,0.8,0,13.72,NA,-105.8572669,40.57794629
FCW 321,321,Chambers Lake Inflow,CBRI_050321,CBRI,5/3/2021,9:37:00,Water temperature error.,NORM,-6,NA,1.6,5.23,0.52,7.36,112.21,49.14,1.84,0.01,0.85,1.01,4.85,0.06,0.59,0.8,0,13.72,NA,-105.8572669,40.57794629
FCW 322,322,Chambers Lake Outflow,CHD_050321,CHD,5/3/2021,10:00:00,Water temperature error.,NORM,-5,NA,1,2.96,0.28,7.1,470.21,64.36,2.33,0.02,0.84,1.34,6.04,0.07,0.99,0.26,0,8.42,NA,-105.8427182,40.60232576
FCW 323,323,Barnes Meadow Reservoir Outflow,BMD_050321,BMD,5/3/2021,10:20:00,Water temperature error.,NORM,-3,NA,9,10.05,0.73,7.01,142.61,56.42,3.06,0.08,0.92,0.76,5.44,0.06,1.38,0.12,0,14.54,NA,-105.8363862,40.60059258
FCW 345,345,Chambers Lake Inflow,CBRI_051021,CBRI,5/10/2021,9:30:00,NA,NORM,NA,NA,1.75,4.2,0.39,7.16,469.68,65.04,1.46,0.01,0.83,1.06,6.19,0.06,2.15,0.74,0.1,11.22,NA,-105.8572669,40.57794629
