Date,Stage_cm,Discharge_Ls,Q_mm
2017-07-13,22.9325,1.0732247934182066,0.08170466309924493
2017-07-14,22.563541666666666,0.968018864849358,0.07369532991715969
2017-07-15,21.691666666666666,0.7370859135081079,0.05611439151211607
2017-07-16,21.02916666666667,0.581887508960339,0.04429912835859837
2017-07-17,20.829166666666666,0.540170489241551,0.04112320933163274
2017-07-18,20.507291666666667,0.478445202082382,0.03642405979374201
2017-07-19,9.223958333333334,0.18731604220738018,0.014260380691442108
2017-07-20,0,0,0
2017-07-21,1.66875,0.03265521870345772,0.0024860436126343706
2017-07-22,10.857291666666667,0.21400818409293665,0.016292454934910324
2017-07-23,0,0,0
2017-07-24,0,0,0
2017-07-25,0,0,0
2017-07-26,21.2375,0.6374390939650306,0.04852827360875729
2017-07-27,21.870833333333334,0.777802062937935,0.05921411422842328
2017-07-28,20.775,0.5324000721894065,0.04053164705010549
2017-07-29,20.657291666666666,0.5085963824442169,0.03871947082842571
2017-07-30,21.55625,0.7007258200038887,0.053346295575236576
2017-07-31,20.995833333333334,0.5768519921514136,0.0439157741844058
2017-08-01,12.779166666666665,0.29138298640204024,0.022183002929893624
2017-08-02,3.3375,0.06531043740691544,0.004972087225268741
2017-08-03,0,0,0
2017-08-04,13.428125,0.2745659577258191,0.020902721603234444
2017-08-05,10.895833333333334,0.2204920797732923,0.016786074272986565
2017-08-06,0,0,0
2017-08-07,7.570833333333334,0.1573819114317329,0.011981493653803616
2017-08-08,21.504166666666666,0.7197833819575757,0.05479714882468459
2017-08-09,22.996875,1.093241069056686,0.08322850327473581
2017-08-10,22.961458333333333,1.0824273298609675,0.08240525270947889
2017-08-11,22.630208333333332,0.9841371756849802,0.07492241781582719
2017-08-12,21.980208333333334,0.8061778567876476,0.06137436498938476
2017-08-13,21.770833333333332,0.7538449120875578,0.05739025500428672
2017-08-14,22.246875,0.8748762801063722,0.0666043797701917
2017-08-15,22.616666666666667,0.9789913433108053,0.0745306653115284
2017-08-16,22.225,0.869669801133805,0.0662080102369907
2017-08-17,21.726041666666667,0.7439143033108131,0.056634237206850166
2017-08-18,16.751041666666666,0.4845546025249354,0.03688916878857557
2017-08-19,11.936458333333333,0.27376331660572883,0.02084161649020616
2017-08-20,0,0,0
2017-08-21,0,0,0
2017-08-22,0,0,0
2017-08-23,0,0,0
2017-08-24,0,0,0
2017-08-25,0,0,0
2017-08-26,0,0,0
2017-08-27,0,0,0
2017-08-28,0,0,0
2017-08-29,0,0,0
2017-08-30,0,0,0
2017-08-31,0,0,0
2017-09-01,0,0,0
2017-09-02,0,0,0
2017-09-03,0,0,0
2017-09-04,0,0,0
2017-09-05,0,0,0
2017-09-06,0,0,0
2017-09-07,0,0,0
2017-09-08,0,0,0
2017-09-09,0,0,0
2017-09-10,0,0,0
2017-09-11,0,0,0
2017-09-12,0,0,0
2017-09-13,0,0,0
2017-09-14,0,0,0
2017-09-15,0,0,0
2017-09-16,0,0,0
2017-09-17,0,0,0
2017-09-18,0,0,0
2017-09-19,0,0,0
2017-09-20,0,0,0
2017-09-21,0,0,0
2017-09-22,0,0,0
2017-09-23,0,0,0
2017-09-24,0,0,0
2017-09-25,0,0,0
2017-09-26,0,0,0
2017-09-27,0,0,0
2017-09-28,0,0,0
2017-09-29,0,0,0
2017-09-30,0,0,0
2017-10-01,9.195833333333333,0.34827651840922785,0.02651431067984605
2017-10-02,21.85729166666667,0.7757894867359405,0.059060896690444314
2017-10-03,20.998958333333334,0.5752000759451484,0.04379001371192248
2017-10-04,21.342708333333334,0.6547961395579568,0.049849666453262366
2017-10-05,21.859375,0.7727415266016469,0.058828855316223706
2017-10-06,21.900000000000002,0.7832035997484804,0.05962533352565751
2017-10-07,21.26875,0.6335264984589756,0.04823040749568727
2017-10-08,20.877083333333335,0.5494119158496031,0.0418267596523092
2017-10-09,21.111458333333335,0.5984801636000548,0.04556232807740306
2017-10-10,21.18541666666667,0.614430927209815,0.0467766605964649
2017-10-11,21.321875000000002,0.6449664875761072,0.049101334502225445
2017-10-12,21.57916666666667,0.7045534027522848,0.053637689662346826
2017-10-13,21.96666666666667,0.8002230834627114,0.06092102776559896
2017-10-14,21.726041666666667,0.740311461386695,0.05635995265116791
2017-10-15,21.322916666666668,0.6449772519133046,0.04910215399181383
2017-10-16,21.10729166666667,0.5974466930093867,0.045483649903966
2017-10-17,21.026041666666668,0.5800963139793885,0.044162764585266696
2017-10-18,20.918750000000003,0.557813083683925,0.042466341025897546
2017-10-19,20.838541666666668,0.5414052815819509,0.04121721414105257
2017-10-20,20.863541666666666,0.5464845776140866,0.0416039012299384
2017-10-21,20.93541666666667,0.5613276798158323,0.04273390742452014
2017-10-22,20.992708333333333,0.5732053183031559,0.0436381527019056
2017-10-23,20.934375000000003,0.5610387860714338,0.04271191392772216
2017-10-24,20.883333333333336,0.5505555282481092,0.0419138229276911
2017-10-25,20.853125000000002,0.5443948899492174,0.0414448131920102
2017-10-26,20.839583333333337,0.5416241769117521,0.04123387865466154
2017-10-27,20.859375000000004,0.5456598341360196,0.0415411134631704
2017-10-28,21.07916666666667,0.5917441781658371,0.045049517132371424
2017-10-29,21.306250000000002,0.641092051453159,0.048806373465109645
2017-10-30,21.325000000000003,0.6452625742322213,0.04912387559579163
2017-10-31,21.37916666666667,0.6575803329906873,0.0500616272538509
2017-11-01,21.425,0.66802660108659,0.050856902223879966
2017-11-02,21.450000000000003,0.6738290569071339,0.051298643507601
2017-11-03,21.467708333333334,0.6779363811050162,0.05161133432678949
2017-11-04,21.917708333333334,0.7920712099792042,0.06030042518477685
2017-11-05,22.83125,1.0434188493754095,0.07943553492469414
2017-11-06,22.915625000000002,1.0680887701030661,0.08131365735915491
2017-11-07,22.87604166666667,1.0559224810671988,0.08038743709948541
2017-11-08,22.670833333333334,0.994428040778761,0.07570586194667808
2017-11-09,22.611458333333335,0.977002679921896,0.07437926825733704
2017-11-10,22.703125,1.0038320296490952,0.07642178814140614
2017-11-11,22.725,1.010294003717876,0.07691373858597629
2017-11-12,22.725,1.010294003717876,0.07691373858597629
2017-11-13,22.725,1.010294003717876,0.07691373858597629
2017-11-14,22.78229166666667,1.0274926884387163,0.07822307540849863
2017-11-15,22.848958333333336,1.0476179142134447,0.07975520996391015
2017-11-16,22.90416666666667,1.0645120567547806,0.08104136197340123
2017-11-17,23.472916666666666,1.251577965995881,0.0952827000282352
2017-11-18,23.511458333333334,1.2622388639952107,0.09609431478472658
2017-11-19,23.345833333333335,1.2058785467789268,0.09180360070640523
2017-11-20,23.367708333333336,1.2129397707638132,0.09234117208035372
2017-11-21,23.427083333333336,1.232743931614332,0.0938488639452624
2017-11-22,23.634375000000002,1.304437627139217,0.09930690896539637
2017-11-23,24.09479166666667,1.470496214694937,0.11194895845417442
2017-11-24,24.446875000000002,1.6052872347197549,0.12221060629111535
2017-11-25,24.470833333333335,1.6147016333244248,0.12292732497949625
2017-11-26,24.34166666666667,1.564032276653423,0.11906986404340095
2017-11-27,24.383333333333333,1.5802820512576448,0.1203069602860697
2017-11-28,24.425,1.596554223648921,0.12154576167351022
2017-11-29,24.490625,1.6225336332412312,0.12352357556792878
2017-11-30,24.440625,1.6027336046753469,0.12201619829407874
2017-12-01,24.411458333333336,1.5912653942397628,0.1211431227970002
2017-12-02,24.325000000000003,1.557536846369145,0.1185753665752878
2017-12-03,24.321875000000002,1.5563302414647515,0.11848350767693587
2017-12-04,23.96666666666667,1.4234861009353752,0.1083700758840571
2017-12-05,23.19375,1.1567096526281937,0.0880603700652709
2017-12-06,22.67291666666667,0.9957077131180705,0.07580328347290624
2017-12-07,21.9875,0.8055613800512698,0.06132743258122275
2017-12-08,21.964583333333334,0.7995216672471163,0.06086762891016904
2017-12-09,21.73541666666667,0.741912226523751,0.05648181898991284
2017-12-10,21.604166666666668,0.710078026356847,0.05405827956404228
2017-12-11,21.511458333333334,0.6881341451590678,0.05238769067031761
2017-12-12,21.42291666666667,0.6676408119115264,0.05082753207256664
2017-12-13,21.589583333333334,0.7071292578940517,0.053833789657279106
2017-12-14,21.590625,0.7070180376807316,0.05382532245626505
2017-12-15,21.422916666666666,0.6675485207520201,0.05082050594147021
2017-12-16,21.42291666666667,0.6677036017452914,0.050832312266096726
2017-12-17,21.233333333333334,0.6248587560272642,0.04757053178320171
2017-12-18,21.197916666666668,0.6171614323285285,0.04698453410272699
2017-12-19,21.153125,0.6073160492765883,0.04623500454445081
2017-12-20,21.179166666666667,0.6130097338802174,0.04666846506939007
2017-12-21,21.01666666666667,0.5783295167087011,0.0440282582109717
2017-12-22,20.733333333333334,0.5204043498292238,0.039618412040924256
2017-12-23,20.759375000000002,0.5255905302045055,0.0400132362407871
2017-12-24,20.825000000000003,0.5386576260715032,0.04100803497451571
2017-12-25,20.976041666666667,0.5696661469539066,0.04336871539062255
2017-12-26,21.15416666666667,0.607548698541645,0.046252716145914294
2017-12-27,21.273958333333336,0.6338840378001269,0.048257626985576674
2017-12-28,21.369791666666668,0.6554532257194822,0.049899690459215135
2017-12-29,21.479166666666668,0.6806198277756517,0.05181562527078712
2017-12-30,21.640625,0.7189003897180747,0.05472992657647515
2017-12-31,21.784375,0.7539833945144114,0.05740079767913045
2018-01-01,22.011458333333334,0.8117591865115283,0.06179927193109176
