Date,tips,P_mm
2017-04-03,6,1.7999999999999998
2017-04-04,16,4.8
2017-04-05,33,9.9
2017-04-06,16,4.8
2017-04-09,4,1.2
2017-04-19,25,7.5
2017-04-20,8,2.4
2017-04-21,58,17.4
2017-04-22,4,1.2
2017-06-22,2,0.6
2017-07-12,3,0.8999999999999999
2017-07-17,2,0.6
2017-07-19,22,6.6
2017-07-20,30,9
2017-07-21,71,21.3
2017-07-22,8,2.4
2017-07-25,36,10.799999999999999
2017-07-26,41,12.299999999999999
2017-07-27,1,0.3
2017-07-28,6,1.7999999999999998
2017-07-30,4,1.2
2017-08-01,13,3.9
2017-08-03,21,6.3
2017-08-04,4,1.2
2017-08-05,3,0.8999999999999999
2017-08-06,4,1.2
2017-08-07,3,0.8999999999999999
2017-08-08,3,0.8999999999999999
2017-08-09,2,0.6
2017-08-10,1,0.3
2017-08-11,1,0.3
2017-08-12,1,0.3
2017-08-14,1,0.3
2017-08-17,1,0.3
2017-08-20,3,0.8999999999999999
2017-08-21,1,0.3
2017-08-23,1,0.3
2017-08-28,1,0.3
2017-08-29,1,0.3
2017-08-31,1,0.3
2017-09-08,1,0.3
2017-09-09,1,0.3
2017-09-15,1,0.3
2017-09-22,1,0.3
2017-09-23,3,0.8999999999999999
2017-09-24,3,0.8999999999999999
2017-09-25,44,13.2
2017-09-27,1,0.3
2017-09-28,46,13.799999999999999
2017-09-29,2,0.6
2017-09-30,4,1.2
2017-10-01,62,18.599999999999998
2017-10-02,6,1.7999999999999998
2017-10-03,56,16.8
2017-10-08,4,1.2
2017-10-09,9,2.6999999999999997
2017-10-10,52,15.6
2017-10-11,5,1.5
2017-10-15,1,0.3
2017-10-26,2,0.6
2017-10-27,3,0.8999999999999999
2017-10-31,6,1.7999999999999998
2017-11-04,22,6.6
2017-11-05,34,10.2
2017-11-06,7,2.1
2017-11-07,10,3
2017-11-08,15,4.5
2017-11-09,3,0.8999999999999999
2017-11-17,15,4.5
2017-11-18,4,1.2
2017-11-19,1,0.3
2017-11-21,7,2.1
2017-11-24,5,1.5
2017-12-02,3,0.8999999999999999
2017-12-14,1,0.3
2017-12-15,4,1.2
2017-12-22,1,0.3
2017-12-24,1,0.3
2017-12-28,1,0.3
2017-12-29,3,0.8999999999999999
2018-01-10,7,2.1
2018-01-12,5,1.5
2018-01-15,1,0.3
2018-01-17,1,0.3
2018-01-22,5,1.5
2018-01-23,1,0.3
2018-01-25,2,0.6
2018-01-27,3,0.8999999999999999
2018-02-01,1,0.3
2018-02-02,1,0.3
2018-02-04,2,0.6
2018-02-05,7,2.1
2018-02-06,1,0.3
2018-02-07,1,0.3
2018-02-11,4,1.2
2018-02-12,1,0.3
2018-02-13,9,2.6999999999999997
2018-02-21,4,1.2
2018-02-22,1,0.3
2018-02-26,4,1.2
2018-02-27,5,1.5
2018-02-28,1,0.3
2018-03-01,1,0.3
2018-03-10,10,3
2018-03-11,1,0.3
2018-03-16,12,3.5999999999999996
2018-03-17,1,0.3
2018-03-19,14,4.2
2018-03-23,15,4.5
2018-03-24,3,0.8999999999999999
2018-03-26,2,0.6
2018-03-27,8,2.4
2018-03-29,11,3.3
2018-03-30,1,0.3
2018-04-01,5,1.5
2018-04-02,11,3.3
2018-04-07,44,13.2
2018-04-08,21,6.3
2018-04-09,6,1.7999999999999998
2018-04-12,1,0.3
2018-04-13,1,0.3
2018-04-17,1,0.3
2018-04-20,2,0.6
2018-04-21,27,8.1
2018-04-22,7,2.1
2018-04-23,9,2.6999999999999997
2018-04-24,12,3.5999999999999996
2018-04-25,22,6.6
2018-05-02,45,13.5
2018-05-03,84,25.2
2018-05-04,13,3.9
2018-05-11,9,2.6999999999999997
2018-05-12,47,14.1
2018-05-13,1,0.3
2018-05-14,2,0.6
2018-05-18,13,3.9
2018-05-19,41,12.299999999999999
2018-05-20,24,7.199999999999999
2018-05-21,11,3.3
2018-05-22,18,5.3999999999999995
2018-05-27,2,0.6
2018-05-28,43,12.9
2018-05-30,1,0.3
2018-06-03,2,0.6
2018-06-14,5,1.5
2018-06-16,17,5.1
2018-06-17,58,17.4
2018-06-22,2,0.6
2018-06-24,17,5.1
2018-06-30,6,1.7999999999999998
2018-07-03,4,1.2
2018-07-06,3,0.8999999999999999
2018-07-07,36,10.799999999999999
2018-07-08,87,26.099999999999998
2018-07-09,2,0.6
2018-07-12,53,15.899999999999999
2018-07-15,42,12.6
2018-07-16,2,0.6
2018-07-17,5,1.5
2018-07-20,9,2.6999999999999997
2018-09-25,5,1.5
