Date,Snow_depth_cm,P_mm,Ts_C,VWC_5,VWC_20,VWC_40,VWC_50,Discharge_Ls,Q_mm,PRISM_P_mm,PRISM_Ta_C
10/1/2015,NA,NA,NA,NA,NA,NA,NA,19.538592,0.418809651,0.401,8.969
10/2/2015,NA,NA,NA,NA,NA,NA,NA,19.255424,0.412739946,3.923,7.36
10/3/2015,NA,NA,NA,NA,NA,NA,NA,19.538592,0.418809651,1.099,4.289
10/4/2015,NA,NA,NA,NA,NA,NA,NA,18.122752,0.388461126,0,5.349
10/5/2015,NA,NA,NA,NA,NA,NA,NA,18.689088,0.400600536,1.578,5.409
10/6/2015,NA,NA,NA,NA,NA,NA,NA,22.936608,0.491646113,11.324,4.497
10/7/2015,NA,NA,NA,NA,NA,NA,NA,24.352448,0.521994638,0,4.701
10/8/2015,NA,NA,NA,NA,NA,NA,NA,21.2376,0.455227882,0,5.343
10/9/2015,NA,NA,NA,NA,NA,NA,NA,20.671264,0.443088472,0,6.017
10/10/2015,NA,NA,NA,NA,NA,NA,NA,19.255424,0.412739946,0,7.524
10/11/2015,NA,NA,NA,NA,NA,NA,NA,18.122752,0.388461126,0,7.253
10/12/2015,NA,NA,NA,NA,NA,NA,NA,16.706912,0.358112601,0,5.818
10/13/2015,NA,NA,NA,NA,NA,NA,NA,16.423744,0.352042895,0,6.994
10/14/2015,NA,NA,NA,NA,NA,NA,NA,16.423744,0.352042895,0,7.44
10/15/2015,NA,NA,NA,NA,NA,NA,NA,16.423744,0.352042895,0,5.052
10/16/2015,NA,NA,NA,NA,NA,NA,NA,15.857408,0.339903485,0,5.687
10/17/2015,NA,NA,NA,NA,NA,NA,NA,15.857408,0.339903485,0,6.632
10/18/2015,NA,NA,NA,NA,NA,NA,NA,15.291072,0.327764075,1.382,5.478
10/19/2015,NA,NA,NA,NA,NA,NA,NA,15.857408,0.339903485,2.435,2.261
10/20/2015,NA,NA,NA,NA,NA,NA,NA,15.57424,0.33383378,1.69,2.743
10/21/2015,NA,NA,NA,NA,NA,NA,NA,15.007904,0.32169437,0.95,0.681
10/22/2015,NA,NA,NA,NA,NA,NA,NA,15.57424,0.33383378,23.127,-0.797
10/23/2015,NA,NA,NA,NA,NA,NA,NA,16.140576,0.34597319,8.27,-2.333
10/24/2015,NA,NA,NA,NA,NA,NA,NA,16.706912,0.358112601,0.001,-2.006
10/25/2015,NA,NA,NA,NA,NA,NA,NA,17.273248,0.370252011,1.672,-0.271
10/26/2015,NA,NA,NA,NA,NA,NA,NA,17.556416,0.376321716,6.782,0.055
10/27/2015,NA,NA,NA,NA,NA,NA,NA,16.99008,0.364182306,10.018,-4.359
10/28/2015,NA,NA,NA,NA,NA,NA,NA,17.273248,0.370252011,1.014,-3.402
10/29/2015,NA,NA,NA,NA,NA,NA,NA,16.423744,0.352042895,1.109,-1.442
10/30/2015,NA,NA,NA,NA,NA,NA,NA,16.423744,0.352042895,3.285,-3.194
10/31/2015,NA,NA,NA,NA,NA,NA,NA,15.857408,0.339903485,0.493,-1.345
