Date,Snow_depth_cm,P_mm,Ta_C,Ts_C,VWC_5,VWC_20,VWC_50,Stage_cm,Discharge_Ls,Q_mm,PRISM_P_mm,PRISM_Ta_C
10/1/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17.697
10/2/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.803,12.169
10/3/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.723,10.907
10/4/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.326,9.064
10/5/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13.411
10/6/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.935,10.534
10/7/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.31
10/8/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13.83
10/9/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.314
10/10/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.948
10/11/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.261
10/12/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.126
10/13/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.338
10/14/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.878
10/15/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.571
10/16/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9.504
10/17/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13.544
10/18/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.886
10/19/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.306
10/20/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.299,13.375
10/21/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.676,6.981
10/22/2015,NA,7.8,5.573430213,10.55744687,0.338131487,0.21947234,0.139753191,NA,NA,NA,15.539,6.044
10/23/2015,NA,0.3,8.42307505,10.39270835,0.306969374,0.217159895,0.169852083,NA,NA,NA,0,6.912
10/24/2015,NA,0,9.937847435,9.503125002,0.284147504,0.207119272,0.165637501,NA,NA,NA,0,8.914
10/25/2015,NA,0,12.95858309,10.00937499,0.271805526,0.199637498,0.16221979,0,0,0,0,11.561
10/26/2015,0,0,11.75417469,10.81458335,0.262960627,0.194023956,0.159466147,0,0,0,0.001,9.308
10/27/2015,0,0,8.925147384,9.633333315,0.25397948,0.189428646,0.156508855,0,0,0,0.303,6.521
10/28/2015,0,0,7.174757226,8.293750013,0.244419272,0.184585415,0.153046878,0,0,0,0,6.359
10/29/2015,0,0,6.110781767,8.159375012,0.236902812,0.181300523,0.150727078,0,0,0,0,6.448
10/30/2015,0,0,7.377926797,8.357291644,0.231418752,0.178245838,0.148814579,0,0,0,0,6.429
10/31/2015,0,0,12.19339298,8.688541681,0.224753854,0.175846356,0.146919789,0,0,0,0,10.715
11/1/2015,0,0,13.95332594,9.108333334,0.216170103,0.173499996,0.145210936,0,0,0,0,12.692
11/2/2015,0,0,13.13026197,9.23333331,0.207132186,0.170896874,0.143422396,0,0,0,0,9.789
11/3/2015,0,0,14.78860265,9.14895836,0.198355414,0.168196353,0.14126198,0,0,0,0,11.052
11/4/2015,0,17.1,8.022475531,8.489583348,0.215693231,0.168771876,0.14015521,0,0,0,15.869,7.43
11/5/2015,0,2.4,2.345935527,7.081249992,0.295501669,0.212927604,0.175899482,0,0,0,0,2.264
11/6/2015,0,0,0.780745006,5.055208313,0.272441357,0.20556094,0.171817705,0,0,0,0,-0.168
11/7/2015,0,0.3,2.81455007,4.143749995,0.264357191,0.201372917,0.167913019,0,0,0,0,1.727
11/8/2015,0,0,9.624590409,4.722916658,0.260235625,0.197972912,0.165548959,0,0,0,0,7.407
11/9/2015,0,0,9.336234296,5.427083331,0.255943752,0.194776559,0.16381354,0,0,0,0,6.576
11/10/2015,0,0,9.625007743,6.083333323,0.251470207,0.192323957,0.161431769,0,0,0,9.454,5.761
11/11/2015,7.5,5.4,3.572966314,4.582291653,0.260349169,0.195963022,0.163494792,0,0,0,0,1.363
11/12/2015,0,0,2.640258603,3.412499997,0.268524169,0.20692448,0.171047393,0,0,0,0,0.973
11/13/2015,0,0,5.086539236,3.255208323,0.263233127,0.203285421,0.16908177,0,0,0,0,4.794
11/14/2015,0,0,10.12325483,4.135416667,0.260246981,0.199858848,0.167284376,0,0,0,0,8.097
11/15/2015,0,0,10.17130646,4.514583329,0.256375211,0.19715833,0.165398439,0,0,0,0,7.114
11/16/2015,0,0.3,5.229796462,3.997916641,0.251595101,0.194050519,0.163299997,0,0,0,4.792,2.447
11/17/2015,4,1.2,3.423918126,3.543749993,0.254603957,0.193430727,0.163583333,0,0,0,0,1.976
11/18/2015,0,0,3.479911588,3.555208335,0.255864274,0.197069789,0.165593229,0,0,0,0.31,1.115
11/19/2015,3,0,-0.03428161,2.677083311,0.25139073,0.194236458,0.16385781,0,0,0,0,2.113
11/20/2015,0,0.6,0.469994641,2.383333333,0.250209896,0.192740103,0.162635936,0,0,0,1.443,-3.039
11/21/2015,2.5,0.6,-3.301118475,1.544791671,0.249335625,0.193590103,0.162343749,0,0,0,0,-2.806
11/22/2015,0,0,4.948435071,1.229166669,0.243862917,0.191987499,0.160785416,0,0,0,0,5.949
11/23/2015,0,0,8.611260757,2.194791662,0.245543335,0.192155728,0.161201562,0,0,0,0,7.497
11/24/2015,0,0,9.693496485,2.99166664,0.245157292,0.191288019,0.160980208,0,0,0,0,7.213
11/25/2015,0,0,1.4044435,2.349999997,0.241807814,0.18977396,0.160431249,0,0,0,5.585,-1.81
11/26/2015,20,0,-8.532143176,1.830208335,0.240638333,0.185453123,0.15836823,0,0,0,3.994,-11.13
11/27/2015,22.5,0,-11.27342906,2.1364583,0.24602021,0.1843375,0.159536981,0,0,0,1.205,-11.658
11/28/2015,20,0,-8.177536806,2.25,0.252196874,0.186391666,0.163034375,0,0,0,0.463,-7.432
11/29/2015,15,0,-7.333529166,2.232291684,0.256704482,0.188348438,0.166673439,0,0,0,0.321,-6.683
11/30/2015,9,0,-5.164245009,2.19895837,0.258055633,0.189649999,0.167549998,0,0,0,0,-6.38
12/1/2015,9,0,1.480648715,1.758333334,0.256818018,0.189667711,0.167718229,0,0,0,0,-1.985
12/2/2015,7.5,3.3,3.210859854,1.727083343,0.25810104,0.190075001,0.168010415,0,0,0,0,1.779
12/3/2015,2.5,0,3.814724338,1.646875007,0.263732713,0.193492707,0.169577601,0,0,0,0,2.518
12/4/2015,0,0,7.347233871,1.460416672,0.277153335,0.204285939,0.176581247,0,0,0,0,6.037
12/5/2015,0,0,4.588799181,1.685416672,0.280298441,0.212378647,0.183877084,0,0,0,0,0.533
