Date,P_mm,Snow_depth_cm,Ta_C,VWC_5,VWC_40,VWC_50,Ts_C,Discharge_Ls,Q_mm,PRISM_P_mm,PRISM_Ta_C
10/1/2015,0,NaN,9.865416667,NA,NA,NA,NA,22.087104,1.157980328,5.429,9.285
10/2/2015,3.048,NaN,8.2525,NA,NA,NA,NA,22.370272,1.17282623,5.714,7.335
10/3/2015,2.54,NaN,4.382916667,NA,NA,NA,NA,22.936608,1.202518033,3.509,4.11
10/4/2015,0,NaN,4.359166667,NA,NA,NA,NA,22.087104,1.157980328,0,5.972
10/5/2015,0,NaN,6.454583333,NA,NA,NA,NA,21.520768,1.128288525,0,5.92
10/6/2015,7.874,NaN,3.855416667,NA,NA,NA,NA,21.803936,1.143134426,8.833,4.639
10/7/2015,0,NaN,5.14625,NA,NA,NA,NA,21.803936,1.143134426,0,4.922
10/8/2015,0,NaN,5.94625,NA,NA,NA,NA,21.520768,1.128288525,0.03,5.792
10/9/2015,0,NaN,6.48125,NA,NA,NA,NA,21.2376,1.113442623,0,6.368
10/10/2015,0,NaN,9.420833333,NA,NA,NA,NA,21.2376,1.113442623,0,9.068
10/11/2015,0,NaN,9.255833333,NA,NA,NA,NA,21.2376,1.113442623,0,8.143
10/12/2015,0,NaN,7.205833333,NA,NA,NA,NA,21.2376,1.113442623,0,7.109
10/13/2015,0,NaN,8.546666667,NA,NA,NA,NA,20.954432,1.098596721,0,7.916
10/14/2015,0,NaN,9.1925,NA,NA,NA,NA,20.954432,1.098596721,0,7.87
10/15/2015,0,NaN,6.2275,NA,NA,NA,NA,20.671264,1.08375082,0,3.933
10/16/2015,0,NaN,6.174166667,NA,NA,NA,NA,20.388096,1.068904918,0,5.81
10/17/2015,0,NaN,6.998333333,NA,NA,NA,NA,20.104928,1.054059016,0,6.534
10/18/2015,0,NaN,7.00375,NA,NA,NA,NA,20.104928,1.054059016,0,5.914
10/19/2015,2.54,NaN,4.76125,NA,NA,NA,NA,20.388096,1.068904918,3.713,2.992
10/20/2015,2.54,NaN,3.650833333,NA,NA,NA,NA,19.82176,1.039213115,8.526,2.687
10/21/2015,11.176,NaN,-0.230833333,NA,NA,NA,NA,20.104928,1.054059016,13.153,-0.764
10/22/2015,20.828,9.708333333,-0.435,NA,NA,NA,NA,19.538592,1.024367213,21.4,-1.271
10/23/2015,1.016,22.29166667,-0.973333333,NA,NA,NA,NA,18.972256,0.99467541,0.148,-2.052
10/24/2015,0,19.125,-0.954583333,NA,NA,NA,NA,18.689088,0.979829508,0.007,-1.297
10/25/2015,0,16.25,1.701666667,NA,NA,NA,NA,18.689088,0.979829508,0,0.985
10/26/2015,4.572,16.66666667,0.895833333,NA,NA,NA,NA,18.689088,0.979829508,4.661,-0.269
10/27/2015,9.144,22.29166667,-2.880416667,NA,NA,NA,NA,18.40592,0.964983607,11.211,-4.142
10/28/2015,0,31.66666667,-3.39625,NA,NA,NA,NA,18.122752,0.950137705,0,-2.588
10/29/2015,0,27.58333333,-0.1875,NA,NA,NA,NA,16.99008,0.890754098,0.312,-0.757
10/30/2015,5.08,27.04166667,-2.477916667,NA,NA,NA,NA,16.423744,0.861062295,4.001,-2.082
10/31/2015,0.762,30.29166667,-2.1425,NA,NA,NA,NA,16.706912,0.875908197,3.18,-1.158
11/1/2015,0,24.625,1.860416667,NA,NA,NA,NA,15.57424,0.81652459,0,2.073
11/2/2015,0,22.125,4.384166667,NA,NA,NA,NA,15.007904,0.786832787,0,3.447
11/3/2015,0,20.375,4.735,NA,NA,NA,NA,14.724736,0.771986885,0,2.824
11/4/2015,15.748,23.29166667,-0.734166667,NA,NA,NA,NA,14.441568,0.757140984,10.67,-2.782
11/5/2015,9.144,42.75,-7.431666667,NA,NA,NA,NA,14.1584,0.742295082,8.743,-8.384
11/6/2015,3.81,42.375,-9.200416667,NA,NA,NA,NA,13.875232,0.72744918,5.415,-9.763
11/7/2015,0.254,35.375,-3.617083333,NA,NA,NA,NA,15.007904,0.786832787,0,-4.007
11/8/2015,0,31.66666667,2.398333333,NA,NA,NA,NA,13.025728,0.682911475,0.041,0.323
11/9/2015,0,28.875,-0.7375,NA,NA,NA,NA,12.74256,0.668065574,0,-1.179
