Date,aspen,greyrock,mill,skin,dry,bighorn,bl4,montgomery,joewright,michigan,dadd,tunnel,mtcampus
10/1/2020,NA,0,0,0.3,NA,NA,NA,NA,NA,NA,0,NA,NA
10/2/2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10/3/2020,NA,0,0,0.3,NA,NA,NA,NA,NA,NA,0,NA,NA
10/4/2020,NA,0,0,0.3,NA,NA,NA,NA,NA,NA,0,NA,NA
10/5/2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10/6/2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10/7/2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10/8/2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10/9/2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10/10/2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10/11/2020,NA,0.6,0,0.9,NA,NA,NA,NA,NA,NA,2.4,NA,NA
10/12/2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.3,NA,NA
10/13/2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10/14/2020,NA,0,0,0.3,NA,NA,NA,NA,NA,NA,0,NA,NA
10/15/2020,NA,0,0,0.6,NA,NA,NA,NA,NA,NA,0,NA,NA
10/16/2020,NA,0,0,0.9,NA,NA,NA,NA,NA,NA,0,NA,NA
10/17/2020,NA,0,0,0.3,NA,NA,NA,NA,NA,NA,0,NA,NA
10/18/2020,NA,0.6,2.1,1.2,NA,NA,NA,NA,NA,NA,0,NA,NA
10/19/2020,NA,0,0,0.3,NA,NA,NA,NA,NA,NA,0,NA,NA
10/20/2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10/21/2020,NA,0,0,0.6,NA,NA,NA,NA,NA,NA,0,NA,NA
10/22/2020,NA,0,0,0.3,NA,NA,NA,NA,NA,NA,0,NA,NA
10/23/2020,NA,0,0,0.3,NA,NA,NA,NA,NA,NA,0,NA,NA
10/24/2020,NA,0,0,0.3,NA,NA,NA,NA,NA,NA,0,NA,NA
10/25/2020,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10/26/2020,NA,3,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
10/27/2020,NA,15,5.1,7.2,NA,NA,NA,NA,NA,NA,10.2,NA,NA
10/28/2020,NA,1.2,0,8.7,NA,NA,NA,NA,NA,NA,0,NA,NA
10/29/2020,NA,0,0,0.3,NA,NA,NA,NA,NA,NA,0,NA,NA
