Name,Type,Latitude,Longitude,Burn_status,Snow_zone,Sensor_model,Sensor_install,Sensor_remove,Comments
aspen,rain,40.61459241,-105.8190635,burned_2020,transitional,TE525,7/21/2017,still running,data gap 2020-11 to 2021-05; gage was tipped diagonal when visited 2020-10-27
aspen,stage,40.61450618,-105.8195706,burned_2020,transitional,WT-HR1000,7/13/2017,still running,missing some data for early part of water year due to logger filling during fire
bighorn,rain,,,unburned,intermittent,TE525,5/7/2021,still running,
bighorn,baro,40.407357,-105.592487,unburned,intermittent,U2,12/18/2020,still running,
bighorn,stage,40.410026,-105.594516,unburned,intermittent,U2,12/18/2020,still running,
bighorn,Ta,,,unburned,intermittent,,,still running,
bighorn,RH,,,unburned,intermittent,,,still running,
bighorn,u,,,unburned,intermittent,,,still running,
bighorn,Ts_5,,,unburned,intermittent,SM300,12/15/2020,still running,
bighorn,VWC_5,,,unburned,intermittent,SM300,12/15/2020,still running,
bighorn,Ts_20,,,unburned,intermittent,SM300,12/15/2020,still running,
bighorn,VWC_20,,,unburned,intermittent,SM300,12/15/2020,still running,
bighorn,Ts_50,,,unburned,intermittent,SM300,12/15/2020,still running,
bighorn,VWC_50,,,unburned,intermittent,SM300,12/15/2020,still running,
bighorn,snow,,,unburned,intermittent,SR50A,12/15/2020,still running,
bl4,rain,40.59079764,-105.8610908,burned_2020,persistent,Rainwise,6/11/2021,still running,
bl4,stage,40.59084518,-105.860852,burned_2020,persistent,WT-HR1000,11/16/2020,still running,
dadd,rain,40.69736392,-105.5401549,unburned,intermittent,TE525,7/19/2017,still running,
dadd,stage,40.69748204,-105.5396808,burned_2020,intermittent,WT-HR1000,3/23/2017,still running,missing some data for early part of water year due to logger filling during fire
dry,stage,40.70631594,-105.6392187,burned_2020,intermittent,RuggedTroll,9/18/2016,still running,substantial offset adjustments were required due to channel bed aggrading and incising
dry,baro,40.70672394,-105.6393929,burned_2020,intermittent,RuggedTroll,11/25/2020,still running,
dry,rain,40.70672394,-105.6393929,burned_2020,intermittent,TE525,5/18/2021,still running,
dry,VWC_5,40.70672394,-105.6393929,burned_2020,intermittent,EC-5,11/25/2020,still running,
dry,VWC_20,40.70672394,-105.6393929,burned_2020,intermittent,EC-5,11/25/2020,still running,
dry,VWC_50,40.70672394,-105.6393929,burned_2020,intermittent,EC-5,11/25/2020,still running,
dry,Ts_5,40.70672394,-105.6393929,burned_2020,intermittent,TCAV,1/28/2021,still running,
dry,Ta,40.70672394,-105.6393929,burned_2020,intermittent,,1/28/2021,still running,
dry,RH,40.70672394,-105.6393929,burned_2020,intermittent,,1/28/2021,still running,
dry,u,40.70672394,-105.6393929,burned_2020,intermittent,041a,1/28/2021,still running,
dry,snow,40.70672394,-105.6393929,burned_2020,intermittent,SR50A,1/28/2021,still running,
dry,Rn_NRLite,40.70672394,-105.6393929,burned_2020,intermittent,NR-Lite,1/28/2021,still running,
