Date,mill_Q_mm,mill_stage_cm,greyrock_Q_mm,greyrock_stage_cm,aspen_Q_mm,aspen_stage_cm,michigan_Q_mm,michigan_stage_cm,dry_Q_mm,dry_stage_cm,bighorn_Q_mm,bighorn_stage_cm,skin_Q_mm,skin_stage_cm,dadd_stage_cm,dadd_Q_mm,hewlett_stage_cm,hewlett_Q_mm,washout_stage_cm,washout_Q_mm,bl4_stage_cm,bl4_Q_mm,hill_stage_cm,hill_Q_mm,montgomery_stage_cm,montgomery_Q_mm,mtcampus_stage_cm,mtcampus_Q_mm,michiganditch_stage_cm
10/1/2020,0,0,0,0,NA,NA,0.267226009,73.4568,0.062746412,1.999179958,NA,NA,0.103193216,15.38333333,NA,NA,0,0,NA,NA,NA,NA,7.620833333,0.007323214,NA,NA,14.51572917,0.414147589,NA
10/2/2020,0,0,0,0,NA,NA,0.253307988,73.193275,0.122851288,3.874765656,NA,NA,0.101792009,15.42083333,NA,NA,0,0,NA,NA,NA,NA,7.729166667,0.007606331,NA,NA,14.28502083,0.403686687,NA
10/3/2020,0,0,0,0,NA,NA,0.242932736,73.152,0.08386308,2.739356431,NA,NA,0.102409355,15.40416667,NA,NA,0,0,NA,NA,NA,NA,7.8,0.007794428,NA,NA,14.26851042,0.402919225,NA
10/4/2020,0,0,0,0,NA,NA,0.242932736,73.152,0.129499717,4.070551122,NA,NA,0.101639822,15.425,NA,NA,0,0,NA,NA,NA,NA,7.9625,0.008246616,NA,NA,14.13290625,0.396838827,NA
10/5/2020,0,0,0,0,NA,NA,0.239136912,73.034525,0.150665631,4.617871587,NA,NA,0.102713729,15.39583333,NA,NA,0,0,NA,NA,NA,NA,8.054166667,0.008506609,NA,NA,13.89244792,0.386161012,NA
10/6/2020,0,0,0,0,NA,NA,0.220157792,72.8472,0.259197242,6.590818476,NA,NA,0.102736655,15.39583333,NA,NA,0,0,NA,NA,NA,NA,8.108333333,0.008669015,NA,NA,13.68375,0.377052882,NA
10/7/2020,0,0,0,0,NA,NA,0.218639462,72.8472,0.268650288,7.036923732,NA,NA,0.103204679,15.38333333,NA,NA,0,0,NA,NA,NA,NA,8.216666667,0.008997788,NA,NA,13.67989583,0.376823097,NA
10/8/2020,0,0,0,0,NA,NA,0.218639462,72.8472,0.27176967,7.114058518,NA,NA,0.103187485,15.38333333,NA,NA,0,0,NA,NA,NA,NA,8.245833333,0.009088562,NA,NA,13.52952083,0.370365411,NA
10/9/2020,0,0,0,0,NA,NA,0.218639462,72.8472,0.276016609,7.199829347,NA,NA,0.103187485,15.38333333,NA,NA,0,0,NA,NA,NA,NA,8.283333333,0.009201226,NA,NA,13.17144792,0.355076086,NA
10/10/2020,0,0,0,0,NA,NA,0.214653847,72.691625,0.255431412,6.812063783,NA,NA,0.102874514,15.39166667,NA,NA,0,0,NA,NA,NA,NA,8.320833333,0.009320551,NA,NA,13.16585417,0.354875091,NA
10/11/2020,0,0,0,0,NA,NA,0.215033429,72.82815,0.275467198,7.094751044,NA,NA,0.099466217,15.48333333,NA,NA,0,0,NA,NA,NA,NA,8.5625,0.010119537,NA,NA,13.58816667,0.373388339,NA
10/12/2020,0,0,0,0,NA,NA,0.225282154,73.047225,0.223401863,6.192717117,NA,NA,0.087646898,15.8125,NA,NA,0,0,NA,NA,NA,NA,8.866666667,0.011196085,NA,NA,13.34409375,0.362505764,NA
10/13/2020,0,0,0,0,NA,NA,0.244577593,73.231375,0.235877344,6.417979377,NA,NA,0.087784756,15.80833333,NA,NA,0,0,NA,NA,NA,NA,8.883333333,0.011257832,NA,NA,13.5446875,0.371098446,NA
10/14/2020,0,0,0,0,NA,NA,0.2494489,73.0377,0.239637293,6.486054911,NA,NA,0.086210997,15.85416667,NA,NA,0,0,NA,NA,NA,NA,8.941666667,0.011477942,NA,NA,13.23246875,0.35774125,NA
10/15/2020,0,0,0,0,NA,NA,0.212566144,72.6567,0.144301141,4.450419624,NA,NA,0.084918687,15.89166667,NA,NA,0,0,NA,NA,NA,NA,8.904166667,0.011336819,NA,NA,13.05689583,0.350334766,NA
10/16/2020,0,0,0,0,NA,NA,0.200419507,73.19889231,0.205559914,5.657650575,NA,NA,0.080208568,16.03333333,NA,NA,0,0,NA,NA,NA,NA,9.216666667,0.012584354,NA,NA,13.15301042,0.35639744,NA
10/17/2020,0,0,0,0,NA,NA,0.204405122,72.5424,0.299346204,7.539357084,NA,NA,0.079729081,16.04583333,NA,NA,0,0,NA,NA,NA,NA,9.408333333,0.013378248,NA,NA,13.74260417,0.380046012,NA
10/18/2020,0,0,0,0,NA,NA,0.200419507,72.5424,0.133945537,4.13906859,NA,NA,0.079177647,16.0625,NA,NA,0,0,NA,NA,NA,NA,9.345833333,0.013107034,NA,NA,13.81228125,0.382610409,NA
10/19/2020,0,0,0,0,NA,NA,0.200419507,72.5424,0.250901059,6.735026646,NA,NA,0.074346558,16.2125,NA,NA,0,0,NA,NA,NA,NA,9.6875,0.014650854,NA,NA,13.65394792,0.375694225,NA
10/20/2020,0,0,8.85E-05,0,NA,NA,0.200419507,72.5424,0.255464675,6.787910595,NA,NA,0.07593495,16.1625,NA,NA,0,0,NA,NA,NA,NA,9.791666667,0.015141373,NA,NA,13.42148958,0.365684431,NA
10/21/2020,0,0,0,0,NA,NA,0.200419507,72.5424,0.224444447,6.171803518,NA,NA,0.073525138,16.2375,NA,NA,0,0,NA,NA,NA,NA,9.845833333,0.015409874,NA,NA,13.37176042,0.363602022,NA
10/22/2020,0,0,0,0,NA,NA,0.200419507,72.5424,0.124769567,3.820705605,NA,NA,0.073507943,16.2375,NA,NA,0,0,NA,NA,NA,NA,9.895833333,0.015653153,NA,NA,13.12490625,0.353080492,NA
10/23/2020,0,0,4.42E-05,0,NA,NA,0.187007595,72.34555,0.058073226,1.809180932,NA,NA,0.070621204,16.32916667,NA,NA,0,0,NA,NA,NA,NA,9.975,0.01605437,NA,NA,12.66025,0.334787135,NA
10/24/2020,0,0,0.001104311,0.075,NA,NA,0.182958717,72.304275,0.141169185,4.235440153,NA,NA,0.065927365,16.48333333,NA,NA,0,0,NA,NA,NA,NA,10.08333333,0.016617992,NA,NA,13.04710417,0.349845422,NA
10/25/2020,0,0,0.001509125,0.666666667,NA,NA,0.193493793,76.33903158,0.014083331,-0.640880724,NA,NA,0.083731798,15.9375,NA,NA,0,0,NA,NA,NA,NA,10.2375,0.017458003,NA,NA,17.54060417,0.585505554,NA
10/26/2020,0,0,0.002475288,1.716666667,NA,NA,0.252787554,73.12899623,0.027715556,0.086750831,NA,NA,0.06863582,16.4,NA,NA,0,0,NA,NA,NA,NA,10.37916667,0.018385191,NA,NA,22.83604167,0.883821097,NA
10/27/2020,0,0,0.002760074,1.954166667,NA,NA,0.283201477,72.56890435,0.162147295,4.800349281,NA,NA,0.060262173,16.675,NA,NA,0,0,NA,NA,NA,NA,11.24166667,0.023854207,NA,NA,22.06010417,0.831602578,NA
10/28/2020,0,0,0.005923565,3.45,NA,NA,0.250018274,72.253475,0.249215508,6.697199331,NA,NA,0.05707301,16.7875,NA,NA,0,0,NA,NA,NA,NA,11.9125,0.029295646,NA,NA,20.89458333,0.757814995,NA
10/29/2020,0,0,0.010006753,4.925,NA,NA,0.242932736,72.2376,0.322214066,7.881335605,NA,NA,0.051998458,16.975,NA,NA,0,0,NA,NA,NA,NA,12.49166667,0.034510194,NA,NA,19.07636364,0.648836828,NA
10/30/2020,0,0,0.012112199,5.479166667,NA,NA,0.242932736,72.2376,0.364009719,8.648782209,NA,NA,0.042988562,17.32916667,NA,NA,0,0,NA,NA,NA,NA,12.85833333,0.038326612,NA,NA,NA,NA,NA
10/31/2020,0,0,0.013855992,5.8625,NA,NA,0.242679681,72.20585,0.340111512,8.262430597,NA,NA,0.035318779,17.65833333,NA,NA,0,0,NA,NA,NA,NA,13.34583333,0.043961285,NA,NA,NA,NA,NA
11/1/2020,0,0,0.015015327,6.091666667,NA,NA,0.228002495,71.98995,0.325511057,8.022813209,NA,NA,0.030053381,17.90833333,NA,NA,0,0,NA,NA,NA,NA,13.39583333,0.044495221,NA,NA,NA,NA,NA
11/2/2020,0,0,0.014605893,6.016666667,NA,NA,0.218639462,71.9328,0.387785771,9.021975281,NA,NA,0.026000665,18.1125,NA,NA,0,0,NA,NA,NA,NA,13.225,0.0424241,NA,NA,NA,NA,NA
11/3/2020,0,0,0.014206563,5.941666667,NA,NA,0.218639462,71.9328,0.410645564,9.353516532,NA,NA,0.023419762,18.25416667,NA,NA,0,0,NA,NA,NA,NA,13.13333333,0.041342683,NA,NA,NA,NA,NA
11/4/2020,0,0,0.013566718,5.816666667,NA,NA,0.218639462,71.9328,0.419178752,9.485716932,NA,NA,0.020061459,18.44583333,NA,NA,0,0,NA,NA,NA,NA,13.225,0.042418149,NA,NA,NA,NA,NA
11/5/2020,0,0,0.01281943,5.666666667,NA,NA,0.218639462,71.9328,0.359692717,8.591112111,NA,NA,0.019445455,18.48333333,NA,NA,0,0,NA,NA,NA,NA,13.26666667,0.042917949,NA,NA,NA,NA,NA
11/6/2020,0,0,0.012251058,5.545833333,NA,NA,0.218639462,71.9328,0.363995571,8.655154562,NA,NA,0.018103938,18.56666667,NA,NA,0,0,NA,NA,NA,NA,13.16666667,0.04173203,NA,NA,NA,NA,NA
11/7/2020,0,0,0.011480364,5.375,0,0,0.218449671,71.92645,0.338830311,8.243490672,NA,NA,0.017194107,18.625,NA,NA,0,0,NA,NA,NA,NA,13.11666667,0.041145629,NA,NA,NA,NA,NA
11/8/2020,0,0,0.010473554,5.133333333,0,0,0.207184722,73.58412152,0.29009671,7.384269997,NA,NA,0.016001912,18.70416667,NA,NA,0,0,NA,NA,NA,NA,13.175,0.041831748,NA,NA,NA,NA,NA
11/9/2020,0,0,0.010909255,5.2375,0,0,0.231292209,72.00265,0.123238489,3.797878094,NA,NA,0.017257458,18.62083333,NA,NA,0,0,NA,NA,NA,NA,13.3,0.043337501,NA,NA,NA,NA,NA
11/10/2020,0,0,0.010983305,5.258333333,0,0,0.233063593,72.2122,0.120347582,3.816348524,NA,NA,0.018435019,18.54583333,NA,NA,0,0,NA,NA,NA,NA,13.37916667,0.044285981,NA,NA,NA,NA,NA
11/11/2020,0,0,0.010002986,5.016666667,0,0,0.245083703,72.2122,0.135303545,4.228989486,NA,NA,0.020625577,18.4125,NA,NA,0,0,NA,NA,NA,NA,13.325,0.043622039,NA,NA,NA,NA,NA
11/12/2020,0,0,0.009526772,4.891666667,0,0,0.229520824,72.107425,0.129526169,4.081569182,NA,NA,0.023301963,18.25833333,NA,NA,0,0,NA,NA,NA,NA,13.2625,0.042868067,NA,NA,NA,NA,NA
11/13/2020,0,0,0.009357039,4.845833333,0,0,0.241920516,72.177275,0.226911882,6.174762466,NA,NA,0.025206681,18.15416667,NA,NA,0,0,NA,NA,NA,NA,13.1375,0.041527872,NA,NA,NA,NA,NA
11/14/2020,0,0,0.009069657,4.766666667,0,0,0.22383117,73.73210323,0.242248629,6.404535117,NA,NA,0.027093901,18.05416667,NA,NA,0,0,NA,NA,NA,NA,13.4,0.044547507,NA,NA,NA,NA,NA
11/15/2020,0,0,0.008923433,4.725,0,0,0.240394632,72.24669851,0.239810289,6.451742752,NA,NA,0.028906002,17.9625,NA,NA,0,0,NA,NA,NA,NA,13.39166667,0.044554257,NA,NA,NA,NA,NA
11/16/2020,0,0,0.008720602,4.666666667,0,0,0.230533044,72.00265,0.29712669,7.559464495,NA,NA,0.030361231,17.89166667,NA,NA,0,0,NA,NA,1.9,0.001730113,13.41666667,0.044758009,NA,NA,NA,NA,NA
11/17/2020,0,0,0.008604936,4.633333333,0,0,0.218639462,71.9328,0.32211691,7.982307003,NA,NA,0.033935802,17.72083333,NA,NA,0,0,NA,NA,1.616666667,0.001367409,13.375,0.044242358,NA,NA,NA,NA,NA
11/18/2020,0,0,0.008219236,4.516666667,0,0,0.218639462,71.9328,0.322552504,7.979612292,NA,NA,0.032762631,17.775,NA,NA,0,0,NA,NA,1.475,0.001173905,13.39166667,0.044445386,NA,NA,NA,NA,NA
11/19/2020,0,0,0.007486718,4.283333333,0,0,0.216931341,71.82485,0.341610366,8.269068554,NA,NA,0.033737458,17.72916667,0,5.13E-04,0,0,NA,NA,3.758333333,0.028457496,13.27916667,0.043069953,18.22142857,0.081669662,NA,NA,NA
11/20/2020,0,0,0.007248531,4.204166667,0,0,0.194599243,71.628,0.189244844,5.492837101,NA,NA,0.033380892,17.74583333,0.1,6.02E-04,0,0,NA,NA,4.966666667,0.018583186,13.2375,0.042571366,18.2125,0.080804893,NA,NA,NA
11/21/2020,0,0,0.007007447,4.120833333,0,0,0.194346189,71.628,0.155979431,4.725200277,NA,NA,0.034551197,17.69166667,0.0625,5.68E-04,0,0,NA,NA,4.079166667,0.010027651,13.2375,0.04257258,18.14583333,0.076085279,NA,NA,NA
11/22/2020,0,0,0.006546173,3.954166667,0,0,0.19290016,72.0392381,0.10889596,3.513116581,NA,NA,0.036673098,17.59583333,0.058333333,5.65E-04,0,0,NA,NA,3.883333333,0.00867537,13.08333333,0.040833919,16.62083333,0.002323356,NA,NA,NA
11/23/2020,0,0,0.006772298,4.0375,0,0,0.17878331,71.40575,0.207084687,5.851967406,NA,NA,0.035738696,17.6375,0.0375,5.46E-04,0,0,NA,NA,4.008333333,0.009510572,13.175,0.041852171,16.71666667,0.002594278,NA,NA,NA
11/24/2020,0,0,0.010079641,5,0,0,0.191507572,71.73070435,0.162257378,4.897335054,NA,NA,0.034821487,17.67916667,0.095833333,5.98E-04,0,0,NA,NA,3.979166667,0.009305859,13.4375,0.045033442,16.7875,0.002204337,NA,NA,NA
11/25/2020,0,0,0.007960068,4.4375,0,0,0.213831418,71.8312,0.180470875,5.264951999,NA,NA,0.03639421,17.60833333,0.0375,5.46E-04,0,0,NA,NA,3.9,0.008779395,13.3375,0.043817126,16.6875,9.28E-04,NA,NA,NA
11/26/2020,0,0,0.008080398,4.475,0,0,0.197635903,71.6407,0.202818798,5.789586153,NA,NA,0.036655904,17.59583333,0.0375,5.46E-04,0,0,NA,NA,3.9125,0.008862521,13.26666667,0.042930064,16.7125,0.001264145,NA,NA,NA
11/27/2020,0,0,0.008228775,4.520833333,0,0,0.197635903,71.66609988,0.175662252,5.174888146,NA,NA,0.037802979,17.54583333,0.1,6.02E-04,3.920833333,0.00795553,NA,NA,3.845833333,0.008441312,13.1125,0.041179965,16.625,4.57E-04,NA,NA,NA
11/28/2020,0,0,0.008325293,4.55,0,0,0.194346189,71.628,0.193661302,5.572562115,NA,NA,0.036483352,17.60416667,0.1,6.02E-04,4.725,0.006774649,NA,NA,3.85,0.008467319,13.0375,0.040371738,16.51666667,6.39E-05,NA,NA,NA
11/29/2020,0,0,0.00806661,4.470833333,0,0,0.194346189,72.57723432,0.174563177,5.172446931,NA,NA,0.037708106,17.55,0.0875,5.91E-04,4.904166667,0.006086488,NA,NA,3.8125,0.008233261,12.94166667,0.039273016,16.39583333,4.76E-04,NA,NA,NA
11/30/2020,0,0,0.008026657,4.458333333,0,0,0.18845691,71.8866182,0.171305241,5.077727778,NA,NA,0.043624017,17.3,0.029166667,5.39E-04,5.333333333,0.004586125,NA,NA,3.820833333,0.008285274,12.6375,0.036126551,16.23333333,0.002156477,NA,NA,NA
